term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Spring_2026,ASTR,100,ASTR 100,ASTRONOMY,3,GE: 5A-NL (B1),01,3028,Spring_2026|ASTR 100|01|3028,FALSE,\N,"1,27",LEC,MW,2-3:15PM,available,HSCI-102,Rajpoot S,Class instruction is: Face to Face - On Campus.
Spring_2026,ASTR,100,ASTR 100,ASTRONOMY,3,GE: 5A-NL (B1),02,1820,Spring_2026|ASTR 100|02|1820,FALSE,\N,"1,27",LEC,TuTh,9:30-10:45AM,,HSCI-102,Eleby J,Class instruction is: Face to Face - On Campus.
Spring_2026,ASTR,100,ASTR 100,ASTRONOMY,3,GE: 5A-NL (B1),03,1059,Spring_2026|ASTR 100|03|1059,FALSE,\N,"1,27",LEC,TuTh,12:30-1:45PM,available,MM-100,Eleby J,Class instruction is: Face to Face - On Campus.
Spring_2026,ASTR,100,ASTR 100,ASTRONOMY,3,GE: 5A-NL (B1),04,3227,Spring_2026|ASTR 100|04|3227,FALSE,\N,"1,27",LEC,Tu,7-9:45PM,available,HSCI-105,Gutierrez D,Class instruction is: Face to Face - On Campus.
Spring_2026,ASTR,100L,ASTR 100L,INTRO TO ASTRONOMY LAB,1,GE: 5C/5A (B3/B1),01,1060,Spring_2026|ASTR 100L|01|1060,FALSE,\N,"1,27",LAB,M,1-3:45PM,,HSCI-278,Eleby J,Class instruction is: Face to Face - On Campus.
Spring_2026,ASTR,100L,ASTR 100L,INTRO TO ASTRONOMY LAB,1,GE: 5C/5A (B3/B1),02,1061,Spring_2026|ASTR 100L|02|1061,FALSE,\N,"1,27",LAB,M,4-6:45PM,,HSCI-278,Samaniego E,Class instruction is: Face to Face - On Campus.
Spring_2026,ASTR,100L,ASTR 100L,INTRO TO ASTRONOMY LAB,1,GE: 5C/5A (B3/B1),03,1063,Spring_2026|ASTR 100L|03|1063,FALSE,\N,"1,27",LAB,M,7-9:45PM,available,HSCI-278,Benitez E,Class instruction is: Face to Face - On Campus.
Spring_2026,ASTR,100L,ASTR 100L,INTRO TO ASTRONOMY LAB,1,GE: 5C/5A (B3/B1),04,1064,Spring_2026|ASTR 100L|04|1064,FALSE,\N,"1,27",LAB,Tu,8-10:45AM,available,HSCI-278,Vaidya M,Class instruction is: Face to Face - On Campus.
Spring_2026,ASTR,100L,ASTR 100L,INTRO TO ASTRONOMY LAB,1,GE: 5C/5A (B3/B1),05,1065,Spring_2026|ASTR 100L|05|1065,FALSE,\N,"1,27",LAB,Tu,11-1:45PM,,HSCI-278,Lanoye M,Class instruction is: Face to Face - On Campus.
Spring_2026,ASTR,100L,ASTR 100L,INTRO TO ASTRONOMY LAB,1,GE: 5C/5A (B3/B1),06,1066,Spring_2026|ASTR 100L|06|1066,FALSE,\N,"1,27",LAB,Tu,2-4:45PM,,HSCI-278,Eleby J,Class instruction is: Face to Face - On Campus.
Spring_2026,ASTR,100L,ASTR 100L,INTRO TO ASTRONOMY LAB,1,GE: 5C/5A (B3/B1),07,1067,Spring_2026|ASTR 100L|07|1067,FALSE,\N,"1,27",LAB,W,8-10:45AM,available,HSCI-278,Ramadurai S,Class instruction is: Face to Face - On Campus.
Spring_2026,ASTR,100L,ASTR 100L,INTRO TO ASTRONOMY LAB,1,GE: 5C/5A (B3/B1),08,1068,Spring_2026|ASTR 100L|08|1068,FALSE,\N,"1,27",LAB,W,11-1:45PM,,HSCI-278,Ramesh P,Class instruction is: Face to Face - On Campus.
Spring_2026,ASTR,100L,ASTR 100L,INTRO TO ASTRONOMY LAB,1,GE: 5C/5A (B3/B1),09,1069,Spring_2026|ASTR 100L|09|1069,FALSE,\N,"1,27",LAB,W,4-6:45PM,,HSCI-278,Gutierrez D,Class instruction is: Face to Face - On Campus.
Spring_2026,ASTR,100L,ASTR 100L,INTRO TO ASTRONOMY LAB,1,GE: 5C/5A (B3/B1),10,1062,Spring_2026|ASTR 100L|10|1062,FALSE,\N,"1,27",LAB,W,7-9:45PM,available,HSCI-278,Arata A,Class instruction is: Face to Face - On Campus.
Spring_2026,ASTR,100L,ASTR 100L,INTRO TO ASTRONOMY LAB,1,GE: 5C/5A (B3/B1),11,1070,Spring_2026|ASTR 100L|11|1070,FALSE,\N,"1,27",LAB,Th,11-1:45PM,available,HSCI-278,Chun C,Class instruction is: Face to Face - On Campus.
Spring_2026,ASTR,100L,ASTR 100L,INTRO TO ASTRONOMY LAB,1,GE: 5C/5A (B3/B1),12,1071,Spring_2026|ASTR 100L|12|1071,FALSE,\N,"1,27",LAB,Th,2-4:45PM,,HSCI-278,Blackshire D,Class instruction is: Face to Face - On Campus.
Spring_2026,ASTR,370,ASTR 370,PLANETARY ENVIRONMENTS,3,GE: 2UD/5UD (UDB),02,10955,Spring_2026|ASTR 370|02|10955,FALSE,\N,"1,310",LEC,TuTh,2-3:15PM,available,AS-244,Zinn J,Class instruction is: Face to Face - On Campus.
