term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Spring_2026,BIOL,101,BIOL 101,INTRO TO HUMAN DISEASE,3,GE: 5B-NL (B2),01,4581,Spring_2026|BIOL 101|01|4581,FALSE,\N,"1,6,27",LEC,MW,3:30-4:45PM,available,HSCI-100,Romero L,Class instruction is: Face to Face - On Campus.
Spring_2026,BIOL,153,BIOL 153,INTRODUCTION TO MARINE BIOLOGY,3,GE: 5B-WL (B2/B3),01,3311,Spring_2026|BIOL 153|01|3311,FALSE,\N,"1,27",LEC,MW,10-10:50AM,available,HSCI-102,Carlson M,"Class instruction is: Face to Face - On Campus.Some seats are reserved for Marine Biology pre-majors. Reserved seating expires December 1, 2025."
Spring_2026,BIOL,153,BIOL 153,INTRODUCTION TO MARINE BIOLOGY,3,GE: 5B-WL (B2/B3),04,1072,Spring_2026|BIOL 153|04|1072,FALSE,\N,"12,27",LAB,Tu,12-2:45PM,available,HSCI-111,Easton T,Class instruction is: Face to Face - On Campus.
Spring_2026,BIOL,153,BIOL 153,INTRODUCTION TO MARINE BIOLOGY,3,GE: 5B-WL (B2/B3),05,2656,Spring_2026|BIOL 153|05|2656,FALSE,\N,"12,27",LAB,W,12-2:45PM,,HSCI-111,Ortivez R,Class instruction is: Face to Face - On Campus.
Spring_2026,BIOL,153,BIOL 153,INTRODUCTION TO MARINE BIOLOGY,3,GE: 5B-WL (B2/B3),06,9259,Spring_2026|BIOL 153|06|9259,FALSE,\N,,LAB,W,3-5:45PM,available,HSCI-111,Faulkner L,Class instruction is: Face to Face - On Campus.
Spring_2026,BIOL,153,BIOL 153,INTRODUCTION TO MARINE BIOLOGY,3,GE: 5B-WL (B2/B3),07,9260,Spring_2026|BIOL 153|07|9260,FALSE,\N,,LAB,Th,12-2:45PM,,HSCI-111,Easton T,Class instruction is: Face to Face - On Campus.
Spring_2026,BIOL,153,BIOL 153,INTRODUCTION TO MARINE BIOLOGY,3,GE: 5B-WL (B2/B3),08,12617,Spring_2026|BIOL 153|08|12617,FALSE,\N,310,LAB,Th,3-5:45PM,available,HSCI-111,Ortivez R,Class instruction is: Face to Face - On Campus.
Spring_2026,BIOL,153L,BIOL 153L,INTRO TO MARINE BIOLOGY LAB,1,GE: 5C/5B (B3/B2),02,9685,Spring_2026|BIOL 153L|02|9685,FALSE,\N,"1,12,27,274",LAB,Th,12-2:45PM,,HSCI-111,Easton T,Department Consent RequiredClass instruction is: Face to Face - On Campus.
Spring_2026,BIOL,200,BIOL 200,GENERAL BIOLOGY,4,GE: 5B-WL (B2/B3),01,1073,Spring_2026|BIOL 200|01|1073,FALSE,\N,"1,6,27",LEC,MW,12:30-1:45PM,,HSCI-102,Jones C,Class instruction is: Face to Face - On Campus.
Spring_2026,BIOL,200,BIOL 200,GENERAL BIOLOGY,4,GE: 5B-WL (B2/B3),02,2945,Spring_2026|BIOL 200|02|2945,FALSE,\N,"1,6,27",LEC,TuTh,9:30-10:45AM,available,LH-151,Jones C,Class instruction is: Face to Face - On Campus.
Spring_2026,BIOL,200,BIOL 200,GENERAL BIOLOGY,4,GE: 5B-WL (B2/B3),03,6841,Spring_2026|BIOL 200|03|6841,FALSE,\N,"12,27",LAB,Tu,9:30-12:15PM,available,MLSC-113,Stern T,Class instruction is: Face to Face - On Campus.
Spring_2026,BIOL,200,BIOL 200,GENERAL BIOLOGY,4,GE: 5B-WL (B2/B3),04,5685,Spring_2026|BIOL 200|04|5685,FALSE,\N,"12,27",LAB,Tu,2-4:45PM,,MLSC-109,Saleh A,Class instruction is: Face to Face - On Campus.
Spring_2026,BIOL,200,BIOL 200,GENERAL BIOLOGY,4,GE: 5B-WL (B2/B3),05,5686,Spring_2026|BIOL 200|05|5686,FALSE,\N,"12,27",LAB,Tu,2-4:45PM,,MLSC-113,Stern T,Class instruction is: Face to Face - On Campus.
Spring_2026,BIOL,200,BIOL 200,GENERAL BIOLOGY,4,GE: 5B-WL (B2/B3),06,1074,Spring_2026|BIOL 200|06|1074,FALSE,\N,"12,27",LAB,W,9:30-12:15PM,,MLSC-109,Yagle M,Class instruction is: Face to Face - On Campus.
Spring_2026,BIOL,200,BIOL 200,GENERAL BIOLOGY,4,GE: 5B-WL (B2/B3),07,1075,Spring_2026|BIOL 200|07|1075,FALSE,\N,"12,27",LAB,W,9:30-12:15PM,,MLSC-113,Pickard L,Class instruction is: Face to Face - On Campus.
Spring_2026,BIOL,200,BIOL 200,GENERAL BIOLOGY,4,GE: 5B-WL (B2/B3),08,2946,Spring_2026|BIOL 200|08|2946,FALSE,\N,"12,27",LAB,W,2-4:45PM,,MLSC-109,Stilwell S,Class instruction is: Face to Face - On Campus.
Spring_2026,BIOL,200,BIOL 200,GENERAL BIOLOGY,4,GE: 5B-WL (B2/B3),09,5687,Spring_2026|BIOL 200|09|5687,FALSE,\N,"12,27",LAB,W,2-4:45PM,,MLSC-113,Pickard L,Class instruction is: Face to Face - On Campus.
Spring_2026,BIOL,200,BIOL 200,GENERAL BIOLOGY,4,GE: 5B-WL (B2/B3),10,6842,Spring_2026|BIOL 200|10|6842,FALSE,\N,"12,27",LAB,Th,9:30-12:15PM,available,MLSC-113,Jones W,Class instruction is: Face to Face - On Campus.
