term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Summer_2026,BIOL,200,BIOL 200,GENERAL BIOLOGY,4,GE: 5B-WL (B2/B3),01,10382,Summer_2026|BIOL 200|01|10382,FALSE,\N,"1,27,310",LEC,MTuWTh,1-3:00PM,available,HSCI-101,Fisher A,Class instruction is: Face to Face - On Campus.
Summer_2026,BIOL,200,BIOL 200,GENERAL BIOLOGY,4,GE: 5B-WL (B2/B3),02,10383,Summer_2026|BIOL 200|02|10383,FALSE,\N,"12,27,310",LAB,TuTh,8-11:45AM,available,MLSC-109,Yagle M,Class instruction is: Face to Face - On Campus.
Summer_2026,BIOL,200L,BIOL 200L,GENERAL BIOLOGY LAB,1,GE: 5C/5B (B3/B2),01,10656,Summer_2026|BIOL 200L|01|10656,FALSE,\N,310,LAB,TuTh,8-11:45AM,available,MLSC-109,Yagle M,Department Consent RequiredClass instruction is: Face to Face - On Campus.
Summer_2026,BIOL,207,BIOL 207,HUMAN PHYSIOLOGY,4,GE: 5B-WL (B2/B3),01,10006,Summer_2026|BIOL 207|01|10006,FALSE,\N,"1,6,27,310",LEC,MTuWTh,1-3:00PM,available,HSCI-103,Rourke B,Class instruction is: Face to Face - On Campus.
Summer_2026,BIOL,207,BIOL 207,HUMAN PHYSIOLOGY,4,GE: 5B-WL (B2/B3),02,10011,Summer_2026|BIOL 207|02|10011,FALSE,\N,"12,27,310",LAB,TuTh,8-11:45AM,available,MLSC-129,Le D,Class instruction is: Face to Face - On Campus.
Summer_2026,BIOL,207,BIOL 207,HUMAN PHYSIOLOGY,4,GE: 5B-WL (B2/B3),03,10709,Summer_2026|BIOL 207|03|10709,FALSE,\N,310,LAB,MW,8-12:05PM,available,MLSC-129,Nobles M,Class instruction is: Face to Face - On Campus.
Summer_2026,BIOL,211,BIOL 211,INTRO EVOLUTION/DIVERSITY,5,GE: 5B-WL (B2/B3),01,10518,Summer_2026|BIOL 211|01|10518,FALSE,\N,305,LEC,NA,NA,available,ONLINE-ONLY,Umeda C,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,BIOL,211,BIOL 211,INTRO EVOLUTION/DIVERSITY,5,GE: 5B-WL (B2/B3),02,10534,Summer_2026|BIOL 211|02|10534,FALSE,\N,305,LAB,MW,9:30-1:30PM,available,MLSC-104,Doust T,Class instruction is: Face to Face - On Campus.
Summer_2026,BIOL,211,BIOL 211,INTRO EVOLUTION/DIVERSITY,5,GE: 5B-WL (B2/B3),03,10535,Summer_2026|BIOL 211|03|10535,FALSE,\N,305,SEM,MW,8-9:20AM,available,MLSC-104,Doust T,Class instruction is: Face to Face - On Campus.
Summer_2026,BIOL,213,BIOL 213,INTRO ECOLOGY PHYSIOLOGY,4,,01,10888,Summer_2026|BIOL 213|01|10888,FALSE,\N,"1,27,306",LEC,MTuWTh,9-11:00AM,available,ONLINE-ONLY,Darjany L,Class instruction is: Synch. Online - Meet Times.
Summer_2026,BIOL,213,BIOL 213,INTRO ECOLOGY PHYSIOLOGY,4,,02,10889,Summer_2026|BIOL 213|02|10889,FALSE,\N,"12,27,310",LAB,TuTh,1-4:45PM,available,MLSC-110,Craig C,Class instruction is: Face to Face - On Campus.
Summer_2026,BIOL,311,BIOL 311,GENERAL MICROBIOLOGY,4,,01,10313,Summer_2026|BIOL 311|01|10313,FALSE,\N,"1,15,27,310",LEC,MTuWTh,9-11:00AM,available,HSCI-101,Berlemont R,Class instruction is: Face to Face - On Campus.
Summer_2026,BIOL,311,BIOL 311,GENERAL MICROBIOLOGY,4,,02,10314,Summer_2026|BIOL 311|02|10314,FALSE,\N,"12,15,27,310",LAB,MW,1-5:10PM,available,MIC-102A,Berlemont R,Class instruction is: Face to Face - On Campus.
Summer_2026,BIOL,340,BIOL 340,MOLECULAR CELL BIOLOGY,3,,01,10321,Summer_2026|BIOL 340|01|10321,FALSE,\N,"1,27,310",LEC,MTuWTh,9-10:55AM,available,HSCI-103,Palmier C,Class instruction is: Face to Face - On Campus.
Summer_2026,BIOL,340,BIOL 340,MOLECULAR CELL BIOLOGY,3,,01,\N,Summer_2026|BIOL 340|01|NOCLASS|24528d3136887024,FALSE,\N,,,NA,NA,,NA,Staff,additional meeting detail
Summer_2026,BIOL,342,BIOL 342,HUMAN/MAMMALIAN PHYSIOLOGY,3,,01,10890,Summer_2026|BIOL 342|01|10890,FALSE,\N,310,LEC,MTuWTh,10-11:55AM,available,HSCI-105,Gardner M,Class instruction is: Face to Face - On Campus.
Summer_2026,BIOL,342L,BIOL 342L,HUMAN/MAMMALIAN PHYSIOLOGY LAB,1,,01,10914,Summer_2026|BIOL 342L|01|10914,FALSE,\N,310,LAB,TuWTh,12:30-3:00PM,available,MLSC-112,Gardner M,Class instruction is: Face to Face - On Campus.
Summer_2026,BIOL,453,BIOL 453,VISUAL ECOLOGY,3,,01,10567,Summer_2026|BIOL 453|01|10567,FALSE,\N,"306,1,27",LEC,MTuWTh,1-3:00PM,available,ONLINE-ONLY,Finkbeiner S,Class instruction is: Synch. Online - Meet Times.
Summer_2026,BIOL,260,BIOL 260,BIOSTATISTICS,3,,01,10195,Summer_2026|BIOL 260|01|10195,FALSE,\N,"1,27,305",LEC,NA,NA,available,ONLINE-ONLY,Carter A,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,BIOL,260,BIOL 260,BIOSTATISTICS,3,,02,10196,Summer_2026|BIOL 260|02|10196,FALSE,\N,"12,27,306",LAB,Tu,11-2:45PM,,ONLINE-ONLY,Forrey E,Class instruction is: Synch. Online - Meet Times.
Summer_2026,BIOL,260,BIOL 260,BIOSTATISTICS,3,,03,10197,Summer_2026|BIOL 260|03|10197,FALSE,\N,"12,27,306",LAB,W,11-2:45PM,available,ONLINE-ONLY,Forrey E,Class instruction is: Synch. Online - Meet Times.
Summer_2026,BIOL,312,BIOL 312,EVOLUTIONARY BIOLOGY,3,,01,10043,Summer_2026|BIOL 312|01|10043,FALSE,\N,"1,305",LEC,NA,NA,,ONLINE-ONLY,Carter A,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,BIOL,312,BIOL 312,EVOLUTIONARY BIOLOGY,3,,02,10685,Summer_2026|BIOL 312|02|10685,FALSE,\N,"1,305",LEC,NA,NA,,ONLINE-ONLY,Carter A,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,BIOL,350,BIOL 350,GENERAL ECOLOGY,3,,01,10035,Summer_2026|BIOL 350|01|10035,FALSE,\N,"1,305",LEC,NA,NA,,ONLINE-ONLY,Allen B,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,BIOL,350,BIOL 350,GENERAL ECOLOGY,3,,02,10199,Summer_2026|BIOL 350|02|10199,FALSE,\N,"1,305",LEC,NA,NA,,ONLINE-ONLY,Allen B,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,BIOL,350,BIOL 350,GENERAL ECOLOGY,3,,03,10718,Summer_2026|BIOL 350|03|10718,FALSE,\N,305,LEC,NA,NA,available,ONLINE-ONLY,Allen B,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,BIOL,697,BIOL 697,DIRECTED RESEARCH,1,,01,10786,Summer_2026|BIOL 697|01|10786,FALSE,\N,,SUP,TBA,NA,available,NA,Staff,Class instruction is: Face to Face - On Campus.
Summer_2026,BIOL,208,BIOL 208,HUMAN ANATOMY,4,,01,10073,Summer_2026|BIOL 208|01|10073,FALSE,\N,"1,6,27,310",LEC,MTuWTh,9-10:55AM,available,HSCI-103,Gardner M,Class instruction is: Face to Face - On Campus.
