term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Summer_2026,CAFF,305,CAFF 305,WHAT HAPPENS IN VEGAS,3,GE: 2UD/5UD (UDB),01,10308,Summer_2026|CAFF 305|01|10308,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Kreysa P,Class instruction is: Asynch. Online-No Meet Times.Class offered with HM-305-01
Summer_2026,CAFF,305,CAFF 305,WHAT HAPPENS IN VEGAS,3,GE: 2UD/5UD (UDB),02,10337,Summer_2026|CAFF 305|02|10337,FALSE,\N,305,LEC,NA,NA,available,ONLINE-ONLY,Yeh R,Class instruction is: Asynch. Online-No Meet Times.Class offered with HM-305-02
Summer_2026,CAFF,305,CAFF 305,WHAT HAPPENS IN VEGAS,3,GE: 2UD/5UD (UDB),03,10338,Summer_2026|CAFF 305|03|10338,FALSE,\N,305,LEC,NA,NA,available,ONLINE-ONLY,Yeh R,Class instruction is: Asynch. Online-No Meet Times.Class offered with HM-305-03
Summer_2026,CAFF,321,CAFF 321,FAMILY & CONSUMER RESRCE MGMT,3,GE: 4UD (UDD),01,10167,Summer_2026|CAFF 321|01|10167,FALSE,\N,305,LEC,NA,NA,available,ONLINE-ONLY,Liu X,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,CAFF,388,CAFF 388,CNSMRS VS.TECHNLGY: WHO'S WNG,3,GE: 4UD (UDD),01,10081,Summer_2026|CAFF 388|01|10081,FALSE,\N,305,LEC,NA,NA,available,ONLINE-ONLY,Ionescu E,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,CAFF,425,CAFF 425,PERSONAL FIN PLANNING ANALYSIS,3,GE: 2UD/5UD (UDB),01,10261,Summer_2026|CAFF 425|01|10261,FALSE,\N,305,LEC,NA,NA,available,ONLINE-ONLY,Rusiana H,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,CAFF,427,CAFF 427,CONSUMER DYNAMICS,3,GWAR: WI,01,10164,Summer_2026|CAFF 427|01|10164,FALSE,\N,305,LEC,NA,NA,available,ONLINE-ONLY,Guffy G,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,CAFF,497,CAFF 497,DIRECTED STUDIES,1,,01,10789,Summer_2026|CAFF 497|01|10789,FALSE,\N,305,SUP,TBA,NA,,ONLINE-ONLY,Cho S,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,CAFF,427,CAFF 427,CONSUMER DYNAMICS,3,GWAR: WI,02,10429,Summer_2026|CAFF 427|02|10429,FALSE,\N,305,LEC,NA,NA,available,ONLINE-ONLY,Kreysa P,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,CAFF,492C,CAFF 492C,INTERNSHIP IN CA,3,,01,10211,Summer_2026|CAFF 492C|01|10211,FALSE,\N,305,SEM,NA,NA,available,ONLINE-ONLY,Koster B,Instructor Consent RequiredClass instruction is: Asynch. Online-No Meet Times.
Summer_2026,CAFF,223,CAFF 223,PERSONAL & FAMILY FINANCL MGMT,3,GE: E,01,10504,Summer_2026|CAFF 223|01|10504,FALSE,\N,305,LEC,NA,NA,available,ONLINE-ONLY,Engstrom Z,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,CAFF,305,CAFF 305,WHAT HAPPENS IN VEGAS,3,GE: 2UD/5UD (UDB),04,10339,Summer_2026|CAFF 305|04|10339,FALSE,\N,305,LEC,NA,NA,available,ONLINE-ONLY,Kreysa P,Class instruction is: Asynch. Online-No Meet Times.Class offered with HM-305-04
Summer_2026,CAFF,305,CAFF 305,WHAT HAPPENS IN VEGAS,3,GE: 2UD/5UD (UDB),05,10465,Summer_2026|CAFF 305|05|10465,FALSE,\N,305,LEC,NA,NA,available,ONLINE-ONLY,Yeh R,Class instruction is: Asynch. Online-No Meet Times.Class offered with HM-305-05
Summer_2026,CAFF,321,CAFF 321,FAMILY & CONSUMER RESRCE MGMT,3,GE: 4UD (UDD),02,10146,Summer_2026|CAFF 321|02|10146,FALSE,\N,305,LEC,NA,NA,available,ONLINE-ONLY,Cho S,Class instruction is: Asynch. Online-No Meet Times.
