term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Summer_2026,CDFS,319,CDFS 319,FAMILY STRESS AND COPING,3,GE: 4UD (UDD); GWAR: WI,04,10244,Summer_2026|CDFS 319|04|10244,FALSE,\N,305,LEC,NA,NA,available,ONLINE-ONLY,Jaurequi M,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,CDFS,310,CDFS 310,DIVERSITY IN CHILD DEVELOPMENT,3,GE: 4UD (UDD),01,10205,Summer_2026|CDFS 310|01|10205,FALSE,\N,305,LEC,NA,NA,available,ONLINE-ONLY,Jung Y,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,CDFS,311,CDFS 311,PRENATAL DEV INFANCY & TODDLER,3,,01,10808,Summer_2026|CDFS 311|01|10808,FALSE,\N,305,LEC,NA,NA,available,ONLINE-ONLY,Jung Y,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,CDFS,312,CDFS 312,FAMILY & PERSONAL DEVELOPMENT,3,GE: 4UD (UDD),01,10102,Summer_2026|CDFS 312|01|10102,FALSE,\N,305,LEC,NA,NA,available,ONLINE-ONLY,Brown T,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,CDFS,319,CDFS 319,FAMILY STRESS AND COPING,3,GE: 4UD (UDD); GWAR: WI,01,10129,Summer_2026|CDFS 319|01|10129,FALSE,\N,305,LEC,NA,NA,available,ONLINE-ONLY,Roy R,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,CDFS,319,CDFS 319,FAMILY STRESS AND COPING,3,GE: 4UD (UDD); GWAR: WI,02,10279,Summer_2026|CDFS 319|02|10279,FALSE,\N,305,LEC,NA,NA,available,ONLINE-ONLY,Brown T,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,CDFS,319,CDFS 319,FAMILY STRESS AND COPING,3,GE: 4UD (UDD); GWAR: WI,05,10810,Summer_2026|CDFS 319|05|10810,FALSE,\N,305,LEC,NA,NA,available,ONLINE-ONLY,Taylor S,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,CDFS,405,CDFS 405,PRAC APPRCH SOC SCI RSCH,3,GE: 2UD/5UD (UDB),03,10501,Summer_2026|CDFS 405|03|10501,FALSE,\N,305,SEM,NA,NA,available,ONLINE-ONLY,Taylor M,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,CDFS,405,CDFS 405,PRAC APPRCH SOC SCI RSCH,3,GE: 2UD/5UD (UDB),05,10813,Summer_2026|CDFS 405|05|10813,FALSE,\N,305,SEM,NA,NA,available,ONLINE-ONLY,Taylor M,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,CDFS,408,CDFS 408,TRANSITION PARENTHOOD FMLY DYN,3,,01,10815,Summer_2026|CDFS 408|01|10815,FALSE,\N,305,LEC,NA,NA,available,ONLINE-ONLY,Roy R,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,CDFS,409,CDFS 409,LANG LEARN & DEVELOP CHILD,3,,01,10327,Summer_2026|CDFS 409|01|10327,FALSE,\N,305,SEM,NA,NA,available,ONLINE-ONLY,Hur J,Class instruction is: Asynch. Online-No Meet Times.
