term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Summer_2026,CECS,323,CECS 323,DATABASE FUNDAMENTALS,3,,01,10202,Summer_2026|CECS 323|01|10202,FALSE,\N,"1,310",SEM,TuWTh,9-11:30AM,available,ECS-405,Brown D,Class instruction is: Face to Face - On Campus.
Summer_2026,CECS,325,CECS 325,SYSTEM PROGRAMMING,3,,01,10659,Summer_2026|CECS 325|01|10659,FALSE,\N,"310,1",SEM,MW,4-8:00PM,available,ECS-404,Gold S,Class instruction is: Face to Face - On Campus.
Summer_2026,CECS,341,CECS 341,COMPUTER ARCHITECT ORGANIZATIN,3,,01,10591,Summer_2026|CECS 341|01|10591,FALSE,\N,310,SEM,MW,12-4:00PM,available,ECS-404,Ghaforyfard P,Class instruction is: Face to Face - On Campus.
Summer_2026,CECS,343,CECS 343,INTRO TO SOFTWARE ENGINEERING,3,,01,10233,Summer_2026|CECS 343|01|10233,FALSE,\N,"1,310",SEM,TuWTh,9-11:30AM,available,ECS-412,Basit A,Class instruction is: Face to Face - On Campus.
Summer_2026,CECS,378,CECS 378,INTRO TO COMPUTER SECURITY PRI,3,,01,10660,Summer_2026|CECS 378|01|10660,FALSE,\N,"1,310",SEM,MW,8-9:15AM,available,ECS-407,Addington S,Class instruction is: Face to Face - On Campus.
Summer_2026,CECS,451,CECS 451,ARTIFICIAL INTELLIGENCE,3,,01,10661,Summer_2026|CECS 451|01|10661,FALSE,\N,"1,310",SEM,MW,12-4:00PM,available,ECS-416,Sarshar A,Class instruction is: Face to Face - On Campus.
Summer_2026,CECS,453,CECS 453,MOBILE APPLICATION DEVELOPMENT,3,,01,10274,Summer_2026|CECS 453|01|10274,FALSE,\N,"1,310",SEM,TuWTh,12-2:30PM,available,ECS-403,Nguyen P,Class instruction is: Face to Face - On Campus.
Summer_2026,CECS,326,CECS 326,OPERATING SYSTEMS,3,,01,10174,Summer_2026|CECS 326|01|10174,FALSE,\N,"1,310",SEM,TuTh,4-7:45PM,available,ECS-407,Fahim A,Class instruction is: Face to Face - On Campus.
Summer_2026,CECS,381,CECS 381,STOCHASTIC COMPUTING,3,,01,10845,Summer_2026|CECS 381|01|10845,FALSE,\N,310,SEM,TuTh,12-3:45PM,available,ECS-404,Zhao Y,Class instruction is: Face to Face - On Campus.
Summer_2026,CECS,453,CECS 453,MOBILE APPLICATION DEVELOPMENT,3,,02,10846,Summer_2026|CECS 453|02|10846,FALSE,\N,,SEM,TuTh,12-3:45PM,available,ECS-403,Hoffman F,Class instruction is: Face to Face - On Campus.
