term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Spring_2026,CHEM,95,CHEM 95,FOUNDATIONS FOR GEN CHEM,1,,01,4967,Spring_2026|CHEM 95|01|4967,FALSE,\N,"1,27",ACT,MW,9-9:50AM,available,HC-134,Olivar E,Class instruction is: Face to Face - On Campus.
Spring_2026,CHEM,95,CHEM 95,FOUNDATIONS FOR GEN CHEM,1,,02,6962,Spring_2026|CHEM 95|02|6962,FALSE,\N,"1,27",ACT,TuTh,2-2:50PM,available,HC-131,Olivar E,Class instruction is: Face to Face - On Campus.
Spring_2026,CHEM,95,CHEM 95,FOUNDATIONS FOR GEN CHEM,1,,03,5016,Spring_2026|CHEM 95|03|5016,FALSE,\N,"1,27",ACT,MW,1-1:50PM,available,SPA-105,Chavez Santana E,Class instruction is: Face to Face - On Campus.
Spring_2026,CHEM,95,CHEM 95,FOUNDATIONS FOR GEN CHEM,1,,04,7996,Spring_2026|CHEM 95|04|7996,FALSE,\N,"1,27",ACT,MW,10-10:50AM,available,HC-134,Lee B,Class instruction is: Face to Face - On Campus.
Spring_2026,CHEM,95,CHEM 95,FOUNDATIONS FOR GEN CHEM,1,,05,8137,Spring_2026|CHEM 95|05|8137,FALSE,\N,"1,27",ACT,MW,11-11:50AM,available,HC-134,Chen A,Class instruction is: Face to Face - On Campus.
Spring_2026,CHEM,95,CHEM 95,FOUNDATIONS FOR GEN CHEM,1,,06,8190,Spring_2026|CHEM 95|06|8190,FALSE,\N,"1,27",ACT,F,10-11:50AM,available,HSCI-101,Albokaei A,Class instruction is: Face to Face - On Campus.
Spring_2026,CHEM,95,CHEM 95,FOUNDATIONS FOR GEN CHEM,1,,07,8191,Spring_2026|CHEM 95|07|8191,FALSE,\N,"1,27",ACT,F,12-1:50PM,available,HSCI-101,Benedicto V,Class instruction is: Face to Face - On Campus.
Spring_2026,CHEM,95A,CHEM 95A,FOUNDATIONS FOR GEN CHEMISTRY,1,,01,8764,Spring_2026|CHEM 95A|01|8764,FALSE,\N,"1,27",ACT,MW,9:30-10:45AM,available,PSY-200,Tandrapadu M,"Class meets from 02/23/26 - 05/08/26.Instructor Consent RequiredClass instruction is: Face to Face - On Campus.Pilot for Chem 111A Starts on week 6, February 23rd,� by Instructor Permit Only"
Spring_2026,CHEM,95A,CHEM 95A,FOUNDATIONS FOR GEN CHEMISTRY,1,,02,8765,Spring_2026|CHEM 95A|02|8765,FALSE,\N,"1,27",ACT,TuTh,12:30-1:45PM,available,SPA-103,Patel P,"Class meets from 02/23/26 - 05/08/26.Instructor Consent RequiredClass instruction is: Face to Face - On Campus.Pilot for Chem 111A Starts on week 6, February 23rd,� by Instructor Permit Only"
Spring_2026,CHEM,95A,CHEM 95A,FOUNDATIONS FOR GEN CHEMISTRY,1,,03,8766,Spring_2026|CHEM 95A|03|8766,FALSE,\N,"1,27",ACT,TuTh,2-3:15PM,available,SPA-103,Nguyen J,"Class meets from 02/23/26 - 05/08/26.Instructor Consent RequiredClass instruction is: Face to Face - On Campus.Pilot for Chem 111A Starts on week 6, February 23rd,� by Instructor Permit Only"
