term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Summer_2026,CHEM,100,CHEM 100,CHEMISTRY & TODAY'S WORLD,4,GE: 5A-WL (B1/B3),01,10360,Summer_2026|CHEM 100|01|10360,FALSE,\N,"1,27,306",LEC,MTuWTh,11-1:00PM,available,ONLINE-ONLY,Bernal E,Class instruction is: Synch. Online - Meet Times.
Summer_2026,CHEM,100,CHEM 100,CHEMISTRY & TODAY'S WORLD,4,GE: 5A-WL (B1/B3),02,10361,Summer_2026|CHEM 100|02|10361,FALSE,\N,"1,27,306",LAB,MTuWTh,1:05-3:05PM,available,ONLINE-ONLY,Bernal E,Class instruction is: Synch. Online - Meet Times.
Summer_2026,CHEM,111A,CHEM 111A,GENERAL CHEMISTRY,5,GE: 5A-WL (B1/B3),01,10570,Summer_2026|CHEM 111A|01|10570,FALSE,\N,"1,12,27,310",LEC,MTuWThF,10-11:40AM,available,PH1-223,Derakhshan S,Class instruction is: Face to Face - On Campus.
Summer_2026,CHEM,111A,CHEM 111A,GENERAL CHEMISTRY,5,GE: 5A-WL (B1/B3),02,10571,Summer_2026|CHEM 111A|02|10571,FALSE,\N,"1,12,27,310",LAB,MTuWTh,12:30-4:25PM,available,HSCI-334,An Y,Class instruction is: Face to Face - On Campus.
Summer_2026,CHEM,111A,CHEM 111A,GENERAL CHEMISTRY,5,GE: 5A-WL (B1/B3),03,10572,Summer_2026|CHEM 111A|03|10572,FALSE,\N,"1,12,27,310",LAB,MTuWTh,12:30-4:25PM,available,HSCI-332,Pierce P,Class instruction is: Face to Face - On Campus.
Summer_2026,CHEM,220A,CHEM 220A,ORGANIC CHEMISTRY I,3,,01,10897,Summer_2026|CHEM 220A|01|10897,FALSE,\N,,LEC,MTuWTh,9-10:56AM,available,HSCI-102,Schwans J,Class instruction is: Face to Face - On Campus.
Summer_2026,CHEM,220A,CHEM 220A,ORGANIC CHEMISTRY I,3,,02,10898,Summer_2026|CHEM 220A|02|10898,FALSE,\N,"27,310",LEC,MTuWTh,12-1:56PM,available,HSCI-105,Schwans J,Class instruction is: Face to Face - On Campus.
Summer_2026,CHEM,223A,CHEM 223A,ORGANIC CHEMISTRY LABORATORY I,1,,01,10552,Summer_2026|CHEM 223A|01|10552,FALSE,\N,"1,12,27",LAB,MTuW,2-4:40PM,available,MLSC-307,Marinez E,Class instruction is: Face to Face - On Campus.
Summer_2026,CHEM,223A,CHEM 223A,ORGANIC CHEMISTRY LABORATORY I,1,,02,10573,Summer_2026|CHEM 223A|02|10573,FALSE,\N,"1,12,27",LAB,MTuW,11-1:40PM,available,MLSC-307,Marinez E,Class instruction is: Face to Face - On Campus.
Summer_2026,CHEM,223A,CHEM 223A,ORGANIC CHEMISTRY LABORATORY I,1,,03,10671,Summer_2026|CHEM 223A|03|10671,FALSE,\N,"1,12,27,310",LAB,MTuW,11-1:40PM,available,MLSC-311,Staff,Class instruction is: Face to Face - On Campus.
