term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Summer_2026,COMM,410,COMM 410,ADV CONCEPTS INTERPERSNL COMM,3,,01,10824,Summer_2026|COMM 410|01|10824,FALSE,\N,"1,21,305",SEM,NA,NA,available,ONLINE-ONLY,Young S,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,COMM,414,COMM 414,COMMUNICATION IN FAMILIES,3,,01,10530,Summer_2026|COMM 414|01|10530,FALSE,\N,305,SEM,NA,NA,available,ONLINE-ONLY,Utley E,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,COMM,421,COMM 421,COMM-BARGAINING & NEGOTIATION,3,,01,10193,Summer_2026|COMM 421|01|10193,FALSE,\N,"1,305",SEM,NA,NA,available,ONLINE-ONLY,Bolkan S,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,COMM,301,COMM 301,COMMUNICATION CRITICISM,3,,01,10525,Summer_2026|COMM 301|01|10525,FALSE,\N,"1,309",SEM,M,10-12:45PM,available,ONLINE-ONLY,Mejia R,Class instruction is: Online - Mixed Meet Times.
Summer_2026,COMM,301,COMM 301,COMMUNICATION CRITICISM,3,,01,\N,Summer_2026|COMM 301|01|NOCLASS|f1db4e68a03809f4,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Mejia R,additional meeting detail
Summer_2026,COMM,306,COMM 306,COMMUNICATION THEORY,3,,01,10208,Summer_2026|COMM 306|01|10208,FALSE,\N,305,SEM,NA,NA,,ONLINE-ONLY,Pulido M,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,COMM,307,COMM 307,MEASUREMENT COMM RESEARCH,3,GE: 2UD/5UD (UDB),01,10425,Summer_2026|COMM 307|01|10425,FALSE,\N,"305,1",SEM,NA,NA,available,ONLINE-ONLY,Park S,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,COMM,412,COMM 412,GENDER & COMMUNICATION,3,,01,10527,Summer_2026|COMM 412|01|10527,FALSE,\N,"305,1",SEM,NA,NA,available,ONLINE-ONLY,Fox R,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,COMM,442,COMM 442,CAMPAIGN PERSUASION,3,GE: 4UD (UDD),01,10825,Summer_2026|COMM 442|01|10825,FALSE,\N,"21,309",SEM,TuTh,9:30-11:25AM,available,ONLINE-ONLY,Heyse A,Class instruction is: Online - Mixed Meet Times.
Summer_2026,COMM,442,COMM 442,CAMPAIGN PERSUASION,3,GE: 4UD (UDD),01,\N,Summer_2026|COMM 442|01|NOCLASS|d3dc1b772f55bdd3,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Heyse A,additional meeting detail
Summer_2026,COMM,110,COMM 110,INTERPERSONAL COMMUNICATION,3,GE: 1C (A1),01,10300,Summer_2026|COMM 110|01|10300,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,McPherson M,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,COMM,110,COMM 110,INTERPERSONAL COMMUNICATION,3,GE: 1C (A1),02,10316,Summer_2026|COMM 110|02|10316,FALSE,\N,305,ACT,NA,NA,,ONLINE-ONLY,McPherson M,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,COMM,300,COMM 300,SURVEY RHETORICAL THEORY,3,,01,10577,Summer_2026|COMM 300|01|10577,FALSE,\N,"305,1",LEC,NA,NA,available,ONLINE-ONLY,Duerringer C,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,COMM,307,COMM 307,MEASUREMENT COMM RESEARCH,3,GE: 2UD/5UD (UDB),02,10831,Summer_2026|COMM 307|02|10831,FALSE,\N,"1,306",SEM,MW,9:30-1:15PM,available,ONLINE-ONLY,Rodriguez J,Class instruction is: Synch. Online - Meet Times.
Summer_2026,COMM,330,COMM 330,INTERCULTURAL COMMUNICATION,3,,01,10836,Summer_2026|COMM 330|01|10836,FALSE,\N,"27,305",LEC,NA,NA,available,ONLINE-ONLY,Mao Y,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,COMM,422,COMM 422,MEDIA EFFECTS,3,,01,10245,Summer_2026|COMM 422|01|10245,FALSE,\N,"305,1",SEM,NA,NA,available,ONLINE-ONLY,Kahn A,Class instruction is: Asynch. Online-No Meet Times.
