term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Summer_2026,CRJU,230,CRJU 230,FORENSIC SCIENCES SURVEY,3,,01,10819,Summer_2026|CRJU 230|01|10819,FALSE,\N,,LEC,NA,NA,available,OFF-CAMP,Wang Z,Class instruction is: Face to Face - Off Campus.
Summer_2026,CRJU,300,CRJU 300,"RESEARCH, WRITING, & REASONING",3,,01,10388,Summer_2026|CRJU 300|01|10388,FALSE,\N,305,LEC,NA,NA,available,ONLINE-ONLY,Cunningham K,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,CRJU,301,CRJU 301,CRIMINAL COURTS,3,,01,10866,Summer_2026|CRJU 301|01|10866,FALSE,\N,305,LEC,NA,NA,available,ONLINE-ONLY,Van Brakle M,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,CRJU,302,CRJU 302,POLICING,3,,01,10923,Summer_2026|CRJU 302|01|10923,FALSE,\N,305,LEC,NA,NA,available,ONLINE-ONLY,Malm A,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,CRJU,303,CRJU 303,CORRECTIONS THEORY POLICY PRAC,3,,01,10587,Summer_2026|CRJU 303|01|10587,FALSE,\N,305,LEC,NA,NA,available,ONLINE-ONLY,Morgan S,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,CRJU,304,CRJU 304,CRIMINOLOGICAL THEORY,3,GWAR: WI,01,10070,Summer_2026|CRJU 304|01|10070,FALSE,\N,305,SEM,NA,NA,available,ONLINE-ONLY,Vickovic S,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,CRJU,304,CRJU 304,CRIMINOLOGICAL THEORY,3,GWAR: WI,02,10161,Summer_2026|CRJU 304|02|10161,FALSE,\N,305,SEM,NA,NA,available,ONLINE-ONLY,Diaz M,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,CRJU,304,CRJU 304,CRIMINOLOGICAL THEORY,3,GWAR: WI,03,10670,Summer_2026|CRJU 304|03|10670,FALSE,\N,305,SEM,NA,NA,,ONLINE-ONLY,Martin K,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,CRJU,320,CRJU 320,C J RESEARCH METHODS,3,,02,10867,Summer_2026|CRJU 320|02|10867,FALSE,\N,305,LEC,NA,NA,available,ONLINE-ONLY,Vickovic S,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,CRJU,325,CRJU 325,STATISTICS FOR CRIM JUSTICE,4,GE: 2UD/5UD (UDB),01,10071,Summer_2026|CRJU 325|01|10071,FALSE,\N,305,LEC,NA,NA,available,ONLINE-ONLY,Nash B,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,CRJU,330,CRJU 330,"CRIM ETHICS, VALUES, DIVERSITY",3,,01,10106,Summer_2026|CRJU 330|01|10106,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Ireland C,Class instruction is: Asynch. Online-No Meet Times.QM Certified
Summer_2026,CRJU,340,CRJU 340,SUBSTANTIVE CRIMINAL LAW,3,,01,10083,Summer_2026|CRJU 340|01|10083,FALSE,\N,305,LEC,NA,NA,available,ONLINE-ONLY,Van Brakle M,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,CRJU,350,CRJU 350,CONSTITUTNL CRIMINAL PROCEDURE,3,,01,10559,Summer_2026|CRJU 350|01|10559,FALSE,\N,305,LEC,NA,NA,available,ONLINE-ONLY,Scott-Hayward C,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,CRJU,402,CRJU 402,CRIME AND INEQUALITY,3,,01,10817,Summer_2026|CRJU 402|01|10817,FALSE,\N,305,LEC,NA,NA,available,ONLINE-ONLY,Chavez E,Class instruction is: Asynch. Online-No Meet Times.
