term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Summer_2026,DPT,720,DPT 720,PROFESSIONAL INTERACTIONS,3,,01,10192,Summer_2026|DPT 720|01|10192,FALSE,\N,310,LEC,TuTh,2-5:45PM,available,HSD-103,Gustafson S,Class instruction is: Face to Face - On Campus.
Summer_2026,DPT,765,DPT 765,MGMT INTEGUMENTARY DISORDERS,2,,02,10882,Summer_2026|DPT 765|02|10882,FALSE,\N,310,LEC,M,1-3:45PM,available,SSC-040,Lee A,Class instruction is: Face to Face - On Campus.
Summer_2026,DPT,765,DPT 765,MGMT INTEGUMENTARY DISORDERS,2,,02,\N,Summer_2026|DPT 765|02|NOCLASS|851db3b0d12ae29c,FALSE,\N,,,Tu,1-3:45PM,,SSC-040,Lee A,additional meeting detail
Summer_2026,DPT,796,DPT 796,RESEARCH METHODS,2,,02,10881,Summer_2026|DPT 796|02|10881,FALSE,\N,310,LEC,TuTh,9-11:30AM,available,ET-115,Krishnan V,Class instruction is: Face to Face - On Campus.
Summer_2026,DPT,701,DPT 701,ANATOMY FOR PHYSICAL THERAPY,6,,01,10640,Summer_2026|DPT 701|01|10640,FALSE,\N,310,LEC,MWF,8-9:20AM,available,SSC-040,Lee E,Class instruction is: Face to Face - On Campus.
Summer_2026,DPT,701,DPT 701,ANATOMY FOR PHYSICAL THERAPY,6,,02,10641,Summer_2026|DPT 701|02|10641,FALSE,\N,310,LAB,M,2:15-6:05PM,available,SSC-025,Lee E,Class instruction is: Face to Face - On Campus.
Summer_2026,DPT,701,DPT 701,ANATOMY FOR PHYSICAL THERAPY,6,,02,\N,Summer_2026|DPT 701|02|NOCLASS|66eb548f28103a62,FALSE,\N,,,W,2:15-6:05PM,,NA,Staff,additional meeting detail
Summer_2026,DPT,701,DPT 701,ANATOMY FOR PHYSICAL THERAPY,6,,02,\N,Summer_2026|DPT 701|02|NOCLASS|956d17265c8fbd5e,FALSE,\N,,,M,9:30-1:25PM,,NA,Staff,additional meeting detail
Summer_2026,DPT,701,DPT 701,ANATOMY FOR PHYSICAL THERAPY,6,,02,\N,Summer_2026|DPT 701|02|NOCLASS|5d10317b3a5e97de,FALSE,\N,,,NA,NA,,NA,Staff,additional meeting detail
Summer_2026,DPT,701,DPT 701,ANATOMY FOR PHYSICAL THERAPY,6,,03,10642,Summer_2026|DPT 701|03|10642,FALSE,\N,310,LAB,W,9:30-1:25PM,available,NA,Staff,Class instruction is: Face to Face - On Campus.
