term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Summer_2026,EDLD,720,EDLD 720,PROSEM EDUCATIONAL LEADERSHIP,1,,03,10919,Summer_2026|EDLD 720|03|10919,FALSE,\N,310,SEM,W,5-7:00PM,available,AS-235,Glass S,Class meets on 05/27/26.Department Consent RequiredClass instruction is: Face to Face - On Campus.
Summer_2026,EDLD,720,EDLD 720,PROSEM EDUCATIONAL LEADERSHIP,1,,03,\N,Summer_2026|EDLD 720|03|NOCLASS|f4458a73172b359e,FALSE,\N,,,W,5-7:00PM,,AS-235,Staff,Class meets on 06/17/26.
Summer_2026,EDLD,720,EDLD 720,PROSEM EDUCATIONAL LEADERSHIP,1,,03,\N,Summer_2026|EDLD 720|03|NOCLASS|05e156d6c8121ebe,FALSE,\N,,,W,5-10:00PM,,AS-235,Staff,Class meets on 08/12/26.
Summer_2026,EDLD,720,EDLD 720,PROSEM EDUCATIONAL LEADERSHIP,1,,03,\N,Summer_2026|EDLD 720|03|NOCLASS|857232fdcfc8045a,FALSE,\N,,,W,6-10:00PM,,AS-235,Staff,Class meets on 07/29/26.
Summer_2026,EDLD,720,EDLD 720,PROSEM EDUCATIONAL LEADERSHIP,1,,04,10920,Summer_2026|EDLD 720|04|10920,FALSE,\N,310,SEM,W,5-7:00PM,available,AS-241,Haviland D,Class meets on 05/27/26.Department Consent RequiredClass instruction is: Face to Face - On Campus.
Summer_2026,EDLD,720,EDLD 720,PROSEM EDUCATIONAL LEADERSHIP,1,,04,\N,Summer_2026|EDLD 720|04|NOCLASS|5aa8abc8aa050661,FALSE,\N,,,W,5-7:00PM,,AS-241,Staff,Class meets on 06/17/26.
Summer_2026,EDLD,720,EDLD 720,PROSEM EDUCATIONAL LEADERSHIP,1,,04,\N,Summer_2026|EDLD 720|04|NOCLASS|5bb46c96253d2819,FALSE,\N,,,W,6-10:00PM,,AS-241,Staff,Class meets on 07/29/26.
Summer_2026,EDLD,720,EDLD 720,PROSEM EDUCATIONAL LEADERSHIP,1,,04,\N,Summer_2026|EDLD 720|04|NOCLASS|01a10be010a88c23,FALSE,\N,,,W,5-10:00PM,,AS-241,Staff,Class meets on 08/12/26.
Summer_2026,EDLD,721C,EDLD 721C,ADV PROSEM EDUC LEADERSHIP,3,,01,10045,Summer_2026|EDLD 721C|01|10045,FALSE,\N,310,SEM,W,5-10:00PM,available,AS-244,Olson A,Class meets on 05/27/26.Department Consent RequiredClass instruction is: Face to Face - On Campus.
Summer_2026,EDLD,721C,EDLD 721C,ADV PROSEM EDUC LEADERSHIP,3,,01,\N,Summer_2026|EDLD 721C|01|NOCLASS|24073e40d7b7bd0b,FALSE,\N,,,Sa,9-5:00PM,,AS-244,Olson A,Class meets on 06/13/26.
Summer_2026,EDLD,721C,EDLD 721C,ADV PROSEM EDUC LEADERSHIP,3,,01,\N,Summer_2026|EDLD 721C|01|NOCLASS|129a8781ee2847ab,FALSE,\N,,,W,5-10:00PM,,AS-244,Olson A,Class meets on 07/15/26.
Summer_2026,EDLD,721C,EDLD 721C,ADV PROSEM EDUC LEADERSHIP,3,,01,\N,Summer_2026|EDLD 721C|01|NOCLASS|7e53b5947766fb06,FALSE,\N,,,Sa,9-1:00PM,,AS-244,Olson A,Class meets on 08/01/26.
Summer_2026,EDLD,721C,EDLD 721C,ADV PROSEM EDUC LEADERSHIP,3,,02,10046,Summer_2026|EDLD 721C|02|10046,FALSE,\N,310,SEM,W,5-10:00PM,available,AS-233,Biolchino E,Class meets on 05/27/26.Department Consent RequiredClass instruction is: Face to Face - On Campus.
Summer_2026,EDLD,721C,EDLD 721C,ADV PROSEM EDUC LEADERSHIP,3,,02,\N,Summer_2026|EDLD 721C|02|NOCLASS|5e0c7c877657a01a,FALSE,\N,,,Sa,9-5:00PM,,AS-233,Biolchino E,Class meets on 06/13/26.
Summer_2026,EDLD,721C,EDLD 721C,ADV PROSEM EDUC LEADERSHIP,3,,02,\N,Summer_2026|EDLD 721C|02|NOCLASS|79f26e5da466dfba,FALSE,\N,,,W,5-10:00PM,,AS-233,Biolchino E,Class meets on 07/15/26.
Summer_2026,EDLD,721C,EDLD 721C,ADV PROSEM EDUC LEADERSHIP,3,,02,\N,Summer_2026|EDLD 721C|02|NOCLASS|ac367c71ee55b7f3,FALSE,\N,,,Sa,9-1:00PM,,AS-233,Biolchino E,Class meets on 08/01/26.
Summer_2026,EDLD,730,EDLD 730,EDU RESRH EPISTEMGIE & METHOD,2,,03,10921,Summer_2026|EDLD 730|03|10921,FALSE,\N,307,SEM,W,7-10:00PM,available,AS-240,Staff,Class meets on 05/27/26.Department Consent RequiredClass instruction is: Hybrid(Face to Face & Async).
Summer_2026,EDLD,730,EDLD 730,EDU RESRH EPISTEMGIE & METHOD,2,,03,\N,Summer_2026|EDLD 730|03|NOCLASS|899b8abf6a1f0a02,FALSE,\N,,,W,6-9:30PM,,AS-240,Staff,Class meets on 06/03/26.
Summer_2026,EDLD,730,EDLD 730,EDU RESRH EPISTEMGIE & METHOD,2,,03,\N,Summer_2026|EDLD 730|03|NOCLASS|217385cb2665d4d2,FALSE,\N,,,W,7:30-10:00PM,,AS-240,Staff,Class meets on 06/17/26.
Summer_2026,EDLD,730,EDLD 730,EDU RESRH EPISTEMGIE & METHOD,2,,03,\N,Summer_2026|EDLD 730|03|NOCLASS|8d78d4c2afc2854a,FALSE,\N,,,W,6-9:00PM,,AS-240,Staff,Class meets on 06/24/26.
