term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Spring_2026,ERTH,102,ERTH 102,PLANET EARTH,3,GE: 5A-NL (B1),01,7272,Spring_2026|ERTH 102|01|7272,FALSE,\N,"1,27",LEC,TuTh,9:30-10:45AM,available,COB-139A,Pearse J,Class instruction is: Face to Face - On Campus.
Spring_2026,ERTH,102,ERTH 102,PLANET EARTH,3,GE: 5A-NL (B1),02,7273,Spring_2026|ERTH 102|02|7273,FALSE,\N,"1,27",LEC,TuTh,5:30-6:45PM,available,HSCI-103,Fair C,Class instruction is: Face to Face - On Campus.
Spring_2026,ERTH,102,ERTH 102,PLANET EARTH,3,GE: 5A-NL (B1),03,12470,Spring_2026|ERTH 102|03|12470,FALSE,\N,310,LEC,MW,3:30-4:45PM,available,LA4-120,Greenwood R,Class instruction is: Face to Face - On Campus.
Spring_2026,ERTH,104,ERTH 104,PLANET EARTH LAB,1,GE: 5C/5A (B3/B1),01,7274,Spring_2026|ERTH 104|01|7274,FALSE,\N,"1,27",LAB,Tu,11-1:45PM,,HSCI-384,Gyesi T,Class instruction is: Face to Face - On Campus.
Spring_2026,ERTH,104,ERTH 104,PLANET EARTH LAB,1,GE: 5C/5A (B3/B1),02,7275,Spring_2026|ERTH 104|02|7275,FALSE,\N,"1,27",LAB,W,5:30-8:15PM,,HSCI-384,Light L,Class instruction is: Face to Face - On Campus.
Spring_2026,ERTH,104,ERTH 104,PLANET EARTH LAB,1,GE: 5C/5A (B3/B1),03,7276,Spring_2026|ERTH 104|03|7276,FALSE,\N,"1,27",LAB,M,11-1:45PM,,HSCI-384,Light L,Class instruction is: Face to Face - On Campus.
Spring_2026,ERTH,104,ERTH 104,PLANET EARTH LAB,1,GE: 5C/5A (B3/B1),04,8099,Spring_2026|ERTH 104|04|8099,FALSE,\N,,LAB,Th,11-1:45PM,,HSCI-384,Gyesi T,Class instruction is: Face to Face - On Campus.
Spring_2026,ERTH,106,ERTH 106,EARTH SCIENCE FOR TEACHERS,4,,01,7277,Spring_2026|ERTH 106|01|7277,FALSE,\N,"1,15,27",LEC,M,8-10:45AM,available,HSCI-384,Fair C,Class instruction is: Face to Face - On Campus.
Spring_2026,ERTH,106,ERTH 106,EARTH SCIENCE FOR TEACHERS,4,,02,7278,Spring_2026|ERTH 106|02|7278,FALSE,\N,,LAB,W,8-10:45AM,available,HSCI-384,Fair C,Class instruction is: Face to Face - On Campus.
Spring_2026,ERTH,110,ERTH 110,NATURAL DISASTERS,3,GE: 5A-NL (B1),01,7281,Spring_2026|ERTH 110|01|7281,FALSE,\N,"1,27",LEC,MW,12:30-1:45PM,,LA2-120,Gutierrez J,Class instruction is: Face to Face - On Campus.
Spring_2026,ERTH,110,ERTH 110,NATURAL DISASTERS,3,GE: 5A-NL (B1),02,7282,Spring_2026|ERTH 110|02|7282,FALSE,\N,"1,27",LEC,TuTh,9:30-10:45AM,,KIN-059,Gutierrez J,Class instruction is: Face to Face - On Campus.
Spring_2026,ERTH,110,ERTH 110,NATURAL DISASTERS,3,GE: 5A-NL (B1),03,7283,Spring_2026|ERTH 110|03|7283,FALSE,\N,"1,27,305",LEC,NA,NA,,ONLINE-ONLY,Peterson C,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,ERTH,110,ERTH 110,NATURAL DISASTERS,3,GE: 5A-NL (B1),04,7284,Spring_2026|ERTH 110|04|7284,FALSE,\N,"1,27,305",LEC,NA,NA,,ONLINE-ONLY,Peterson C,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,ERTH,110,ERTH 110,NATURAL DISASTERS,3,GE: 5A-NL (B1),05,7285,Spring_2026|ERTH 110|05|7285,FALSE,\N,"1,27,305",LEC,NA,NA,,ONLINE-ONLY,Peterson C,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,ERTH,110L,ERTH 110L,NATURAL DISASTERS LABORATORY,1,GE: 5C/5A (B3/B1),01,7286,Spring_2026|ERTH 110L|01|7286,FALSE,\N,"1,27",LAB,Th,11-1:45PM,,HSCI-382,Hill P,Class instruction is: Face to Face - On Campus.
Spring_2026,ERTH,110L,ERTH 110L,NATURAL DISASTERS LABORATORY,1,GE: 5C/5A (B3/B1),02,7287,Spring_2026|ERTH 110L|02|7287,FALSE,\N,"1,27",LAB,M,2-4:45PM,available,HSCI-382,Berry N,Class instruction is: Face to Face - On Campus.
Spring_2026,ERTH,110L,ERTH 110L,NATURAL DISASTERS LABORATORY,1,GE: 5C/5A (B3/B1),03,7288,Spring_2026|ERTH 110L|03|7288,FALSE,\N,"1,27",LAB,Tu,11-1:45PM,,HSCI-382,Hill P,Class instruction is: Face to Face - On Campus.
Spring_2026,ERTH,110L,ERTH 110L,NATURAL DISASTERS LABORATORY,1,GE: 5C/5A (B3/B1),04,10968,Spring_2026|ERTH 110L|04|10968,FALSE,\N,"1,27",LAB,W,2-4:45PM,,HSCI-382,Berry N,Class instruction is: Face to Face - On Campus.
Spring_2026,ERTH,110L,ERTH 110L,NATURAL DISASTERS LABORATORY,1,GE: 5C/5A (B3/B1),07,7289,Spring_2026|ERTH 110L|07|7289,FALSE,\N,"1,27",LAB,F,9-11:45AM,,HSCI-382,Dymond B,Class instruction is: Face to Face - On Campus.
Spring_2026,ERTH,110L,ERTH 110L,NATURAL DISASTERS LABORATORY,1,GE: 5C/5A (B3/B1),08,7947,Spring_2026|ERTH 110L|08|7947,FALSE,\N,"1,27",LAB,Tu,8-10:45AM,available,HSCI-382,Dimicco A,Class instruction is: Face to Face - On Campus.
Spring_2026,ERTH,110L,ERTH 110L,NATURAL DISASTERS LABORATORY,1,GE: 5C/5A (B3/B1),09,7970,Spring_2026|ERTH 110L|09|7970,FALSE,\N,"1,27",LAB,Th,8-10:45AM,available,HSCI-382,Dimicco A,Class instruction is: Face to Face - On Campus.
Spring_2026,ERTH,160,ERTH 160,INTRO TO OCEANOGRAPHY,3,GE: 5A-NL (B1),01,7290,Spring_2026|ERTH 160|01|7290,FALSE,\N,"1,27",SEM,NA,NA,,ONLINE-ONLY,Peterson C,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,ERTH,160,ERTH 160,INTRO TO OCEANOGRAPHY,3,GE: 5A-NL (B1),02,7291,Spring_2026|ERTH 160|02|7291,FALSE,\N,"1,27",SEM,TuTh,2-3:15PM,available,KIN-059,Fair C,Class instruction is: Face to Face - On Campus.
