term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Spring_2026,E,E 186,E E 186,INTRO PROG & APPL ELECTR ENGNR,3,,01,6461,Spring_2026|E E 186|01|6461,FALSE,\N,311,SEM,MW,2-2:50PM,,ECS-308,De Sulima-Przyborowski J,Class instruction is: Face to Face - On Campus.
Spring_2026,E,E 186,E E 186,INTRO PROG & APPL ELECTR ENGNR,3,,02,6462,Spring_2026|E E 186|02|6462,FALSE,\N,310,LAB,M,3-5:45PM,,ECS-316,De Sulima-Przyborowski J,Class instruction is: Face to Face - On Campus.
Spring_2026,E,E 186,E E 186,INTRO PROG & APPL ELECTR ENGNR,3,,03,6463,Spring_2026|E E 186|03|6463,FALSE,\N,310,LAB,W,3-5:45PM,,ECS-316,De Sulima-Przyborowski J,Class instruction is: Face to Face - On Campus.
Spring_2026,E,E 200,E E 200,TRENDS ELECTRICAL ENGINEERING,1,GE: E,01,3231,Spring_2026|E E 200|01|3231,FALSE,\N,,SEM,Th,6-6:50PM,available,ECS-105,Sleiman A,Class instruction is: Face to Face - On Campus.Class offered with E E-200H-01
Spring_2026,E,E 200H,E E 200H,TRENDS ELECTRICAL ENGINEERING,1,GE: E,01,4609,Spring_2026|E E 200H|01|4609,FALSE,\N,,SEM,Th,6-6:50PM,available,ECS-105,Sleiman A,Class instruction is: Face to Face - On Campus.Class offered with E E-200-01
Spring_2026,E,E 201,E E 201,DIGITAL LOGIC DESIGN,3,,01,6473,Spring_2026|E E 201|01|6473,FALSE,\N,310,SEM,TuTh,2-2:50PM,,VEC-519,Hedayatipour A,Class instruction is: Face to Face - On Campus.
Spring_2026,E,E 201,E E 201,DIGITAL LOGIC DESIGN,3,,02,6474,Spring_2026|E E 201|02|6474,FALSE,\N,310,LAB,TuTh,3-4:15PM,,ECS-317,Hedayatipour A,Class instruction is: Face to Face - On Campus.
Spring_2026,E,E 202,E E 202,COMPUTER METHODS ENGINEERING,3,,01,3280,Spring_2026|E E 202|01|3280,FALSE,\N,,SEM,MW,3-3:50PM,,VEC-519,Mozumdar M,Class instruction is: Face to Face - On Campus.
Spring_2026,E,E 202,E E 202,COMPUTER METHODS ENGINEERING,3,,02,3281,Spring_2026|E E 202|02|3281,FALSE,\N,,LAB,M,4:15-7:00PM,available,VEC-417,Mozumdar M,Class instruction is: Face to Face - On Campus.
Spring_2026,E,E 202,E E 202,COMPUTER METHODS ENGINEERING,3,,03,7462,Spring_2026|E E 202|03|7462,FALSE,\N,,LAB,W,4:15-7:00PM,,VEC-417,Mozumdar M,Class instruction is: Face to Face - On Campus.
Spring_2026,E,E 211,E E 211,ELECTRIC & ELECTRONIC CIRCUITS,3,,01,2949,Spring_2026|E E 211|01|2949,FALSE,\N,,SEM,TuTh,8-9:15AM,,VEC-417,Al Jufout S,Class instruction is: Face to Face - On Campus.
Spring_2026,E,E 211,E E 211,ELECTRIC & ELECTRONIC CIRCUITS,3,,03,7463,Spring_2026|E E 211|03|7463,FALSE,\N,,SEM,W,8-10:45AM,,VEC-401,Ary J,Class instruction is: Face to Face - On Campus.
Spring_2026,E,E 211L,E E 211L,ELECTRIC CIRCUITS LABORATORY,1,,02,4436,Spring_2026|E E 211L|02|4436,FALSE,\N,,LAB,W,1-3:45PM,available,ECS-314,Ary J,Class instruction is: Face to Face - On Campus.
Spring_2026,E,E 211L,E E 211L,ELECTRIC CIRCUITS LABORATORY,1,,03,10794,Spring_2026|E E 211L|03|10794,FALSE,\N,,LAB,Th,7-9:45PM,available,ECS-314,Rahnavard M,Class instruction is: Face to Face - On Campus.
Spring_2026,E,E 211L,E E 211L,ELECTRIC CIRCUITS LABORATORY,1,,04,7072,Spring_2026|E E 211L|04|7072,FALSE,\N,,LAB,Tu,3:30-6:15PM,,ECS-314,Ary J,Class instruction is: Face to Face - On Campus.
Spring_2026,E,E 220,E E 220,MATERLS SCIENCE ELECTRICAL ENG,3,,02,9331,Spring_2026|E E 220|02|9331,FALSE,\N,,SEM,TuTh,3:30-4:45PM,available,ECS-316,De Sulima-Przyborowski J,Class instruction is: Face to Face - On Campus.
Spring_2026,E,E 301,E E 301,DIGITAL SYSTEM DESIGN,3,,01,2933,Spring_2026|E E 301|01|2933,FALSE,\N,,SEM,MW,9-9:50AM,,VEC-402,Khoo I,Class instruction is: Face to Face - On Campus.Class offered with E E-301H-01
Spring_2026,E,E 301,E E 301,DIGITAL SYSTEM DESIGN,3,,02,2934,Spring_2026|E E 301|02|2934,FALSE,\N,,LAB,M,10-12:45PM,,VEC-417,Khoo I,Class instruction is: Face to Face - On Campus.Class offered with E E-301H-02
Spring_2026,E,E 301,E E 301,DIGITAL SYSTEM DESIGN,3,,03,6364,Spring_2026|E E 301|03|6364,FALSE,\N,,LAB,W,10-12:45PM,,VEC-417,Khoo I,Class instruction is: Face to Face - On Campus.
Spring_2026,E,E 301H,E E 301H,DIGITAL SYSTEM DESIGN,3,,01,4431,Spring_2026|E E 301H|01|4431,FALSE,\N,34,SEM,MW,9-9:50AM,,VEC-402,Khoo I,Class instruction is: Face to Face - On Campus.Class offered with E E-301-01
Spring_2026,E,E 301H,E E 301H,DIGITAL SYSTEM DESIGN,3,,02,4432,Spring_2026|E E 301H|02|4432,FALSE,\N,34,LAB,M,10-12:45PM,,VEC-417,Khoo I,Class instruction is: Face to Face - On Campus.Class offered with E E-301-02
Spring_2026,E,E 310,E E 310,SIGNALS & SYSTEMS,3,,02,5109,Spring_2026|E E 310|02|5109,FALSE,\N,,SEM,Th,7-9:45PM,,VEC-519,Eng T,Class instruction is: Face to Face - On Campus.
Spring_2026,E,E 310,E E 310,SIGNALS & SYSTEMS,3,,03,10793,Spring_2026|E E 310|03|10793,FALSE,\N,,SEM,TuTh,2-3:15PM,available,VEC-402,Moussavi M,Class instruction is: Face to Face - On Campus.
Spring_2026,E,E 310,E E 310,SIGNALS & SYSTEMS,3,,04,12284,Spring_2026|E E 310|04|12284,FALSE,\N,,SEM,MW,7-8:15PM,available,VEC-519,Talebi M,Class instruction is: Face to Face - On Campus.Class offered with E E-310H-04
Spring_2026,E,E 310H,E E 310H,SIGNALS & SYSTEMS,3,,04,12285,Spring_2026|E E 310H|04|12285,FALSE,\N,310,SEM,MW,7-8:15PM,available,VEC-519,Talebi M,Class instruction is: Face to Face - On Campus.Class offered with E E-310-04
Spring_2026,E,E 330,E E 330,ANALOG ELECTRONIC CIRCUITS I,4,,01,3249,Spring_2026|E E 330|01|3249,FALSE,\N,,SEM,MW,9:30-10:45AM,,ECS-314,Wang F,Class instruction is: Face to Face - On Campus.
Spring_2026,E,E 330,E E 330,ANALOG ELECTRONIC CIRCUITS I,4,,02,3250,Spring_2026|E E 330|02|3250,FALSE,\N,,LAB,MW,11-12:15PM,,ECS-314,De Sulima-Przyborowski J,Class instruction is: Face to Face - On Campus.
Spring_2026,E,E 346,E E 346,MICROPROCESS PRINCPL APPLICATN,3,,01,3639,Spring_2026|E E 346|01|3639,FALSE,\N,,SEM,F,11-12:50PM,,VEC-519,Mozumdar M,Class instruction is: Face to Face - On Campus.
Spring_2026,E,E 346,E E 346,MICROPROCESS PRINCPL APPLICATN,3,,02,3640,Spring_2026|E E 346|02|3640,FALSE,\N,,LAB,F,8-10:45AM,,ECS-314,Mozumdar M,Class instruction is: Face to Face - On Campus.
Spring_2026,E,E 346,E E 346,MICROPROCESS PRINCPL APPLICATN,3,,03,5426,Spring_2026|E E 346|03|5426,FALSE,\N,,LAB,F,2-4:45PM,,ECS-314,Mozumdar M,Class instruction is: Face to Face - On Campus.
Spring_2026,E,E 350,E E 350,ENERGY CONVERSION PRINCIPLES,3,,03,4612,Spring_2026|E E 350|03|4612,FALSE,\N,,SEM,M,1-2:50PM,,ECS-314,Amiri E,Class instruction is: Face to Face - On Campus.Class offered with E E-350H-01
Spring_2026,E,E 350,E E 350,ENERGY CONVERSION PRINCIPLES,3,,04,4613,Spring_2026|E E 350|04|4613,FALSE,\N,,LAB,M,3-5:45PM,,ECS-314,Al Jufout S,Class instruction is: Face to Face - On Campus.Class offered with E E-350H-02
