term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Summer_2026,FIN,300,FIN 300,BUSINESS FINANCE,3,,01,10156,Summer_2026|FIN 300|01|10156,FALSE,\N,309,LEC,MW,8:30-12:35PM,available,ONLINE-ONLY,Ma Y,Class instruction is: Online - Mixed Meet Times.
Summer_2026,FIN,300,FIN 300,BUSINESS FINANCE,3,,01,\N,Summer_2026|FIN 300|01|NOCLASS|137aa9e9724a6e2d,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Staff,additional meeting detail
Summer_2026,FIN,670,FIN 670,SEM EQTY SECURITIES & VALUATN,3,,01,10278,Summer_2026|FIN 670|01|10278,FALSE,\N,310,SEM,TuTh,6-9:45PM,available,COB-229,Ammermann P,Class instruction is: Face to Face - On Campus.
Summer_2026,FIN,691,FIN 691,INTEGRATED FINANCIAL MGMT,3,,01,10277,Summer_2026|FIN 691|01|10277,FALSE,\N,307,SEM,MW,6-9:45PM,available,COB-229,Muhtaseb M,Class instruction is: Hybrid(Face to Face & Async).
Summer_2026,FIN,691,FIN 691,INTEGRATED FINANCIAL MGMT,3,,01,\N,Summer_2026|FIN 691|01|NOCLASS|8ddc6c0c070570f7,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Staff,additional meeting detail
Summer_2026,FIN,350,FIN 350,INVESTMENT PRINCIPLES,3,,01,10154,Summer_2026|FIN 350|01|10154,FALSE,\N,306,SEM,MW,5:55-9:40PM,available,ONLINE-ONLY,Kim Y,Class instruction is: Synch. Online - Meet Times.Finance Lab Fee of $20 will be assessed to cover access to Bloomberg Terminal and other data sets.
Summer_2026,FIN,501,FIN 501,FINANCIAL MANAGEMENT CONCEPTS,3,,02,10189,Summer_2026|FIN 501|02|10189,FALSE,\N,305,SEM,NA,NA,available,ONLINE-ONLY,Yur-Austin J,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,FIN,600,FIN 600,SEMINAR IN BUSINESS FINANCE,3,,04,10342,Summer_2026|FIN 600|04|10342,FALSE,\N,309,SEM,TuTh,6-9:45PM,available,ONLINE-ONLY,Ammermann P,Class instruction is: Online - Mixed Meet Times.
Summer_2026,FIN,600,FIN 600,SEMINAR IN BUSINESS FINANCE,3,,04,\N,Summer_2026|FIN 600|04|NOCLASS|cc93d5511922e9e2,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Staff,additional meeting detail
Summer_2026,FIN,501,FIN 501,FINANCIAL MANAGEMENT CONCEPTS,3,,01,10561,Summer_2026|FIN 501|01|10561,FALSE,\N,309,SEM,Tu,6-8:45PM,,ONLINE-ONLY,Chen C,"Class instruction is: Online - Mixed Meet Times.This is an OMBA Course. Synchronous meeting dates: 5/28, 6/4, 6/11, 6/18, 6/25, 7/2, 7/9, 7/16."
Summer_2026,FIN,501,FIN 501,FINANCIAL MANAGEMENT CONCEPTS,3,,01,\N,Summer_2026|FIN 501|01|NOCLASS|b331059ce8c9fbe9,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Staff,additional meeting detail
Summer_2026,FIN,600,FIN 600,SEMINAR IN BUSINESS FINANCE,3,,01,10562,Summer_2026|FIN 600|01|10562,FALSE,\N,309,SEM,Tu,6-8:45PM,,ONLINE-ONLY,Zhu L,"Class instruction is: Online - Mixed Meet Times.Scheduled Meeting Dates: 5/27, 6/3, 6/10, 6/17, 6/24, 7/1, 7/8, 7/15OMBA Summer Program Course"
Summer_2026,FIN,600,FIN 600,SEMINAR IN BUSINESS FINANCE,3,,01,\N,Summer_2026|FIN 600|01|NOCLASS|35b26d9949702b83,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Staff,additional meeting detail
Summer_2026,FIN,600,FIN 600,SEMINAR IN BUSINESS FINANCE,3,,02,10217,Summer_2026|FIN 600|02|10217,FALSE,\N,309,SEM,Th,6-8:45PM,,ONLINE-ONLY,Shin H,"Class instruction is: Online - Mixed Meet Times.Schedule Class Dates: 5/29, 6/5, 6/12, 6/26, 7/3, 7/10, 7/17 (only 7 sync meeting dates)OMBA Summer Program Course"
Summer_2026,FIN,600,FIN 600,SEMINAR IN BUSINESS FINANCE,3,,02,\N,Summer_2026|FIN 600|02|NOCLASS|6a38e4653dd1b74b,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Staff,additional meeting detail
Summer_2026,FIN,600,FIN 600,SEMINAR IN BUSINESS FINANCE,3,,03,10444,Summer_2026|FIN 600|03|10444,FALSE,\N,309,SEM,Th,6-8:45PM,,ONLINE-ONLY,McEnulty F,"Class instruction is: Online - Mixed Meet Times.Class Scheduled Dates: 5/29, 6/5, 6/12, 6/26, 7/3, 7/10, 7/17OMBA Summer Program Course"
Summer_2026,FIN,600,FIN 600,SEMINAR IN BUSINESS FINANCE,3,,03,\N,Summer_2026|FIN 600|03|NOCLASS|120622a85ce3c735,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Staff,additional meeting detail
