term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Summer_2026,GERN,200,GERN 200,THE JOURNEY OF AGING,3,GE: 4C (D3),02,10843,Summer_2026|GERN 200|02|10843,FALSE,\N,305,LEC,NA,NA,available,ONLINE-ONLY,Goeller C,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,GERN,400,GERN 400,PERSPECTIVES ON GERONTOLOGY,3,GE: 4UD (UDD); GWAR: WI,01,10013,Summer_2026|GERN 400|01|10013,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Marshall M,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,GERN,400,GERN 400,PERSPECTIVES ON GERONTOLOGY,3,GE: 4UD (UDD); GWAR: WI,02,10026,Summer_2026|GERN 400|02|10026,FALSE,\N,305,LEC,NA,NA,available,ONLINE-ONLY,Marshall M,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,GERN,401,GERN 401,HUMAN AGING,3,GE: 2UD/5UD (UDB),01,10333,Summer_2026|GERN 401|01|10333,FALSE,\N,305,LEC,NA,NA,available,ONLINE-ONLY,Carpiac M,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,GERN,401,GERN 401,HUMAN AGING,3,GE: 2UD/5UD (UDB),02,10334,Summer_2026|GERN 401|02|10334,FALSE,\N,305,LEC,NA,NA,available,ONLINE-ONLY,Carpiac M,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,GERN,698,GERN 698,THESIS,3,,01,11054,Summer_2026|GERN 698|01|11054,FALSE,\N,305,SUP,TBA,NA,available,ONLINE-ONLY,Watts M,Instructor Consent RequiredClass instruction is: Asynch. Online-No Meet Times.
Summer_2026,GERN,492G,GERN 492G,INTERNSHIP IN GERN,3,,01,10212,Summer_2026|GERN 492G|01|10212,FALSE,\N,305,SEM,NA,NA,available,ONLINE-ONLY,Koster B,Instructor Consent RequiredClass instruction is: Asynch. Online-No Meet Times.
Summer_2026,GERN,592,GERN 592,INTERNSHIP FCS & GERONTOLOGY,3,,01,10213,Summer_2026|GERN 592|01|10213,FALSE,\N,305,SEM,NA,NA,available,ONLINE-ONLY,Koster B,Instructor Consent RequiredClass instruction is: Asynch. Online-No Meet Times.
Summer_2026,GERN,200,GERN 200,THE JOURNEY OF AGING,3,GE: 4C (D3),01,10432,Summer_2026|GERN 200|01|10432,FALSE,\N,305,LEC,NA,NA,available,ONLINE-ONLY,Wilkinson A,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,GERN,400,GERN 400,PERSPECTIVES ON GERONTOLOGY,3,GE: 4UD (UDD); GWAR: WI,03,10298,Summer_2026|GERN 400|03|10298,FALSE,\N,305,LEC,NA,NA,available,ONLINE-ONLY,Marshall M,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,GERN,400,GERN 400,PERSPECTIVES ON GERONTOLOGY,3,GE: 4UD (UDD); GWAR: WI,04,10082,Summer_2026|GERN 400|04|10082,FALSE,\N,305,LEC,NA,NA,available,ONLINE-ONLY,Carpiac M,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,GERN,692,GERN 692,GERONTOLOGY DIRECTED PROJECT,3,,01,11055,Summer_2026|GERN 692|01|11055,FALSE,\N,305,SUP,TBA,NA,available,ONLINE-ONLY,Watts M,Instructor Consent RequiredClass instruction is: Asynch. Online-No Meet Times.
