term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Summer_2026,G,S 700A,G S 700A,GRADUATE STUDIES - CHHS,0,,01,10113,Summer_2026|G S 700A|01|10113,FALSE,\N,307,SUP,TBA,NA,available,ONLINE-ONLY,Ocampo A,Class instruction is: Hybrid(Face to Face & Async).
Summer_2026,G,S 700A,G S 700A,GRADUATE STUDIES - CHHS,0,,01,\N,Summer_2026|G S 700A|01|NOCLASS|71b6ee88af7fcfcf,FALSE,\N,,,TBA,NA,,NA,Ocampo A,additional meeting detail
Summer_2026,G,S 700B,G S 700B,GRADUATE STUDIES - COLA,0,,01,10114,Summer_2026|G S 700B|01|10114,FALSE,\N,307,SUP,TBA,NA,available,ONLINE-ONLY,Nicol D,Class instruction is: Hybrid(Face to Face & Async).
Summer_2026,G,S 700B,G S 700B,GRADUATE STUDIES - COLA,0,,01,\N,Summer_2026|G S 700B|01|NOCLASS|e409b881e2435150,FALSE,\N,,,TBA,NA,,NA,Nicol D,additional meeting detail
Summer_2026,G,S 700C,G S 700C,GRADUATE STUDIES - COB,0,,01,10253,Summer_2026|G S 700C|01|10253,FALSE,\N,307,SUP,TBA,NA,available,ONLINE-ONLY,Reddy S,Class instruction is: Hybrid(Face to Face & Async).
Summer_2026,G,S 700C,G S 700C,GRADUATE STUDIES - COB,0,,01,\N,Summer_2026|G S 700C|01|NOCLASS|5549567d5246ed98,FALSE,\N,,,TBA,NA,,NA,Reddy S,additional meeting detail
Summer_2026,G,S 700D,G S 700D,GRADUATE STUDIES - COED,0,,01,10115,Summer_2026|G S 700D|01|10115,FALSE,\N,307,SUP,TBA,NA,available,ONLINE-ONLY,Bustamante R,Department Consent RequiredClass instruction is: Hybrid(Face to Face & Async).
Summer_2026,G,S 700D,G S 700D,GRADUATE STUDIES - COED,0,,01,\N,Summer_2026|G S 700D|01|NOCLASS|87653403218ffa22,FALSE,\N,,,TBA,NA,,NA,Bustamante R,additional meeting detail
Summer_2026,G,S 700E,G S 700E,GRADUATE STUDIES - COE,0,,01,10116,Summer_2026|G S 700E|01|10116,FALSE,\N,307,SUP,TBA,NA,available,ONLINE-ONLY,Janoyan K,Department Consent RequiredClass instruction is: Hybrid(Face to Face & Async).
Summer_2026,G,S 700E,G S 700E,GRADUATE STUDIES - COE,0,,01,\N,Summer_2026|G S 700E|01|NOCLASS|06bdf9f65edacb53,FALSE,\N,,,TBA,NA,,NA,Janoyan K,additional meeting detail
Summer_2026,G,S 700F,G S 700F,GRADUATE STUDIES - COTA,0,,01,10117,Summer_2026|G S 700F|01|10117,FALSE,\N,307,SUP,TBA,NA,available,ONLINE-ONLY,Byrnes A,Department Consent RequiredClass instruction is: Hybrid(Face to Face & Async).
Summer_2026,G,S 700F,G S 700F,GRADUATE STUDIES - COTA,0,,01,\N,Summer_2026|G S 700F|01|NOCLASS|e2e8a7a7e1a950dd,FALSE,\N,,,TBA,NA,,NA,Byrnes A,additional meeting detail
Summer_2026,G,S 700G,G S 700G,GRADUATE STUDIES - CNSM,0,,01,10118,Summer_2026|G S 700G|01|10118,FALSE,\N,307,SUP,TBA,NA,available,ONLINE-ONLY,Benken B,Department Consent RequiredClass instruction is: Hybrid(Face to Face & Async).
Summer_2026,G,S 700G,G S 700G,GRADUATE STUDIES - CNSM,0,,01,\N,Summer_2026|G S 700G|01|NOCLASS|f95a2ddf7f123170,FALSE,\N,,,TBA,NA,,NA,Benken B,additional meeting detail
