term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Summer_2026,HCA,428,HCA 428,POPULATION HEALTH MGMT FOR HCA,3,,01,10271,Summer_2026|HCA 428|01|10271,FALSE,\N,306,LEC,TuTh,5:30-9:15PM,available,ONLINE-ONLY,Perley R,Class instruction is: Synch. Online - Meet Times.
Summer_2026,HCA,457,HCA 457,WORKING AROUND THE WORLD,3,GE: 4UD (UDD),01,10104,Summer_2026|HCA 457|01|10104,FALSE,\N,305,SEM,NA,NA,available,ONLINE-ONLY,Staff,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,HCA,528,HCA 528,MANAGING POPULATION HEALTH,3,,01,10270,Summer_2026|HCA 528|01|10270,FALSE,\N,306,SEM,TuTh,5:30-9:15PM,available,ONLINE-ONLY,Perley R,Class instruction is: Synch. Online - Meet Times.
Summer_2026,HCA,530,HCA 530,STRATEGIC PLNG MKTG HLTH CARE,3,,01,11037,Summer_2026|HCA 530|01|11037,FALSE,\N,305,SEM,NA,NA,available,ONLINE-ONLY,Staff,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,HCA,480,HCA 480,INTERNSHIP HEALTH CARE ADMIN,3,,01,10273,Summer_2026|HCA 480|01|10273,FALSE,\N,305,SEM,NA,NA,available,ONLINE-ONLY,Erlyana E,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,HCA,481,HCA 481,INTERNSHIP AND CAREERS IN HCA,3,,01,10272,Summer_2026|HCA 481|01|10272,FALSE,\N,305,SEM,NA,NA,available,ONLINE-ONLY,Gotz C,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,HCA,481,HCA 481,INTERNSHIP AND CAREERS IN HCA,3,,02,10756,Summer_2026|HCA 481|02|10756,FALSE,\N,305,SEM,NA,NA,available,ONLINE-ONLY,Gotz C,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,HCA,580,HCA 580,INTERNSHIP IN HCA,3,,01,10101,Summer_2026|HCA 580|01|10101,FALSE,\N,305,SEM,NA,NA,available,ONLINE-ONLY,Erlyana E,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,HCA,416,HCA 416,MANAGEMENT & INFO SYSTEMS,3,,01,10468,Summer_2026|HCA 416|01|10468,FALSE,\N,305,LEC,NA,NA,available,ONLINE-ONLY,Ramirez J,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,HCA,417,HCA 417,"TECHNOLOGY, ETHICS & SOCIETY",3,GE: 4UD (UDD); GWAR: WI,01,10220,Summer_2026|HCA 417|01|10220,FALSE,\N,305,SEM,NA,NA,available,ONLINE-ONLY,Staff,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,HCA,450,HCA 450,QA IN HEALTH CARE,3,,01,10121,Summer_2026|HCA 450|01|10121,FALSE,\N,306,LEC,MW,5:30-9:15PM,available,ONLINE-ONLY,Staff,Class instruction is: Synch. Online - Meet Times.
Summer_2026,HCA,550,HCA 550,CQI IN HEALTH SERVICES,3,,01,10122,Summer_2026|HCA 550|01|10122,FALSE,\N,306,SEM,MW,5:30-9:15PM,available,ONLINE-ONLY,Staff,Class instruction is: Synch. Online - Meet Times.
