term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Summer_2026,HIST,172,HIST 172,EARLY UNITED STATES HISTORY,3,GE: 4A (D1),02,10688,Summer_2026|HIST 172|02|10688,FALSE,\N,310,LEC,MTuWTh,8:15-12:20PM,available,LA4-100,C R,Class instruction is: Face to Face - On Campus.
Summer_2026,HIST,173,HIST 173,RECENT UNITED STATES HISTORY,3,GE: 4A (D1),04,10826,Summer_2026|HIST 173|04|10826,FALSE,\N,305,LEC,NA,NA,available,ONLINE-ONLY,Sheridan D,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,HIST,396,HIST 396,CONTEMPORARY WORLD HISTORY,3,,01,10512,Summer_2026|HIST 396|01|10512,FALSE,\N,305,LEC,NA,NA,available,ONLINE-ONLY,Judge R,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,HIST,112,HIST 112,WORLD SINCE 1500,3,GE: 4C (D3),01,10827,Summer_2026|HIST 112|01|10827,FALSE,\N,305,LEC,NA,NA,available,ONLINE-ONLY,Barton N,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,HIST,173,HIST 173,RECENT UNITED STATES HISTORY,3,GE: 4A (D1),02,10509,Summer_2026|HIST 173|02|10509,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Haltom J,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,HIST,364,HIST 364,LATIN AMERICAN NATIONS,3,GE: 4UD (UDD),01,10829,Summer_2026|HIST 364|01|10829,FALSE,\N,305,LEC,NA,NA,available,ONLINE-ONLY,Pina U,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,HIST,473,HIST 473,CALIFORNIA HISTORY,3,GE: 4UD (UDD),01,10232,Summer_2026|HIST 473|01|10232,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Schrank S,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,HIST,172,HIST 172,EARLY UNITED STATES HISTORY,3,GE: 4A (D1),01,10506,Summer_2026|HIST 172|01|10506,FALSE,\N,310,LEC,TuTh,9-10:50AM,available,LA4-105,Schraff R,Class instruction is: Face to Face - On Campus.
Summer_2026,HIST,173,HIST 173,RECENT UNITED STATES HISTORY,3,GE: 4A (D1),01,10514,Summer_2026|HIST 173|01|10514,FALSE,\N,305,LEC,NA,NA,available,ONLINE-ONLY,Thomas R,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,HIST,172,HIST 172,EARLY UNITED STATES HISTORY,3,GE: 4A (D1),03,10507,Summer_2026|HIST 172|03|10507,FALSE,\N,306,LEC,MW,8:30-12:15PM,available,ONLINE-ONLY,Beirich G,Class instruction is: Synch. Online - Meet Times.
Summer_2026,HIST,173,HIST 173,RECENT UNITED STATES HISTORY,3,GE: 4A (D1),03,10149,Summer_2026|HIST 173|03|10149,FALSE,\N,306,LEC,TuTh,9-12:45PM,available,ONLINE-ONLY,Nixon M,Class instruction is: Synch. Online - Meet Times.
Summer_2026,HIST,300,HIST 300,UNITED STATES-PAST & PRESENT,3,"GE: 4A (D1), 4UD (UDD)",01,10828,Summer_2026|HIST 300|01|10828,FALSE,\N,305,LEC,NA,NA,available,ONLINE-ONLY,Bollelli D,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,HIST,395,HIST 395,"GENDER, SEXUALITY, AND DESIRE",3,,01,10511,Summer_2026|HIST 395|01|10511,FALSE,\N,"306,1",LEC,MW,8:30-12:15PM,available,ONLINE-ONLY,Igmen A,Class instruction is: Synch. Online - Meet Times.
Summer_2026,HIST,400,HIST 400,HIST WESTRN SCIENTIFIC THOUGHT,3,GE: 2UD/5UD (UDB),01,10510,Summer_2026|HIST 400|01|10510,FALSE,\N,305,LEC,NA,NA,available,ONLINE-ONLY,Jenks A,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,HIST,464,HIST 464,LATIN AMERICAN ENVIRON HISTORY,3,"GE AREA: F, Global Issues",01,10830,Summer_2026|HIST 464|01|10830,FALSE,\N,306,SEM,TuTh,8:30-12:15PM,available,ONLINE-ONLY,Fabian K,Class instruction is: Synch. Online - Meet Times.
