term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Summer_2026,H,SC 425,H SC 425,HUMAN SEXUALITY & SEX EDUCATN,3,GE: 4UD (UDD),01,10266,Summer_2026|H SC 425|01|10266,FALSE,\N,"1,21,305",LEC,NA,NA,available,ONLINE-ONLY,Staff,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,H,SC 150,H SC 150,MEDICAL TERMINOLOGY,3,,01,10207,Summer_2026|H SC 150|01|10207,FALSE,\N,305,LEC,NA,NA,available,ONLINE-ONLY,Staff,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,H,SC 400,H SC 400,PRINCIPLES OF EPIDEMIOLOGY,3,,01,10030,Summer_2026|H SC 400|01|10030,FALSE,\N,305,SEM,NA,NA,available,ONLINE-ONLY,Staff,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,H,SC 401,H SC 401,COMMUNITY HEALTH EDUCATION,3,,01,10022,Summer_2026|H SC 401|01|10022,FALSE,\N,305,SEM,NA,NA,available,ONLINE-ONLY,Staff,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,H,SC 403,H SC 403,COMMUNITY HEALTH STATISTICS,3,GE: 2UD/5UD (UDB),01,10449,Summer_2026|H SC 403|01|10449,FALSE,\N,309,SEM,MW,9:30-12:15PM,available,ONLINE-ONLY,Staff,Class instruction is: Online - Mixed Meet Times.
Summer_2026,H,SC 403,H SC 403,COMMUNITY HEALTH STATISTICS,3,GE: 2UD/5UD (UDB),01,\N,Summer_2026|H SC 403|01|NOCLASS|44499ea2b306fb9c,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Staff,additional meeting detail
Summer_2026,H,SC 405,H SC 405,HEALTH EDU EVAL & MEASUREMENT,3,,01,10450,Summer_2026|H SC 405|01|10450,FALSE,\N,309,SEM,TuTh,9:30-12:15PM,available,ONLINE-ONLY,Staff,Class instruction is: Online - Mixed Meet Times.
Summer_2026,H,SC 405,H SC 405,HEALTH EDU EVAL & MEASUREMENT,3,,01,\N,Summer_2026|H SC 405|01|NOCLASS|6f1a546473b7d10d,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Staff,additional meeting detail
Summer_2026,H,SC 411B,H SC 411B,HSC-SECONDARY TEACHERS,3,,01,10016,Summer_2026|H SC 411B|01|10016,FALSE,\N,305,LEC,NA,NA,available,ONLINE-ONLY,Staff,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,H,SC 422,H SC 422,ENVIRONMENTAL HEALTH,3,GE: 2UD/5UD (UDB),01,10265,Summer_2026|H SC 422|01|10265,FALSE,\N,305,LEC,NA,NA,available,ONLINE-ONLY,Staff,Class instruction is: Asynch. Online-No Meet Times.
