term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Summer_2026,I,S 300,I S 300,MANAGEMENT INFORMATION SYSTEMS,3,,01,10256,Summer_2026|I S 300|01|10256,FALSE,\N,"1,15,306",LEC,MW,8:30-12:35PM,,ONLINE-ONLY,Liu Y,Class instruction is: Synch. Online - Meet Times.
Summer_2026,I,S 301,I S 301,COMM FOR BUSINESS PROFESSIONAL,3,GWAR: WI,01,10184,Summer_2026|I S 301|01|10184,FALSE,\N,"1,15,306",SEM,MW,1-5:05PM,available,ONLINE-ONLY,Diaz A,Class instruction is: Synch. Online - Meet Times.
Summer_2026,I,S 301,I S 301,COMM FOR BUSINESS PROFESSIONAL,3,GWAR: WI,02,10326,Summer_2026|I S 301|02|10326,FALSE,\N,"1,15,306",SEM,MW,5-9:05PM,available,ONLINE-ONLY,Brown L,Class instruction is: Synch. Online - Meet Times.
Summer_2026,I,S 301,I S 301,COMM FOR BUSINESS PROFESSIONAL,3,GWAR: WI,07,10937,Summer_2026|I S 301|07|10937,FALSE,\N,"1,15,306",SEM,TuTh,5-8:45PM,available,ONLINE-ONLY,Brown L,Class instruction is: Synch. Online - Meet Times.
Summer_2026,I,S 300,I S 300,MANAGEMENT INFORMATION SYSTEMS,3,,02,10264,Summer_2026|I S 300|02|10264,FALSE,\N,"1,15,306",LEC,MW,1-4:45PM,,ONLINE-ONLY,Chung H,Class instruction is: Synch. Online - Meet Times.
Summer_2026,I,S 301,I S 301,COMM FOR BUSINESS PROFESSIONAL,3,GWAR: WI,04,10325,Summer_2026|I S 301|04|10325,FALSE,\N,"1,15,306",SEM,MW,5-8:45PM,available,ONLINE-ONLY,Moore V,Class instruction is: Synch. Online - Meet Times.
Summer_2026,I,S 301,I S 301,COMM FOR BUSINESS PROFESSIONAL,3,GWAR: WI,05,10774,Summer_2026|I S 301|05|10774,FALSE,\N,"1,15,306",SEM,TuTh,1-4:45PM,available,ONLINE-ONLY,Izabal W,Class instruction is: Synch. Online - Meet Times.
Summer_2026,I,S 301,I S 301,COMM FOR BUSINESS PROFESSIONAL,3,GWAR: WI,06,10768,Summer_2026|I S 301|06|10768,FALSE,\N,"1,15,306",SEM,TuTh,5-8:45PM,,ONLINE-ONLY,East N,Class instruction is: Synch. Online - Meet Times.
Summer_2026,I,S 310,I S 310,BUSINESS STATISTICS I,3,GE: 2UD/5UD (UDB),01,10187,Summer_2026|I S 310|01|10187,FALSE,\N,"1,15,306",SEM,M,8:30-12:15PM,available,ONLINE-ONLY,Behzad B,Class instruction is: Synch. Online - Meet Times.Exams are in person. See schedule for exam dates.
Summer_2026,I,S 310,I S 310,BUSINESS STATISTICS I,3,GE: 2UD/5UD (UDB),01,\N,Summer_2026|I S 310|01|NOCLASS|d09c48ec52079057,FALSE,\N,,,W,8:30-12:15PM,,COB-237A,Behzad B,Class meets on 07/15/26.
Summer_2026,I,S 310,I S 310,BUSINESS STATISTICS I,3,GE: 2UD/5UD (UDB),01,\N,Summer_2026|I S 310|01|NOCLASS|942bf9bb964e54e7,FALSE,\N,,,W,8:30-12:15PM,,ONLINE-ONLY,Behzad B,Class meets on 07/08/26.
Summer_2026,I,S 310,I S 310,BUSINESS STATISTICS I,3,GE: 2UD/5UD (UDB),02,10844,Summer_2026|I S 310|02|10844,FALSE,\N,"1,15,306",SEM,TuTh,1-4:45PM,,ONLINE-ONLY,Kiang M,Class instruction is: Synch. Online - Meet Times.
