term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Summer_2026,KIN,156,KIN 156,SPORTS APPRECIATION,3,GE: 4C (D3),01,10086,Summer_2026|KIN 156|01|10086,FALSE,\N,305,LEC,NA,NA,available,ONLINE-ONLY,Kress J,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,KIN,339,KIN 339,PSYCH SPORT BEHAVIOR & PERFORM,3,GE: 4UD (UDD),01,10312,Summer_2026|KIN 339|01|10312,FALSE,\N,"1,21,305",LEC,NA,NA,available,ONLINE-ONLY,Fogaca J,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,KIN,476,KIN 476,PHYSICAL EDUC ELEM TEACHERS,3,,01,10100,Summer_2026|KIN 476|01|10100,FALSE,\N,306,SEM,MTuWTh,9-11:40AM,available,ONLINE-ONLY,Young A,Class instruction is: Synch. Online - Meet Times.
Summer_2026,KIN,476,KIN 476,PHYSICAL EDUC ELEM TEACHERS,3,,02,10109,Summer_2026|KIN 476|02|10109,FALSE,\N,305,ACT,NA,NA,available,ONLINE-ONLY,Young A,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,KIN,157,KIN 157,FITNESS FOR LIVING,3,"GE: 5B-NL (B2), E",01,10172,Summer_2026|KIN 157|01|10172,FALSE,\N,305,LEC,NA,NA,available,ONLINE-ONLY,Schroeder J,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,KIN,157,KIN 157,FITNESS FOR LIVING,3,"GE: 5B-NL (B2), E",02,10176,Summer_2026|KIN 157|02|10176,FALSE,\N,305,ACT,NA,NA,available,ONLINE-ONLY,Schroeder J,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,KIN,300,KIN 300,BIOMECHANICS OF HUMAN MOVEMENT,3,GE: 2UD/5UD (UDB),01,10463,Summer_2026|KIN 300|01|10463,FALSE,\N,"305,1,17,21",SEM,NA,NA,,ONLINE-ONLY,Valenzuela K,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,KIN,300,KIN 300,BIOMECHANICS OF HUMAN MOVEMENT,3,GE: 2UD/5UD (UDB),02,10464,Summer_2026|KIN 300|02|10464,FALSE,\N,305,LAB,NA,NA,,ONLINE-ONLY,Valenzuela K,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,KIN,301,KIN 301,EXERCISE PHYSIOLOGY,3,,01,10610,Summer_2026|KIN 301|01|10610,FALSE,\N,"305,17,21,1",SEM,NA,NA,available,ONLINE-ONLY,Cotter J,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,KIN,301,KIN 301,EXERCISE PHYSIOLOGY,3,,02,10611,Summer_2026|KIN 301|02|10611,FALSE,\N,305,LAB,NA,NA,available,ONLINE-ONLY,Cotter J,Class instruction is: Asynch. Online-No Meet Times.
