term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Summer_2026,MAE,272,MAE 272,INTRO MANUFACTURING PROCESSES,2,,01,10240,Summer_2026|MAE 272|01|10240,FALSE,\N,"1,310",SEM,MW,9-10:20AM,available,ET-019,Yoozbashizadeh M,Class instruction is: Face to Face - On Campus.
Summer_2026,MAE,272,MAE 272,INTRO MANUFACTURING PROCESSES,2,,01,\N,Summer_2026|MAE 272|01|NOCLASS|86e370c0eea86823,FALSE,\N,,,NA,NA,,NA,Staff,additional meeting detail
Summer_2026,MAE,272,MAE 272,INTRO MANUFACTURING PROCESSES,2,,02,10241,Summer_2026|MAE 272|02|10241,FALSE,\N,"1,310",LAB,MW,10:30-2:15PM,available,ET-019,Yoozbashizadeh M,Class instruction is: Face to Face - On Campus.
Summer_2026,MAE,272,MAE 272,INTRO MANUFACTURING PROCESSES,2,,02,\N,Summer_2026|MAE 272|02|NOCLASS|6f23bf17807eb8e9,FALSE,\N,,,NA,NA,,NA,Staff,additional meeting detail
Summer_2026,MAE,305,MAE 305,NUMERICAL METHODS IN MAE,3,GE: 2UD/5UD (UDB),01,10012,Summer_2026|MAE 305|01|10012,FALSE,\N,"1,310",SEM,TuTh,9-12:45PM,available,ECS-210,Esfandiari R,Class instruction is: Face to Face - On Campus.
Summer_2026,MAE,330,MAE 330,ENGR THERMODYNAMICS I,3,,01,10353,Summer_2026|MAE 330|01|10353,FALSE,\N,"310,1",SEM,MW,8:35-12:40PM,,VEC-202,Madadi E,Class instruction is: Face to Face - On Campus.
Summer_2026,MAE,333,MAE 333,ENGINEERING FLUID DYNAMICS,3,,01,10397,Summer_2026|MAE 333|01|10397,FALSE,\N,"310,1",SEM,TuTh,5-8:45PM,available,VEC-202,Khattab A,Class instruction is: Face to Face - On Campus.
Summer_2026,MAE,350,MAE 350,FLIGHT MECHANICS,3,,01,10400,Summer_2026|MAE 350|01|10400,FALSE,\N,310,SEM,MW,8:45-12:55PM,available,VEC-112,Schmitz A,Class instruction is: Face to Face - On Campus.
Summer_2026,MAE,371,MAE 371,ANALYTICL MECHANCS II DYNAMICS,3,,01,10392,Summer_2026|MAE 371|01|10392,FALSE,\N,310,SEM,TuTh,1-4:45PM,available,ECS-210,Minaie B,Class instruction is: Face to Face - On Campus.
Summer_2026,MAE,373,MAE 373,MECHANICS OF DEFORMABLE BODIES,3,,01,10352,Summer_2026|MAE 373|01|10352,FALSE,\N,"310,1",SEM,MW,1-5:05PM,available,VEC-202,Abdallah S,Class instruction is: Face to Face - On Campus.
