term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Spring_2026,MATH,92A,MATH 92A,FOUNDATIONS FOR ESSENTIAL ALG,1,,03,7201,Spring_2026|MATH 92A|03|7201,FALSE,\N,,ACT,NA,NA,,NA,Espinoza I,Class instruction is: Face to Face - On Campus.
Spring_2026,MATH,92A,MATH 92A,FOUNDATIONS FOR ESSENTIAL ALG,1,,04,12301,Spring_2026|MATH 92A|04|12301,FALSE,\N,310,ACT,NA,NA,,NA,Espinoza I,Class instruction is: Face to Face - On Campus.
Spring_2026,MATH,92A,MATH 92A,FOUNDATIONS FOR ESSENTIAL ALG,1,,05,12300,Spring_2026|MATH 92A|05|12300,FALSE,\N,310,ACT,NA,NA,available,NA,Jimenez M,Class instruction is: Face to Face - On Campus.
Spring_2026,MATH,92A,MATH 92A,FOUNDATIONS FOR ESSENTIAL ALG,1,,06,12816,Spring_2026|MATH 92A|06|12816,FALSE,\N,310,ACT,NA,NA,available,NA,Dykes E,Class instruction is: Face to Face - On Campus.
Spring_2026,MATH,92A,MATH 92A,FOUNDATIONS FOR ESSENTIAL ALG,1,,99,7179,Spring_2026|MATH 92A|99|7179,FALSE,\N,199,ACT,NA,NA,,NA,Jimenez M,Class instruction is: Face to Face - On Campus.
Spring_2026,MATH,92B,MATH 92B,FOUNDTNS FOR ESSNTL ALGEBRA B,1,,01,5841,Spring_2026|MATH 92B|01|5841,FALSE,\N,,ACT,NA,NA,available,NA,Jimenez M,Class instruction is: Face to Face - On Campus.
Spring_2026,MATH,92B,MATH 92B,FOUNDTNS FOR ESSNTL ALGEBRA B,1,,02,5842,Spring_2026|MATH 92B|02|5842,FALSE,\N,,ACT,NA,NA,available,NA,Espinoza I,Class instruction is: Face to Face - On Campus.
Spring_2026,MATH,92B,MATH 92B,FOUNDTNS FOR ESSNTL ALGEBRA B,1,,03,7630,Spring_2026|MATH 92B|03|7630,FALSE,\N,,ACT,NA,NA,available,NA,Dykes E,Class instruction is: Face to Face - On Campus.
Spring_2026,MATH,93,MATH 93,FOUNDATION FOR PRECALC ALGEBRA,1,,01,7730,Spring_2026|MATH 93|01|7730,FALSE,\N,,ACT,M,8-9:50AM,available,LA5-153,Marsh B,Class instruction is: Face to Face - On Campus.
Spring_2026,MATH,93,MATH 93,FOUNDATION FOR PRECALC ALGEBRA,1,,02,7731,Spring_2026|MATH 93|02|7731,FALSE,\N,,ACT,M,10-11:50AM,available,LA5-153,Wissa O,Class instruction is: Face to Face - On Campus.
