term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Summer_2026,MGMT,300,MGMT 300,PRINCIP OF MGMT AND OPERATIONS,3,,03,11022,Summer_2026|MGMT 300|03|11022,FALSE,\N,306,LEC,TuTh,5:45-9:30PM,available,ONLINE-ONLY,Khan J,Class instruction is: Synch. Online - Meet Times.
Summer_2026,MGMT,425,MGMT 425,BUSINESS STRATEGY & POLICY,3,GE: 4UD (UDD),10,10980,Summer_2026|MGMT 425|10|10980,FALSE,\N,306,LEC,TuTh,1-4:45PM,,ONLINE-ONLY,Garza G,Class instruction is: Synch. Online - Meet Times.
Summer_2026,MGMT,425,MGMT 425,BUSINESS STRATEGY & POLICY,3,GE: 4UD (UDD),13,11023,Summer_2026|MGMT 425|13|11023,FALSE,\N,311,LEC,MW,1-5:10PM,,COB-217,Del Rivero G,Class instruction is: Hybrid (Face to Face & Synch).
Summer_2026,MGMT,425,MGMT 425,BUSINESS STRATEGY & POLICY,3,GE: 4UD (UDD),13,\N,Summer_2026|MGMT 425|13|NOCLASS|21074bb8cfde2a9c,FALSE,\N,,,MW,1-5:10PM,,ONLINE-ONLY,Staff,additional meeting detail
Summer_2026,MGMT,647,MGMT 647,SEM STRATEGIC MANAGEMENT,3,,05,10962,Summer_2026|MGMT 647|05|10962,FALSE,\N,311,SEM,TuTh,6-9:45PM,available,COB-217,Marino C,Class instruction is: Hybrid (Face to Face & Synch).EMBA Only
Summer_2026,MGMT,647,MGMT 647,SEM STRATEGIC MANAGEMENT,3,,05,\N,Summer_2026|MGMT 647|05|NOCLASS|b08e927fece2eed9,FALSE,\N,,,TuTh,6-9:45PM,,ONLINE-ONLY,Staff,additional meeting detail
Summer_2026,MGMT,425,MGMT 425,BUSINESS STRATEGY & POLICY,3,GE: 4UD (UDD),11,10981,Summer_2026|MGMT 425|11|10981,FALSE,\N,311,LEC,MW,8:30-12:15PM,available,COB-218,Acc-Nikmehr N,Class instruction is: Hybrid (Face to Face & Synch).
Summer_2026,MGMT,425,MGMT 425,BUSINESS STRATEGY & POLICY,3,GE: 4UD (UDD),11,\N,Summer_2026|MGMT 425|11|NOCLASS|4b21c27a91a78714,FALSE,\N,,,MW,8:30-12:15PM,,ONLINE-ONLY,Staff,additional meeting detail
Summer_2026,MGMT,425,MGMT 425,BUSINESS STRATEGY & POLICY,3,GE: 4UD (UDD),12,10982,Summer_2026|MGMT 425|12|10982,FALSE,\N,306,LEC,TuTh,1-4:45PM,,ONLINE-ONLY,Gurumurthi S,Class instruction is: Synch. Online - Meet Times.
Summer_2026,MGMT,425,MGMT 425,BUSINESS STRATEGY & POLICY,3,GE: 4UD (UDD),14,11024,Summer_2026|MGMT 425|14|11024,FALSE,\N,311,LEC,TuTh,8:30-12:15PM,available,COB-217,Ribadu Jenkins M,Class instruction is: Hybrid (Face to Face & Synch).
Summer_2026,MGMT,425,MGMT 425,BUSINESS STRATEGY & POLICY,3,GE: 4UD (UDD),14,\N,Summer_2026|MGMT 425|14|NOCLASS|06286b6a29f7bf25,FALSE,\N,,,TuTh,8:30-12:15PM,,ONLINE-ONLY,Staff,additional meeting detail
Summer_2026,MGMT,647,MGMT 647,SEM STRATEGIC MANAGEMENT,3,,02,10424,Summer_2026|MGMT 647|02|10424,FALSE,\N,309,SEM,Th,6-8:45PM,,ONLINE-ONLY,Sparks B,"Class instruction is: Online - Mixed Meet Times.Class Enrollment for OMBA Students ONLY.Meeting dates: 5/29, 6/5, 6/12, 6/26, 7/3, 7/10, 7/1"
Summer_2026,MGMT,647,MGMT 647,SEM STRATEGIC MANAGEMENT,3,,02,\N,Summer_2026|MGMT 647|02|NOCLASS|083750ffb7a6ddde,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Staff,additional meeting detail
Summer_2026,MGMT,647,MGMT 647,SEM STRATEGIC MANAGEMENT,3,,03,10528,Summer_2026|MGMT 647|03|10528,FALSE,\N,309,SEM,Tu,6-8:45PM,,ONLINE-ONLY,Sparks B,"Class instruction is: Online - Mixed Meet Times.Class Enrollment for OMBA Students ONLY.Meeting Dates: 5/27, 6/3, 6/10, 6/17, 6/24, 7/1, 7/8, 7/15"
Summer_2026,MGMT,647,MGMT 647,SEM STRATEGIC MANAGEMENT,3,,03,\N,Summer_2026|MGMT 647|03|NOCLASS|d9874e2ccd437256,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Staff,additional meeting detail
Summer_2026,MGMT,647,MGMT 647,SEM STRATEGIC MANAGEMENT,3,,04,10529,Summer_2026|MGMT 647|04|10529,FALSE,\N,309,SEM,Tu,6-8:45PM,,ONLINE-ONLY,Shin H,"Class instruction is: Online - Mixed Meet Times.Class Enrollment for OMBA Students ONLY.Meeting Dates: 5/27, 6/3, 6/10, 6/17, 6/24, 7/1, 7/8, 7/15"
Summer_2026,MGMT,647,MGMT 647,SEM STRATEGIC MANAGEMENT,3,,04,\N,Summer_2026|MGMT 647|04|NOCLASS|4788b685548fc797,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Staff,additional meeting detail
