term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Summer_2026,MKTG,300,MKTG 300,PRINCIPLES OF MARKETING,3,,01,10246,Summer_2026|MKTG 300|01|10246,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Qiu T,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,MKTG,300,MKTG 300,PRINCIPLES OF MARKETING,3,,03,10860,Summer_2026|MKTG 300|03|10860,FALSE,\N,309,LEC,TuTh,10-1:45PM,available,ONLINE-ONLY,Wang Y,Class instruction is: Online - Mixed Meet Times.
Summer_2026,MKTG,300,MKTG 300,PRINCIPLES OF MARKETING,3,,03,\N,Summer_2026|MKTG 300|03|NOCLASS|c529683d607b021e,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Staff,additional meeting detail
Summer_2026,MKTG,470,MKTG 470,MARKETING RESEARCH,3,,01,10247,Summer_2026|MKTG 470|01|10247,FALSE,\N,309,SEM,MW,5-9:05PM,available,ONLINE-ONLY,Stickney K,Class instruction is: Online - Mixed Meet Times.
Summer_2026,MKTG,470,MKTG 470,MARKETING RESEARCH,3,,01,\N,Summer_2026|MKTG 470|01|NOCLASS|a40d9f0a0e622d0b,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Staff,additional meeting detail
Summer_2026,MKTG,662,MKTG 662,PRICING ANALYTICS,3,,01,10473,Summer_2026|MKTG 662|01|10473,FALSE,\N,309,SEM,TuTh,6-9:45PM,available,ONLINE-ONLY,Chou C,Class instruction is: Online - Mixed Meet Times.This section is reserved for MSMA students.
Summer_2026,MKTG,662,MKTG 662,PRICING ANALYTICS,3,,01,\N,Summer_2026|MKTG 662|01|NOCLASS|c6efe3ee5a0839a5,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Staff,additional meeting detail
Summer_2026,MKTG,697,MKTG 697,DIRECTED STUDIES IN MARKETING,1,,01,10292,Summer_2026|MKTG 697|01|10292,FALSE,\N,"1,15,305",SUP,NA,NA,available,ONLINE-ONLY,Staff,Department Consent RequiredClass instruction is: Asynch. Online-No Meet Times.
Summer_2026,MKTG,699,MKTG 699,CAPSTONE PROJECT,3,,01,10428,Summer_2026|MKTG 699|01|10428,FALSE,\N,307,SEM,M,6-9:45PM,available,COB-230,Song R,Class instruction is: Hybrid(Face to Face & Async).
Summer_2026,MKTG,699,MKTG 699,CAPSTONE PROJECT,3,,01,\N,Summer_2026|MKTG 699|01|NOCLASS|0e5f34b5ade37e7c,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Staff,additional meeting detail
Summer_2026,MKTG,490,MKTG 490,CONSUMER BEHAVIOR,3,,01,10861,Summer_2026|MKTG 490|01|10861,FALSE,\N,306,LEC,MW,1-4:45PM,available,ONLINE-ONLY,Ricards Z,Class instruction is: Synch. Online - Meet Times.
Summer_2026,MKTG,494,MKTG 494,MARKETING MANAGEMENT,3,,01,10248,Summer_2026|MKTG 494|01|10248,FALSE,\N,306,SEM,TuTh,1-4:45PM,,ONLINE-ONLY,Chen Shah L,Class instruction is: Synch. Online - Meet Times.
Summer_2026,MKTG,500,MKTG 500,MARKETING CONCEPTS,3,,01,10249,Summer_2026|MKTG 500|01|10249,FALSE,\N,305,SEM,NA,NA,available,ONLINE-ONLY,Kowsari A,Class instruction is: Asynch. Online-No Meet Times.Newly admitted MSMA; EMBA can also enroll
Summer_2026,MKTG,661,MKTG 661,SEMINAR IN MARKETING MANAGEMEN,3,,02,10508,Summer_2026|MKTG 661|02|10508,FALSE,\N,309,SEM,W,6-8:45PM,,ONLINE-ONLY,Staff,Class instruction is: Online - Mixed Meet Times.OMBA Summer Course
Summer_2026,MKTG,661,MKTG 661,SEMINAR IN MARKETING MANAGEMEN,3,,02,\N,Summer_2026|MKTG 661|02|NOCLASS|b28aa71a00b74819,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Staff,additional meeting detail
Summer_2026,MKTG,661,MKTG 661,SEMINAR IN MARKETING MANAGEMEN,3,,03,10453,Summer_2026|MKTG 661|03|10453,FALSE,\N,309,SEM,Tu,7-9:45PM,,ONLINE-ONLY,Nguyen H,"Class instruction is: Online - Mixed Meet Times.For Tuesday classes, these are the meeting dates: 5/28, 6/4, 6/11, 6/18, 6/25, 7/2, 7/9, 7/16"
Summer_2026,MKTG,661,MKTG 661,SEMINAR IN MARKETING MANAGEMEN,3,,03,\N,Summer_2026|MKTG 661|03|NOCLASS|ad467722f6959fb5,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Staff,additional meeting detail
