term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Summer_2026,NRSG,250,NRSG 250,INTERMED MEDICAL SURGICAL NRSG,6,,01,10285,Summer_2026|NRSG 250|01|10285,FALSE,\N,"1,2,12,311",LEC,M,11-3:00PM,available,NUR-064,Menendez V,Class instruction is: Hybrid (Face to Face & Synch).
Summer_2026,NRSG,250,NRSG 250,INTERMED MEDICAL SURGICAL NRSG,6,,01,\N,Summer_2026|NRSG 250|01|NOCLASS|8865544903ddcc61,FALSE,\N,,,M,11-3:00PM,,ONLINE-ONLY,Staff,additional meeting detail
Summer_2026,NRSG,250,NRSG 250,INTERMED MEDICAL SURGICAL NRSG,6,,02,10286,Summer_2026|NRSG 250|02|10286,FALSE,\N,"1,2,12,308",LAB,Tu,7-6:15PM,available,OFF-LBMEMHOSP,Magee M,Class instruction is: Face to Face - Off Campus.
Summer_2026,NRSG,250,NRSG 250,INTERMED MEDICAL SURGICAL NRSG,6,,03,10287,Summer_2026|NRSG 250|03|10287,FALSE,\N,"1,2,12,308",LAB,F,7-8:30PM,available,OFF-LBMEMHOSP,Navarro E,Class instruction is: Face to Face - Off Campus.
Summer_2026,NRSG,250,NRSG 250,INTERMED MEDICAL SURGICAL NRSG,6,,04,10288,Summer_2026|NRSG 250|04|10288,FALSE,\N,"1,2,12,308",LAB,F,7-8:30PM,available,OFF-LBMEMHOSP,Magee M,Class instruction is: Face to Face - Off Campus.
Summer_2026,NRSG,250,NRSG 250,INTERMED MEDICAL SURGICAL NRSG,6,,05,10439,Summer_2026|NRSG 250|05|10439,FALSE,\N,"1,2,12,308",LAB,Th,7-6:15PM,available,OFF-LBMEMHOSP,Menendez V,Class instruction is: Face to Face - Off Campus.
Summer_2026,NRSG,250,NRSG 250,INTERMED MEDICAL SURGICAL NRSG,6,,06,10440,Summer_2026|NRSG 250|06|10440,FALSE,\N,"1,2,12,308",LAB,Th,7-6:15PM,available,OFF-LBMEMHOSP,Richardson R,Class instruction is: Face to Face - Off Campus.
Summer_2026,NRSG,312,NRSG 312,HEALTH ASSESSMENT,3,,01,10612,Summer_2026|NRSG 312|01|10612,FALSE,\N,"1,2,12,311",LEC,W,9-11:30AM,available,NUR-064,Tran J,Class instruction is: Hybrid (Face to Face & Synch).
Summer_2026,NRSG,312,NRSG 312,HEALTH ASSESSMENT,3,,01,\N,Summer_2026|NRSG 312|01|NOCLASS|3b307a66b4c6d65a,FALSE,\N,,,W,9-11:30AM,,ONLINE-ONLY,Staff,additional meeting detail
Summer_2026,NRSG,312,NRSG 312,HEALTH ASSESSMENT,3,,02,10289,Summer_2026|NRSG 312|02|10289,FALSE,\N,"1,2,12,307",LAB,Tu,8-11:45AM,available,NUR-037,Murphy P,Class instruction is: Hybrid(Face to Face & Async).
Summer_2026,NRSG,312,NRSG 312,HEALTH ASSESSMENT,3,,02,\N,Summer_2026|NRSG 312|02|NOCLASS|cd43178765fe6a58,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Staff,additional meeting detail
Summer_2026,NRSG,312,NRSG 312,HEALTH ASSESSMENT,3,,03,10290,Summer_2026|NRSG 312|03|10290,FALSE,\N,"1,2,12,307",LAB,Tu,12-3:45PM,available,NUR-037,Murphy P,Class instruction is: Hybrid(Face to Face & Async).
Summer_2026,NRSG,312,NRSG 312,HEALTH ASSESSMENT,3,,03,\N,Summer_2026|NRSG 312|03|NOCLASS|3edb3a83a43c8a89,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Staff,additional meeting detail
Summer_2026,NRSG,312,NRSG 312,HEALTH ASSESSMENT,3,,04,10441,Summer_2026|NRSG 312|04|10441,FALSE,\N,"1,2,12,307",LAB,Th,8-11:45AM,available,NUR-037,Tran J,Class instruction is: Hybrid(Face to Face & Async).
Summer_2026,NRSG,312,NRSG 312,HEALTH ASSESSMENT,3,,04,\N,Summer_2026|NRSG 312|04|NOCLASS|9031000ebad6aaa3,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Staff,additional meeting detail
Summer_2026,NRSG,312,NRSG 312,HEALTH ASSESSMENT,3,,05,10442,Summer_2026|NRSG 312|05|10442,FALSE,\N,"1,2,12,307",LAB,Th,1-4:45PM,available,NUR-037,Tran J,Class instruction is: Hybrid(Face to Face & Async).
Summer_2026,NRSG,312,NRSG 312,HEALTH ASSESSMENT,3,,05,\N,Summer_2026|NRSG 312|05|NOCLASS|fdff0b733c2f60fb,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Staff,additional meeting detail
Summer_2026,NRSG,331,NRSG 331,ADVANCED ACUTE CARE NURSING,6,,01,10617,Summer_2026|NRSG 331|01|10617,FALSE,\N,"1,2,12,311",LEC,F,8-12:30PM,available,NUR-066,Zimmerman S,Class instruction is: Hybrid (Face to Face & Synch).
Summer_2026,NRSG,331,NRSG 331,ADVANCED ACUTE CARE NURSING,6,,01,\N,Summer_2026|NRSG 331|01|NOCLASS|01175dcdbbd8c080,FALSE,\N,,,F,8-12:30PM,,ONLINE-ONLY,Staff,additional meeting detail
Summer_2026,NRSG,331,NRSG 331,ADVANCED ACUTE CARE NURSING,6,,02,10618,Summer_2026|NRSG 331|02|10618,FALSE,\N,"1,2,12,308",LAB,M,7-7:15PM,available,OFF-LBMEMHOSP,Stevens J,Class instruction is: Face to Face - Off Campus.
Summer_2026,NRSG,331,NRSG 331,ADVANCED ACUTE CARE NURSING,6,,03,10619,Summer_2026|NRSG 331|03|10619,FALSE,\N,"1,2,12,308",LAB,M,7-7:15PM,available,OFF-LBMEMHOSP,Vartanian K,Class instruction is: Face to Face - Off Campus.
Summer_2026,NRSG,331,NRSG 331,ADVANCED ACUTE CARE NURSING,6,,04,10620,Summer_2026|NRSG 331|04|10620,FALSE,\N,"1,2,12,308",LAB,Tu,7-6:15PM,available,OFF-LBMEMHOSP,Stevens J,Class instruction is: Face to Face - Off Campus.
Summer_2026,NRSG,331,NRSG 331,ADVANCED ACUTE CARE NURSING,6,,05,10621,Summer_2026|NRSG 331|05|10621,FALSE,\N,"1,2,12,308",LAB,Tu,7-6:15PM,available,OFF-LBMEMHOSP,Bottorff A,Class instruction is: Face to Face - Off Campus.
Summer_2026,NRSG,331,NRSG 331,ADVANCED ACUTE CARE NURSING,6,,06,10622,Summer_2026|NRSG 331|06|10622,FALSE,\N,"1,2,12,308",LAB,Th,7-6:15PM,available,OFF-LBMEMHOSP,Bottorff A,Class instruction is: Face to Face - Off Campus.
Summer_2026,NRSG,341,NRSG 341,PSY/MENTAL HEALTH NURSING,6,,01,10624,Summer_2026|NRSG 341|01|10624,FALSE,\N,"1,2,12,311",LEC,W,8-11:45AM,available,NUR-066,Murphy P,Class instruction is: Hybrid (Face to Face & Synch).
Summer_2026,NRSG,341,NRSG 341,PSY/MENTAL HEALTH NURSING,6,,01,\N,Summer_2026|NRSG 341|01|NOCLASS|4ae0935f2914d6b1,FALSE,\N,,,W,8-11:45AM,,ONLINE-ONLY,Staff,additional meeting detail
Summer_2026,NRSG,341,NRSG 341,PSY/MENTAL HEALTH NURSING,6,,02,10630,Summer_2026|NRSG 341|02|10630,FALSE,\N,"1,2,12,308",LAB,Tu,7-6:15PM,available,OFF-CAMP,Salazar E,Class instruction is: Face to Face - Off Campus.This class meets at VA Long Beach
Summer_2026,NRSG,341,NRSG 341,PSY/MENTAL HEALTH NURSING,6,,03,10631,Summer_2026|NRSG 341|03|10631,FALSE,\N,"1,2,12,308",LAB,Th,7-6:15PM,available,OFF-CAMP,Tran H,Class instruction is: Face to Face - Off Campus.This class meets at VA Long Beach
Summer_2026,NRSG,341,NRSG 341,PSY/MENTAL HEALTH NURSING,6,,04,10632,Summer_2026|NRSG 341|04|10632,FALSE,\N,"1,2,12,308",LAB,Tu,7-6:15PM,available,OFF-CAMP,Chumpitaz P,Class instruction is: Face to Face - Off Campus.This class meets at College Medical Center
Summer_2026,NRSG,341,NRSG 341,PSY/MENTAL HEALTH NURSING,6,,05,10633,Summer_2026|NRSG 341|05|10633,FALSE,\N,"1,2,12,308",LAB,Th,7-6:15PM,available,OFF-CAMP,Salazar E,Class instruction is: Face to Face - Off Campus.This class meets at Aliso Ridge.
Summer_2026,NRSG,341,NRSG 341,PSY/MENTAL HEALTH NURSING,6,,06,10634,Summer_2026|NRSG 341|06|10634,FALSE,\N,"1,2,12,308",LAB,M,7-7:15PM,available,OFF-CAMP,Tran H,Class instruction is: Face to Face - Off Campus.This class meets at Anaheim Community
Summer_2026,NRSG,402,NRSG 402,COMMUNITY HEALTH NURSING,6,GE: 4UD (UDD),01,10234,Summer_2026|NRSG 402|01|10234,FALSE,\N,"1,2,12,311",LEC,M,8-12:00PM,available,NUR-066,Windle D,Class instruction is: Hybrid (Face to Face & Synch).
Summer_2026,NRSG,402,NRSG 402,COMMUNITY HEALTH NURSING,6,GE: 4UD (UDD),01,\N,Summer_2026|NRSG 402|01|NOCLASS|1617120b898e13a4,FALSE,\N,,,M,8-12:00PM,,ONLINE-ONLY,Staff,additional meeting detail
Summer_2026,NRSG,402,NRSG 402,COMMUNITY HEALTH NURSING,6,GE: 4UD (UDD),02,10235,Summer_2026|NRSG 402|02|10235,FALSE,\N,"1,2,12,308",LAB,Tu,7-6:15PM,available,OFF-CAMP,Velasco V,Class instruction is: Face to Face - Off Campus.This course will meet at OC/LB Area
Summer_2026,NRSG,402,NRSG 402,COMMUNITY HEALTH NURSING,6,GE: 4UD (UDD),03,10236,Summer_2026|NRSG 402|03|10236,FALSE,\N,"1,2,12,308",LAB,Tu,7-6:15PM,available,OFF-CAMP,Ford B,Class instruction is: Face to Face - Off Campus.This course will meet at OC/LB Area
Summer_2026,NRSG,402,NRSG 402,COMMUNITY HEALTH NURSING,6,GE: 4UD (UDD),04,10437,Summer_2026|NRSG 402|04|10437,FALSE,\N,"1,2,12,308",LAB,W,7-6:15PM,available,OFF-CAMP,Windle D,Class instruction is: Face to Face - Off Campus.This course will meet at OC/LB Area
Summer_2026,NRSG,402,NRSG 402,COMMUNITY HEALTH NURSING,6,GE: 4UD (UDD),05,10438,Summer_2026|NRSG 402|05|10438,FALSE,\N,"1,2,12,308",LAB,W,7-6:15PM,available,OFF-CAMP,Ross J,Class instruction is: Face to Face - Off Campus.This course will meet at OC/LB Area
Summer_2026,NRSG,402,NRSG 402,COMMUNITY HEALTH NURSING,6,GE: 4UD (UDD),06,10616,Summer_2026|NRSG 402|06|10616,FALSE,\N,"1,2,12,308",LAB,Th,7-6:15PM,available,OFF-CAMP,Gredig Q,Class instruction is: Face to Face - Off Campus.This course will meet at OC/LB Area
Summer_2026,NRSG,450,NRSG 450,INTR NRSG RSCH & EV-BASED PRAC,3,GE: 2UD/5UD (UDB),01,10626,Summer_2026|NRSG 450|01|10626,FALSE,\N,"2,12,306",LEC,W,1-4:45PM,available,ONLINE-ONLY,Dugan W,Class instruction is: Synch. Online - Meet Times.
