term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Summer_2026,NUTR,132,NUTR 132,INTRODUCTORY NUTRITION,3,"GE: 5B-NL (B2), E",01,10023,Summer_2026|NUTR 132|01|10023,FALSE,\N,305,LEC,NA,NA,available,ONLINE-ONLY,Gray V,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,NUTR,132,NUTR 132,INTRODUCTORY NUTRITION,3,"GE: 5B-NL (B2), E",02,10103,Summer_2026|NUTR 132|02|10103,FALSE,\N,305,LEC,NA,NA,available,ONLINE-ONLY,Barrack M,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,NUTR,506,NUTR 506,"NUTR GENOMICS, PHARMACLGY, SUP",3,,01,10853,Summer_2026|NUTR 506|01|10853,FALSE,\N,307,SEM,M,12-2:45PM,available,NA,Barrack M,Class instruction is: Hybrid(Face to Face & Async).
Summer_2026,NUTR,506,NUTR 506,"NUTR GENOMICS, PHARMACLGY, SUP",3,,01,\N,Summer_2026|NUTR 506|01|NOCLASS|b07fc00b130345e5,FALSE,\N,,,NA,NA,,NA,Barrack M,additional meeting detail
Summer_2026,NUTR,504,NUTR 504,MEDICAL NUTRITION THERAPY I,3,,01,10563,Summer_2026|NUTR 504|01|10563,FALSE,\N,310,LEC,MW,9-10:50AM,available,NA,Childers J,Class instruction is: Face to Face - On Campus.
Summer_2026,NUTR,504,NUTR 504,MEDICAL NUTRITION THERAPY I,3,,01,\N,Summer_2026|NUTR 504|01|NOCLASS|8443199e3a579ac6,FALSE,\N,,,NA,NA,,NA,Staff,additional meeting detail
Summer_2026,NUTR,520,NUTR 520,SUPERV EXPER LRNG IN DIETETICS,3,,01,10854,Summer_2026|NUTR 520|01|10854,FALSE,\N,305,SUP,TBA,NA,available,ONLINE-ONLY,Childers J,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,NUTR,503,NUTR 503,EATING FOR THE PLANET,1,,01,10760,Summer_2026|NUTR 503|01|10760,FALSE,\N,307,SEM,W,11-12:15PM,available,NA,Gray V,Class instruction is: Hybrid(Face to Face & Async).
Summer_2026,NUTR,503,NUTR 503,EATING FOR THE PLANET,1,,01,\N,Summer_2026|NUTR 503|01|NOCLASS|ad66b12cf7417d33,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Staff,additional meeting detail
Summer_2026,NUTR,510,NUTR 510,CAREER SUCCESS STRAT IN NUTRIT,1,,01,10564,Summer_2026|NUTR 510|01|10564,FALSE,\N,309,SEM,W,4-4:50PM,available,ONLINE-ONLY,Staff,Class instruction is: Online - Mixed Meet Times.
Summer_2026,NUTR,510,NUTR 510,CAREER SUCCESS STRAT IN NUTRIT,1,,01,\N,Summer_2026|NUTR 510|01|NOCLASS|3dca649793d43d11,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Staff,additional meeting detail
