term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Spring_2026,PHSC,112,PHSC 112,INTRO PHYSICAL SCIENCE,3,GE: 5A-WL (B1/B3),01,1634,Spring_2026|PHSC 112|01|1634,FALSE,\N,"1,27",LEC,MW,12-12:50PM,available,HSCI-100,Gutierrez D,Class instruction is: Face to Face - On Campus.
Spring_2026,PHSC,112,PHSC 112,INTRO PHYSICAL SCIENCE,3,GE: 5A-WL (B1/B3),02,6517,Spring_2026|PHSC 112|02|6517,FALSE,\N,"310,1,27",LEC,TuTh,12:30-1:20PM,available,HSCI-103,Blackshire D,Class instruction is: Face to Face - On Campus.
Spring_2026,PHSC,112,PHSC 112,INTRO PHYSICAL SCIENCE,3,GE: 5A-WL (B1/B3),03,1635,Spring_2026|PHSC 112|03|1635,FALSE,\N,27,LAB,M,9-11:45AM,,HSCI-280,Blackshire D,Class instruction is: Face to Face - On Campus.
Spring_2026,PHSC,112,PHSC 112,INTRO PHYSICAL SCIENCE,3,GE: 5A-WL (B1/B3),04,1636,Spring_2026|PHSC 112|04|1636,FALSE,\N,27,LAB,M,1-3:45PM,available,HSCI-280,Samaniego E,Class instruction is: Face to Face - On Campus.
Spring_2026,PHSC,112,PHSC 112,INTRO PHYSICAL SCIENCE,3,GE: 5A-WL (B1/B3),05,7105,Spring_2026|PHSC 112|05|7105,FALSE,\N,,LAB,Th,9-11:45AM,available,HSCI-280,Serrata M,Class instruction is: Face to Face - On Campus.
Spring_2026,PHSC,112,PHSC 112,INTRO PHYSICAL SCIENCE,3,GE: 5A-WL (B1/B3),06,1637,Spring_2026|PHSC 112|06|1637,FALSE,\N,27,LAB,Tu,8-10:45AM,,HSCI-280,Mckenzie M,Class instruction is: Face to Face - On Campus.
Spring_2026,PHSC,112,PHSC 112,INTRO PHYSICAL SCIENCE,3,GE: 5A-WL (B1/B3),07,1638,Spring_2026|PHSC 112|07|1638,FALSE,\N,27,LAB,Tu,12-2:45PM,available,HSCI-280,Mckenzie M,Class instruction is: Face to Face - On Campus.
Spring_2026,PHSC,112,PHSC 112,INTRO PHYSICAL SCIENCE,3,GE: 5A-WL (B1/B3),08,3888,Spring_2026|PHSC 112|08|3888,FALSE,\N,27,LAB,W,9-11:45AM,,HSCI-280,Acebal A,Class instruction is: Face to Face - On Campus.
Spring_2026,PHSC,112,PHSC 112,INTRO PHYSICAL SCIENCE,3,GE: 5A-WL (B1/B3),09,4077,Spring_2026|PHSC 112|09|4077,FALSE,\N,,LAB,W,1-3:45PM,available,HSCI-280,Rios R,Class instruction is: Face to Face - On Campus.
Spring_2026,PHSC,112,PHSC 112,INTRO PHYSICAL SCIENCE,3,GE: 5A-WL (B1/B3),10,8058,Spring_2026|PHSC 112|10|8058,FALSE,\N,"310,27",LAB,Th,2-4:45PM,available,HSCI-280,Estabrooks B,Class instruction is: Face to Face - On Campus.
Spring_2026,PHSC,112,PHSC 112,INTRO PHYSICAL SCIENCE,3,GE: 5A-WL (B1/B3),11,9543,Spring_2026|PHSC 112|11|9543,FALSE,\N,,LAB,W,5-7:45PM,,HSCI-280,Dunn S,Class instruction is: Face to Face - On Campus.
