term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Spring_2026,PHYS,100A,PHYS 100A,GENERAL PHYSICS,4,GE: 5A-WL (B1/B3),01,1821,Spring_2026|PHYS 100A|01|1821,FALSE,\N,"1,27",LEC,MW,2-3:15PM,,HSCI-100,De La Cruz V,Class instruction is: Face to Face - On Campus.
Spring_2026,PHYS,100A,PHYS 100A,GENERAL PHYSICS,4,GE: 5A-WL (B1/B3),02,1819,Spring_2026|PHYS 100A|02|1819,FALSE,\N,"1,27",LEC,MWF,8-8:50AM,,HSCI-100,Gutierrez D,Class instruction is: Face to Face - On Campus.
Spring_2026,PHYS,100A,PHYS 100A,GENERAL PHYSICS,4,GE: 5A-WL (B1/B3),03,3106,Spring_2026|PHYS 100A|03|3106,FALSE,\N,"1,27",LEC,TuTh,5-6:15PM,,HSCI-105,De La Cruz V,Class instruction is: Face to Face - On Campus.
Spring_2026,PHYS,100A,PHYS 100A,GENERAL PHYSICS,4,GE: 5A-WL (B1/B3),04,2413,Spring_2026|PHYS 100A|04|2413,FALSE,\N,27,LAB,M,12:30-3:15PM,,HSCI-230,Le Blanc A,Class instruction is: Face to Face - On Campus.
Spring_2026,PHYS,100A,PHYS 100A,GENERAL PHYSICS,4,GE: 5A-WL (B1/B3),05,2414,Spring_2026|PHYS 100A|05|2414,FALSE,\N,27,LAB,M,3:30-6:15PM,,HSCI-230,Serrata M,Class instruction is: Face to Face - On Campus.
Spring_2026,PHYS,100A,PHYS 100A,GENERAL PHYSICS,4,GE: 5A-WL (B1/B3),06,2445,Spring_2026|PHYS 100A|06|2445,FALSE,\N,27,LAB,M,7-9:45PM,,HSCI-230,Mejia A,Class instruction is: Face to Face - On Campus.
Spring_2026,PHYS,100A,PHYS 100A,GENERAL PHYSICS,4,GE: 5A-WL (B1/B3),07,2415,Spring_2026|PHYS 100A|07|2415,FALSE,\N,27,LAB,Tu,8-10:45AM,,HSCI-230,Arata A,Class instruction is: Face to Face - On Campus.
Spring_2026,PHYS,100A,PHYS 100A,GENERAL PHYSICS,4,GE: 5A-WL (B1/B3),08,1639,Spring_2026|PHYS 100A|08|1639,FALSE,\N,27,LAB,Tu,11-1:45PM,,HSCI-230,Le Blanc A,Class instruction is: Face to Face - On Campus.
Spring_2026,PHYS,100A,PHYS 100A,GENERAL PHYSICS,4,GE: 5A-WL (B1/B3),09,1640,Spring_2026|PHYS 100A|09|1640,FALSE,\N,27,LAB,Tu,2-4:45PM,,HSCI-230,Padilla O,Class instruction is: Face to Face - On Campus.
Spring_2026,PHYS,100A,PHYS 100A,GENERAL PHYSICS,4,GE: 5A-WL (B1/B3),10,1641,Spring_2026|PHYS 100A|10|1641,FALSE,\N,27,LAB,W,9-11:45AM,,HSCI-230,Eleby J,Class instruction is: Face to Face - On Campus.
Spring_2026,PHYS,100A,PHYS 100A,GENERAL PHYSICS,4,GE: 5A-WL (B1/B3),11,1642,Spring_2026|PHYS 100A|11|1642,FALSE,\N,27,LAB,W,3:30-6:15PM,,HSCI-230,Jewell J,Class instruction is: Face to Face - On Campus.
