term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Summer_2026,PHYS,100A,PHYS 100A,GENERAL PHYSICS,4,GE: 5A-WL (B1/B3),01,10007,Summer_2026|PHYS 100A|01|10007,FALSE,\N,"1,27,310",LEC,MTuWTh,12:05-2:05PM,available,HSCI-102,Gomez A,Class instruction is: Face to Face - On Campus.
Summer_2026,PHYS,100A,PHYS 100A,GENERAL PHYSICS,4,GE: 5A-WL (B1/B3),02,10008,Summer_2026|PHYS 100A|02|10008,FALSE,\N,"27,310",LAB,TuTh,8-11:45AM,available,HSCI-230,Staff,Class instruction is: Face to Face - On Campus.
Summer_2026,PHYS,100A,PHYS 100A,GENERAL PHYSICS,4,GE: 5A-WL (B1/B3),03,10009,Summer_2026|PHYS 100A|03|10009,FALSE,\N,"27,310",LAB,TuTh,2:15-6:00PM,available,HSCI-230,Staff,Class instruction is: Face to Face - On Campus.
Summer_2026,PHYS,100A,PHYS 100A,GENERAL PHYSICS,4,GE: 5A-WL (B1/B3),04,10131,Summer_2026|PHYS 100A|04|10131,FALSE,\N,"27,310",LAB,MW,2:15-6:20PM,available,HSCI-230,Staff,Class instruction is: Face to Face - On Campus.
Summer_2026,PHYS,100A,PHYS 100A,GENERAL PHYSICS,4,GE: 5A-WL (B1/B3),04,\N,Summer_2026|PHYS 100A|04|NOCLASS|11ca60f2d7ee5ab8,FALSE,\N,,,NA,NA,,NA,Staff,additional meeting detail
Summer_2026,PHYS,100A,PHYS 100A,GENERAL PHYSICS,4,GE: 5A-WL (B1/B3),05,10200,Summer_2026|PHYS 100A|05|10200,FALSE,\N,"1,310",LAB,MW,8-12:00PM,available,HSCI-230,Staff,Class instruction is: Face to Face - On Campus.
Summer_2026,PHYS,100A,PHYS 100A,GENERAL PHYSICS,4,GE: 5A-WL (B1/B3),05,\N,Summer_2026|PHYS 100A|05|NOCLASS|2efc5fd86eaa139e,FALSE,\N,,,NA,NA,,NA,Staff,additional meeting detail
Summer_2026,PHYS,151,PHYS 151,MECHANICS AND HEAT,4,GE: 5A-WL (B1/B3),01,10024,Summer_2026|PHYS 151|01|10024,FALSE,\N,"1,310",SEM,MTuWTh,12:05-2:05PM,available,HSCI-100,Klaehn T,Class instruction is: Face to Face - On Campus.
Summer_2026,PHYS,151,PHYS 151,MECHANICS AND HEAT,4,GE: 5A-WL (B1/B3),02,10025,Summer_2026|PHYS 151|02|10025,FALSE,\N,"1,310",LAB,TuTh,8-11:45AM,available,HSCI-232,Staff,Class instruction is: Face to Face - On Campus.
Summer_2026,PHYS,151,PHYS 151,MECHANICS AND HEAT,4,GE: 5A-WL (B1/B3),03,10079,Summer_2026|PHYS 151|03|10079,FALSE,\N,310,LAB,TuTh,2:15-6:00PM,available,HSCI-232,Staff,Class instruction is: Face to Face - On Campus.
Summer_2026,PHYS,152,PHYS 152,ELECTRICITY AND MAGNETISM,4,GE: 5A-WL (B1/B3),01,10139,Summer_2026|PHYS 152|01|10139,FALSE,\N,305,SEM,NA,NA,available,ONLINE-ONLY,Gredig T,Department Consent RequiredClass instruction is: Asynch. Online-No Meet Times.
Summer_2026,PHYS,152,PHYS 152,ELECTRICITY AND MAGNETISM,4,GE: 5A-WL (B1/B3),02,10140,Summer_2026|PHYS 152|02|10140,FALSE,\N,305,LAB,NA,NA,available,ONLINE-ONLY,Gredig T,Department Consent RequiredClass instruction is: Asynch. Online-No Meet Times.
Summer_2026,PHYS,100B,PHYS 100B,GENERAL PHYSICS,4,GE: 5A-WL (B1/B3),01,10053,Summer_2026|PHYS 100B|01|10053,FALSE,\N,"1,27,310",LEC,MTuWTh,12:05-2:00PM,available,PSY-150,De La Cruz V,Class instruction is: Face to Face - On Campus.
Summer_2026,PHYS,100B,PHYS 100B,GENERAL PHYSICS,4,GE: 5A-WL (B1/B3),02,10054,Summer_2026|PHYS 100B|02|10054,FALSE,\N,"27,310",LAB,TuTh,8-11:45AM,available,HSCI-236,Staff,Class instruction is: Face to Face - On Campus.
