term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Summer_2026,POSC,100,POSC 100,INTRO AMERICAN GOVERNMENT,3,GE: 4B (D2),01,10004,Summer_2026|POSC 100|01|10004,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Rasmussen A,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,POSC,391,POSC 391,AMERICAN GOVERNMENT,3,"GE: 4B (D2), 4UD (UDD)",01,10005,Summer_2026|POSC 391|01|10005,FALSE,\N,305,LEC,NA,NA,available,ONLINE-ONLY,Rasmussen A,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,POSC,100,POSC 100,INTRO AMERICAN GOVERNMENT,3,GE: 4B (D2),02,10097,Summer_2026|POSC 100|02|10097,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,DeWitt D,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,POSC,100,POSC 100,INTRO AMERICAN GOVERNMENT,3,GE: 4B (D2),05,10549,Summer_2026|POSC 100|05|10549,FALSE,\N,305,LEC,NA,NA,available,ONLINE-ONLY,Whitehead J,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,POSC,199,POSC 199,INTRODUCTION TO CALIFORNIA GOV,1,,01,10018,Summer_2026|POSC 199|01|10018,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Chounlamountry S,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,POSC,391,POSC 391,AMERICAN GOVERNMENT,3,"GE: 4B (D2), 4UD (UDD)",02,10098,Summer_2026|POSC 391|02|10098,FALSE,\N,305,LEC,NA,NA,available,ONLINE-ONLY,DeWitt D,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,POSC,391,POSC 391,AMERICAN GOVERNMENT,3,"GE: 4B (D2), 4UD (UDD)",05,10550,Summer_2026|POSC 391|05|10550,FALSE,\N,305,LEC,NA,NA,available,ONLINE-ONLY,Whitehead J,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,POSC,399,POSC 399,INTRO TO CALIFORNIA GOVERNMENT,1,,01,10017,Summer_2026|POSC 399|01|10017,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Chounlamountry S,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,POSC,100,POSC 100,INTRO AMERICAN GOVERNMENT,3,GE: 4B (D2),03,10049,Summer_2026|POSC 100|03|10049,FALSE,\N,305,LEC,NA,NA,available,ONLINE-ONLY,Wright T,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,POSC,100,POSC 100,INTRO AMERICAN GOVERNMENT,3,GE: 4B (D2),04,10050,Summer_2026|POSC 100|04|10050,FALSE,\N,305,LEC,NA,NA,available,ONLINE-ONLY,Haesly R,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,POSC,391,POSC 391,AMERICAN GOVERNMENT,3,"GE: 4B (D2), 4UD (UDD)",03,10051,Summer_2026|POSC 391|03|10051,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Wright T,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,POSC,391,POSC 391,AMERICAN GOVERNMENT,3,"GE: 4B (D2), 4UD (UDD)",04,10052,Summer_2026|POSC 391|04|10052,FALSE,\N,305,LEC,NA,NA,available,ONLINE-ONLY,Haesly R,Class instruction is: Asynch. Online-No Meet Times.
