term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Summer_2026,PPA,555,PPA 555,GOVERNMENT BUDGET & FINANCE,3,,02,10953,Summer_2026|PPA 555|02|10953,FALSE,\N,309,SEM,M,6-8:45PM,available,ONLINE-ONLY,Nkrumah R,Class instruction is: Online - Mixed Meet Times.
Summer_2026,PPA,555,PPA 555,GOVERNMENT BUDGET & FINANCE,3,,02,\N,Summer_2026|PPA 555|02|NOCLASS|9b7eda01cda46d44,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Staff,additional meeting detail
Summer_2026,PPA,577,PPA 577,PUB SECT HUMAN RESOURCES MGMT,3,,01,10580,Summer_2026|PPA 577|01|10580,FALSE,\N,305,SEM,NA,NA,available,ONLINE-ONLY,Martin E,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,PPA,660,PPA 660,SEM ORG THEORY & BEHAVIOR,3,,01,10581,Summer_2026|PPA 660|01|10581,FALSE,\N,309,SEM,Tu,6-8:45PM,available,ONLINE-ONLY,Powell D,Class instruction is: Online - Mixed Meet Times.
Summer_2026,PPA,660,PPA 660,SEM ORG THEORY & BEHAVIOR,3,,01,\N,Summer_2026|PPA 660|01|NOCLASS|3b74c83ff21206d0,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Staff,additional meeting detail
Summer_2026,PPA,696,PPA 696,RESEARCH METHODS,3,,01,10190,Summer_2026|PPA 696|01|10190,FALSE,\N,305,SEM,NA,NA,available,ONLINE-ONLY,Butz A,Department Consent RequiredClass instruction is: Asynch. Online-No Meet Times.
Summer_2026,PPA,535,PPA 535,INTERGOVERNMENTAL RELATIONS,3,,02,10972,Summer_2026|PPA 535|02|10972,FALSE,\N,305,SEM,NA,NA,available,ONLINE-ONLY,Powell D,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,PPA,571,PPA 571,LEADERSHIP SKILLS & STRATEGIES,3,,01,10068,Summer_2026|PPA 571|01|10068,FALSE,\N,305,SEM,NA,NA,available,ONLINE-ONLY,Martin E,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,PPA,590T,PPA 590T,PUBLIC FINANCE,3,,01,10926,Summer_2026|PPA 590T|01|10926,FALSE,\N,309,SEM,M,6-8:45PM,available,ONLINE-ONLY,Staff,Class instruction is: Online - Mixed Meet Times.
Summer_2026,PPA,590T,PPA 590T,PUBLIC FINANCE,3,,01,\N,Summer_2026|PPA 590T|01|NOCLASS|3285e12276e60f5f,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Staff,additional meeting detail
Summer_2026,PPA,670,PPA 670,POLICY ISSUE ANALYSIS,3,,01,10583,Summer_2026|PPA 670|01|10583,FALSE,\N,309,SEM,Tu,6-8:45PM,,ONLINE-ONLY,Zhao T,Class instruction is: Online - Mixed Meet Times.
Summer_2026,PPA,670,PPA 670,POLICY ISSUE ANALYSIS,3,,01,\N,Summer_2026|PPA 670|01|NOCLASS|ab8354b8272da3b3,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Staff,additional meeting detail
