term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Summer_2026,PSY,351,PSY 351,SOCIAL PSYCHOLOGY,3,GE: 4UD (UDD),01,10069,Summer_2026|PSY 351|01|10069,FALSE,\N,305,LEC,NA,NA,available,ONLINE-ONLY,Pedersen B,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,PSY,354,PSY 354,PSYCHOLOGY OF WOMEN,3,,01,10493,Summer_2026|PSY 354|01|10493,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Ahrens C,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,PSY,457,PSY 457,PSYCHOLOGY OF SEXUALITY,3,,01,10188,Summer_2026|PSY 457|01|10188,FALSE,\N,305,SEM,NA,NA,,ONLINE-ONLY,Span S,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,PSY,301,PSY 301,PSY-DISCIPLINE & PROFESSION,3,,01,10242,Summer_2026|PSY 301|01|10242,FALSE,\N,305,ACT,NA,NA,,ONLINE-ONLY,Maxfield L,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,PSY,314,PSY 314,PSYCHOLOGICAL ASSESSMENT,3,,01,10297,Summer_2026|PSY 314|01|10297,FALSE,\N,305,SEM,NA,NA,available,ONLINE-ONLY,Whitney D,Class instruction is: Asynch. Online-No Meet Times.Reserved Seats for Incoming MS IO students.
Summer_2026,PSY,332,PSY 332,HUMAN COGNITION,3,,01,10002,Summer_2026|PSY 332|01|10002,FALSE,\N,305,LEC,NA,NA,available,ONLINE-ONLY,Vu K,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,PSY,337,PSY 337,PSYCHOLOGY OF HAPPINESS,3,,01,10372,Summer_2026|PSY 337|01|10372,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Chiappe D,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,PSY,337,PSY 337,PSYCHOLOGY OF HAPPINESS,3,,02,10169,Summer_2026|PSY 337|02|10169,FALSE,\N,305,LEC,NA,NA,available,ONLINE-ONLY,Chiappe D,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,PSY,370,PSY 370,ABNORMAL PSYCHOLOGY,3,GE: 4UD (UDD),01,10494,Summer_2026|PSY 370|01|10494,FALSE,\N,305,LEC,NA,NA,available,ONLINE-ONLY,Chun C,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,PSY,100,PSY 100,GENERAL PSYCHOLOGY,3,GE: 4C (D3),01,10393,Summer_2026|PSY 100|01|10393,FALSE,\N,305,LEC,NA,NA,available,ONLINE-ONLY,Wax A,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,PSY,241,PSY 241,PSYCHOBIOLOGY,3,GE: 5B-NL (B2),01,10490,Summer_2026|PSY 241|01|10490,FALSE,\N,305,LEC,NA,NA,available,ONLINE-ONLY,Halbout B,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,PSY,301,PSY 301,PSY-DISCIPLINE & PROFESSION,3,,02,10491,Summer_2026|PSY 301|02|10491,FALSE,\N,305,ACT,NA,NA,available,ONLINE-ONLY,Maxfield L,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,PSY,327,PSY 327,INTRODUCTION TO HUMAN FACTORS,3,GE: 4UD (UDD),01,10099,Summer_2026|PSY 327|01|10099,FALSE,\N,305,LEC,NA,NA,available,ONLINE-ONLY,Illingworth D,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,PSY,351,PSY 351,SOCIAL PSYCHOLOGY,3,GE: 4UD (UDD),02,10394,Summer_2026|PSY 351|02|10394,FALSE,\N,305,LEC,NA,NA,available,ONLINE-ONLY,Galvez G,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,PSY,361,PSY 361,CHILD & ADOLESCENT DEVELOPMENT,3,GE: 4UD (UDD),01,10395,Summer_2026|PSY 361|01|10395,FALSE,\N,305,LEC,NA,NA,available,ONLINE-ONLY,Correa M,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,PSY,365,PSY 365,EMERGING ADULTHOOD TO AGING,3,,01,10003,Summer_2026|PSY 365|01|10003,FALSE,\N,305,LEC,NA,NA,available,ONLINE-ONLY,Halim M,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,PSY,381,PSY 381,INTRO TO I-O PSYCH,3,,01,10492,Summer_2026|PSY 381|01|10492,FALSE,\N,305,LEC,NA,NA,available,ONLINE-ONLY,Wax A,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,PSY,477,PSY 477,PSYCHOLOGY OF ADDICTION,3,,01,10170,Summer_2026|PSY 477|01|10170,FALSE,\N,305,SEM,NA,NA,,ONLINE-ONLY,Zavala A,Class instruction is: Asynch. Online-No Meet Times.
