term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Summer_2026,REC,340,REC 340,LEISURE CONTEMPORARY SOCIETY,3,GE: 4UD (UDD),01,10180,Summer_2026|REC 340|01|10180,FALSE,\N,305,LEC,NA,NA,available,ONLINE-ONLY,Fulthorp K,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,REC,168,REC 168,INTRO TO TRAVEL AND TOURISM,3,GE: 4C (D3),01,10484,Summer_2026|REC 168|01|10484,FALSE,\N,305,LEC,NA,NA,available,ONLINE-ONLY,Richmond L,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,REC,485,REC 485,FIELD WORK,3,,01,10252,Summer_2026|REC 485|01|10252,FALSE,\N,305,SUP,TBA,NA,available,ONLINE-ONLY,Fulthorp K,Department Consent RequiredClass instruction is: Asynch. Online-No Meet Times.Recreation Management and Recreation Therapy Students Only
Summer_2026,REC,498,REC 498,INTERNSHIP,6,,01,10181,Summer_2026|REC 498|01|10181,FALSE,\N,305,SUP,TBA,NA,available,ONLINE-ONLY,Fulthorp K,Department Consent RequiredClass instruction is: Asynch. Online-No Meet Times.For Recreation Management students only
Summer_2026,REC,498,REC 498,INTERNSHIP,6,,02,10614,Summer_2026|REC 498|02|10614,FALSE,\N,305,SUP,TBA,NA,available,ONLINE-ONLY,Yang H,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,REC,340,REC 340,LEISURE CONTEMPORARY SOCIETY,3,GE: 4UD (UDD),02,10458,Summer_2026|REC 340|02|10458,FALSE,\N,305,LEC,NA,NA,available,ONLINE-ONLY,Staff,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,REC,469,REC 469,DISABILITY ISSUES & INTERVENTN,3,,01,10209,Summer_2026|REC 469|01|10209,FALSE,\N,305,LEC,NA,NA,available,ONLINE-ONLY,Yang H,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,REC,473,REC 473,AGING & LEISURE,3,,01,10309,Summer_2026|REC 473|01|10309,FALSE,\N,305,LEC,NA,NA,available,ONLINE-ONLY,Lee C,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,REC,569,REC 569,DISABILITY ISSUES & INTERVENTN,3,,01,10210,Summer_2026|REC 569|01|10210,FALSE,\N,305,LEC,NA,NA,available,ONLINE-ONLY,Yang H,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,REC,573,REC 573,AGING AND LEISURE,3,,01,10310,Summer_2026|REC 573|01|10310,FALSE,\N,305,LEC,NA,NA,available,ONLINE-ONLY,Lee C,Class instruction is: Asynch. Online-No Meet Times.
