term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Spring_2026,SCED,100,SCED 100,INTRO TO SCI AND SPATIAL REAS,3,GE: 1B (A3),01,5598,Spring_2026|SCED 100|01|5598,FALSE,\N,27,LEC,MW,9:30-10:45AM,,HSCI-281,Harris D,Class instruction is: Face to Face - On Campus.
Spring_2026,SCED,100,SCED 100,INTRO TO SCI AND SPATIAL REAS,3,GE: 1B (A3),02,6264,Spring_2026|SCED 100|02|6264,FALSE,\N,27,LEC,MW,11-12:15PM,,HSCI-281,Harris D,Class instruction is: Face to Face - On Campus.
Spring_2026,SCED,100,SCED 100,INTRO TO SCI AND SPATIAL REAS,3,GE: 1B (A3),03,7565,Spring_2026|SCED 100|03|7565,FALSE,\N,27,LEC,MW,2-3:15PM,,HSCI-277,Lazaro A,Class instruction is: Face to Face - On Campus.
Spring_2026,SCED,100,SCED 100,INTRO TO SCI AND SPATIAL REAS,3,GE: 1B (A3),05,10969,Spring_2026|SCED 100|05|10969,FALSE,\N,27,LEC,TuTh,12:30-1:45PM,,HSCI-281,Song Y,Class instruction is: Face to Face - On Campus.
Spring_2026,SCED,401,SCED 401,A PROCESS APPROACH TO SCIENCE,3,,01,3860,Spring_2026|SCED 401|01|3860,FALSE,\N,"1,12,27,146",SEM,M,9-10:50AM,,HSCI-277,Martin L,Class instruction is: Face to Face - On Campus.
Spring_2026,SCED,401,SCED 401,A PROCESS APPROACH TO SCIENCE,3,,02,3861,Spring_2026|SCED 401|02|3861,FALSE,\N,27,LAB,W,9-10:50AM,,HSCI-277,Martin L,Class instruction is: Face to Face - On Campus.
Spring_2026,SCED,401,SCED 401,A PROCESS APPROACH TO SCIENCE,3,,02,\N,Spring_2026|SCED 401|02|NOCLASS|5d1c0c03ce5e9931,FALSE,\N,,,NA,NA,,OFF-CAMP,Martin L,additional meeting detail
Spring_2026,SCED,404,SCED 404,SCIENCE AND SCIENTIFIC REASON,3,GWAR: WI,01,4419,Spring_2026|SCED 404|01|4419,FALSE,\N,"1,27",LEC,Tu,4-6:45PM,available,HSCI-282,Gomez Zwiep S,Class instruction is: Face to Face - On Campus.
Spring_2026,SCED,475,SCED 475,TEACH & LEARN SCIENCE,3,,01,7456,Spring_2026|SCED 475|01|7456,FALSE,\N,27,SEM,M,1-2:50PM,,HSCI-281,Straits W,Class instruction is: Face to Face - On Campus.
Spring_2026,SCED,475,SCED 475,TEACH & LEARN SCIENCE,3,,02,7457,Spring_2026|SCED 475|02|7457,FALSE,\N,,ACT,M,3-3:50PM,,HSCI-281,Straits W,Class instruction is: Face to Face - On Campus.
Spring_2026,SCED,475,SCED 475,TEACH & LEARN SCIENCE,3,,02,\N,Spring_2026|SCED 475|02|NOCLASS|9d0d0ee44805d9a9,FALSE,\N,,,NA,NA,,OFF-CAMP,Straits W,additional meeting detail
Spring_2026,SCED,553,SCED 553,SCI LEARN INFORMAL SETTINGS,3,,02,11202,Spring_2026|SCED 553|02|11202,FALSE,\N,"1,27,311",SEM,Th,5-7:45PM,available,HSCI-101,Kisiel J,Instructor Consent RequiredClass instruction is: Hybrid (Face to Face & Synch).
Spring_2026,SCED,553,SCED 553,SCI LEARN INFORMAL SETTINGS,3,,02,\N,Spring_2026|SCED 553|02|NOCLASS|0b5504282b444b04,FALSE,\N,,,Th,5-7:45PM,,ONLINE-ONLY,Kisiel J,additional meeting detail
Spring_2026,SCED,590,SCED 590,S TOPICS SCIENCE EDUCATION,1,,01,6382,Spring_2026|SCED 590|01|6382,FALSE,\N,27,SEM,NA,NA,available,ONLINE-ONLY,Dozier S,Instructor Consent RequiredClass instruction is: Asynch. Online-No Meet Times.
Spring_2026,SCED,590,SCED 590,S TOPICS SCIENCE EDUCATION,1,,02,10828,Spring_2026|SCED 590|02|10828,FALSE,\N,"1,9",SEM,W,5-7:45PM,available,HSCI-281,Dozier S,Instructor Consent RequiredTeaching Climate Change Soc ImClass instruction is: Face to Face - On Campus.
Spring_2026,SCED,697,SCED 697,DIRECTED RESEARCH,1,,02,3547,Spring_2026|SCED 697|02|3547,FALSE,\N,"1,3,8,180",SUP,TBA,NA,,HSCI-201,Dozier S,Department Consent RequiredClass instruction is: Face to Face - On Campus.
Spring_2026,SCED,697,SCED 697,DIRECTED RESEARCH,1,,03,3554,Spring_2026|SCED 697|03|3554,FALSE,\N,"1,3,8,180",SUP,TBA,NA,available,HSCI-201,Kisiel J,Department Consent RequiredClass instruction is: Face to Face - On Campus.
Spring_2026,SCED,697,SCED 697,DIRECTED RESEARCH,1,,04,4037,Spring_2026|SCED 697|04|4037,FALSE,\N,"1,3,8,180",SUP,TBA,NA,available,HSCI-201,Martin L,Department Consent RequiredClass instruction is: Face to Face - On Campus.
