term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Summer_2026,SLP,462,SLP 462,SLPA PRACTICUM,3,,01,10801,Summer_2026|SLP 462|01|10801,FALSE,\N,310,SEM,F,9-1:25PM,available,LAB-117A,Carias S,Class instruction is: Face to Face - On Campus.
Summer_2026,SLP,499,SLP 499,DIR STUDIES COMM DISORDERS,1,,02,10908,Summer_2026|SLP 499|02|10908,FALSE,\N,306,SUP,F,11-12:20PM,available,ONLINE-ONLY,Yu C,Instructor Consent RequiredClass instruction is: Synch. Online - Meet Times.
Summer_2026,SLP,662,SLP 662,SEM LANG LIT DISORD SCHL-AGE,3,,01,10410,Summer_2026|SLP 662|01|10410,FALSE,\N,310,SEM,TuTh,9-10:55AM,available,LAB-126,Sun L,Class instruction is: Face to Face - On Campus.
Summer_2026,SLP,668,SLP 668,SEMINAR IN DYSPHAGIA,3,,01,10370,Summer_2026|SLP 668|01|10370,FALSE,\N,310,SEM,MW,9-11:00AM,available,LAB-126,Gomez-Tydor K,Class instruction is: Face to Face - On Campus.
Summer_2026,SLP,669A,SLP 669A,MULTICLTRL CLIN PRAC DEV SPCH,4,,01,10347,Summer_2026|SLP 669A|01|10347,FALSE,\N,310,SUP,TuTh,1-5:00PM,available,LAB-134,Carias S,Class instruction is: Face to Face - On Campus.
Summer_2026,SLP,669A,SLP 669A,MULTICLTRL CLIN PRAC DEV SPCH,4,,02,10348,Summer_2026|SLP 669A|02|10348,FALSE,\N,310,SUP,MW,1-5:00PM,available,LAB-134,Carias S,Class instruction is: Face to Face - On Campus.
Summer_2026,SLP,669J,SLP 669J,MLTCLTRL CLIN PRAC AQD NEUROG,4,,01,10368,Summer_2026|SLP 669J|01|10368,FALSE,\N,310,SUP,TuTh,1-5:00PM,available,LAB-117A,Yu C,Class instruction is: Face to Face - On Campus.
Summer_2026,SLP,669J,SLP 669J,MLTCLTRL CLIN PRAC AQD NEUROG,4,,02,10369,Summer_2026|SLP 669J|02|10369,FALSE,\N,310,SUP,MW,1-5:00PM,available,LAB-117A,Gomez-Tydor K,Class instruction is: Face to Face - On Campus.
Summer_2026,SLP,669J,SLP 669J,MLTCLTRL CLIN PRAC AQD NEUROG,4,,03,10411,Summer_2026|SLP 669J|03|10411,FALSE,\N,310,SUP,MW,1-5:00PM,available,LAB-114,Yu C,Class instruction is: Face to Face - On Campus.
Summer_2026,SLP,679,SLP 679,TOPICS IN MED SPEECH-LANG PATH,1,,01,10802,Summer_2026|SLP 679|01|10802,FALSE,\N,310,SEM,Th,11-12:20PM,available,LAB-126,Gomez-Tydor K,Class instruction is: Face to Face - On Campus.
