term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Summer_2026,SOC,270,SOC 270,INTRO TO RESEARCH METHODS,3,,01,10821,Summer_2026|SOC 270|01|10821,FALSE,\N,306,SEM,MW,8:30-12:30PM,available,ONLINE-ONLY,Jacobson-Harris L,Class instruction is: Synch. Online - Meet Times.
Summer_2026,SOC,325,SOC 325,SOCIOLOGY OF GENDER,3,,01,10389,Summer_2026|SOC 325|01|10389,FALSE,\N,305,LEC,NA,NA,available,ONLINE-ONLY,Miller S,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,SOC,342,SOC 342,CRITICAL CRIMINOLOGY,3,GE: 4UD (UDD),01,10822,Summer_2026|SOC 342|01|10822,FALSE,\N,305,LEC,NA,NA,available,ONLINE-ONLY,Haldipur J,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,SOC,356,SOC 356,CLASSICAL SOCIOLOGICAL THEORY,3,,02,10955,Summer_2026|SOC 356|02|10955,FALSE,\N,306,SEM,TuTh,1-4:45PM,available,ONLINE-ONLY,Ortiz R,Class instruction is: Synch. Online - Meet Times.
Summer_2026,SOC,430,SOC 430,SOCIOLOGY OF GLOBALIZATION,3,,01,10500,Summer_2026|SOC 430|01|10500,FALSE,\N,305,SEM,NA,NA,available,ONLINE-ONLY,Lopez C,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,SOC,320,SOC 320,SOCIOLOGY OF FAMILIES,3,,01,10499,Summer_2026|SOC 320|01|10499,FALSE,\N,305,SEM,NA,NA,available,ONLINE-ONLY,Eriksen S,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,SOC,346,SOC 346,RACE GENDER AND CLASS,3,GE: 4UD (UDD),01,10396,Summer_2026|SOC 346|01|10396,FALSE,\N,305,LEC,NA,NA,available,ONLINE-ONLY,Alimahomed S,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,SOC,357,SOC 357,MODERN SOCIOLOGICAL THEORY,3,,02,10954,Summer_2026|SOC 357|02|10954,FALSE,\N,306,SEM,TuTh,1-4:45PM,available,ONLINE-ONLY,Osuna S,Class instruction is: Synch. Online - Meet Times.
Summer_2026,SOC,410,SOC 410,ENVIRONMENTAL SOCIOLOGY,3,GE: 4UD (UDD),01,10275,Summer_2026|SOC 410|01|10275,FALSE,\N,305,LEC,NA,NA,available,ONLINE-ONLY,Wilson J,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,SOC,447,SOC 447,SOCIOLOGY OF POPULAR CULTURE,3,GE: 4UD (UDD),01,10823,Summer_2026|SOC 447|01|10823,FALSE,\N,305,LEC,NA,NA,available,ONLINE-ONLY,Lara M,Class instruction is: Asynch. Online-No Meet Times.
