term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Summer_2026,S,W 500,S W 500,FOUNDTNS SW PRAC SKILLS INTERV,3,,01,10037,Summer_2026|S W 500|01|10037,FALSE,\N,310,SEM,M,6-10:00PM,available,SPA-103,Callicott Q,Class instruction is: Face to Face - On Campus.
Summer_2026,S,W 500,S W 500,FOUNDTNS SW PRAC SKILLS INTERV,3,,02,10038,Summer_2026|S W 500|02|10038,FALSE,\N,310,SEM,M,6-10:00PM,available,SPA-108,Stallings J,Class instruction is: Face to Face - On Campus.
Summer_2026,S,W 500,S W 500,FOUNDTNS SW PRAC SKILLS INTERV,3,,03,10039,Summer_2026|S W 500|03|10039,FALSE,\N,310,SEM,M,6-10:00PM,,SPA-107,Maldonado C,Class instruction is: Face to Face - On Campus.
Summer_2026,S,W 500,S W 500,FOUNDTNS SW PRAC SKILLS INTERV,3,,04,10040,Summer_2026|S W 500|04|10040,FALSE,\N,310,SEM,M,6-10:00PM,available,SPA-211,Campbell C,Class instruction is: Face to Face - On Campus.
Summer_2026,S,W 594B,S W 594B,RESRCH METHODS SOCIAL WORK II,3,,01,10041,Summer_2026|S W 594B|01|10041,FALSE,\N,310,SEM,W,6-9:45PM,,ET-109,Washington A,Class instruction is: Face to Face - On Campus.
Summer_2026,S,W 594B,S W 594B,RESRCH METHODS SOCIAL WORK II,3,,02,10042,Summer_2026|S W 594B|02|10042,FALSE,\N,310,SEM,W,6-9:45PM,,KIN-057,Lam B,Class instruction is: Face to Face - On Campus.
Summer_2026,S,W 594B,S W 594B,RESRCH METHODS SOCIAL WORK II,3,,03,10061,Summer_2026|S W 594B|03|10061,FALSE,\N,310,SEM,Sa,9-1:05PM,,ET-109,Washington A,Class instruction is: Face to Face - On Campus.
Summer_2026,S,W 594B,S W 594B,RESRCH METHODS SOCIAL WORK II,3,,04,10062,Summer_2026|S W 594B|04|10062,FALSE,\N,310,SEM,Sa,9-1:05PM,available,KIN-057,S J,Class instruction is: Face to Face - On Campus.
Summer_2026,S,W 605,S W 605,ADV SOC POL ANALYSIS ADC PRAC,3,,01,10063,Summer_2026|S W 605|01|10063,FALSE,\N,310,SEM,M,6-10:00PM,,SPA-111,Crotts S,Department Consent RequiredClass instruction is: Face to Face - On Campus.
Summer_2026,S,W 605,S W 605,ADV SOC POL ANALYSIS ADC PRAC,3,,02,10064,Summer_2026|S W 605|02|10064,FALSE,\N,310,SEM,M,6-10:00PM,,SPA-203,S J,Department Consent RequiredClass instruction is: Face to Face - On Campus.
Summer_2026,S,W 605,S W 605,ADV SOC POL ANALYSIS ADC PRAC,3,,03,10065,Summer_2026|S W 605|03|10065,FALSE,\N,310,SEM,Sa,9-1:05PM,,SPA-204,Staff,Department Consent RequiredClass instruction is: Face to Face - On Campus.
Summer_2026,S,W 605,S W 605,ADV SOC POL ANALYSIS ADC PRAC,3,,04,10066,Summer_2026|S W 605|04|10066,FALSE,\N,310,SEM,Sa,9-1:05PM,available,SPA-208,Staff,Department Consent RequiredClass instruction is: Face to Face - On Campus.
Summer_2026,S,W 643,S W 643,SW PRAC CHILD WLFR SERVICES,3,,01,10014,Summer_2026|S W 643|01|10014,FALSE,\N,310,SEM,W,6-9:45PM,,SPA-103,Porter K,Class instruction is: Face to Face - On Campus.
Summer_2026,S,W 665,S W 665,SCHOOL SOCIAL WORK,3,,01,10010,Summer_2026|S W 665|01|10010,FALSE,\N,310,SEM,W,6-9:45PM,,SPA-112,Staff,Class instruction is: Face to Face - On Campus.
Summer_2026,S,W 677,S W 677,SW PRACTICE MENTAL HEALTH SVCS,3,,01,10110,Summer_2026|S W 677|01|10110,FALSE,\N,310,SEM,W,6-9:45PM,,SPA-211,Ramirez J,Class instruction is: Face to Face - On Campus.
Summer_2026,S,W 679,S W 679,CLIN ASSMNT/DIAGNOSIS SW PRACT,3,,01,10067,Summer_2026|S W 679|01|10067,FALSE,\N,310,SEM,W,6-9:45PM,,SPA-204,Polk J,Class instruction is: Face to Face - On Campus.
