term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Spring_2026,ASTR,100,ASTR 100,ASTRONOMY,3,GE: 5A-NL (B1),01,3028,Spring_2026|ASTR 100|01|3028,FALSE,\N,"1,27",LEC,MW,2-3:15PM,available,HSCI-102,Rajpoot S,Class instruction is: Face to Face - On Campus.
Spring_2026,ASTR,100,ASTR 100,ASTRONOMY,3,GE: 5A-NL (B1),02,1820,Spring_2026|ASTR 100|02|1820,FALSE,\N,"1,27",LEC,TuTh,9:30-10:45AM,,HSCI-102,Eleby J,Class instruction is: Face to Face - On Campus.
Spring_2026,ASTR,100,ASTR 100,ASTRONOMY,3,GE: 5A-NL (B1),03,1059,Spring_2026|ASTR 100|03|1059,FALSE,\N,"1,27",LEC,TuTh,12:30-1:45PM,available,MM-100,Eleby J,Class instruction is: Face to Face - On Campus.
Spring_2026,ASTR,100,ASTR 100,ASTRONOMY,3,GE: 5A-NL (B1),04,3227,Spring_2026|ASTR 100|04|3227,FALSE,\N,"1,27",LEC,Tu,7-9:45PM,available,HSCI-105,Gutierrez D,Class instruction is: Face to Face - On Campus.
Spring_2026,ASTR,100L,ASTR 100L,INTRO TO ASTRONOMY LAB,1,GE: 5C/5A (B3/B1),01,1060,Spring_2026|ASTR 100L|01|1060,FALSE,\N,"1,27",LAB,M,1-3:45PM,,HSCI-278,Eleby J,Class instruction is: Face to Face - On Campus.
Spring_2026,ASTR,100L,ASTR 100L,INTRO TO ASTRONOMY LAB,1,GE: 5C/5A (B3/B1),02,1061,Spring_2026|ASTR 100L|02|1061,FALSE,\N,"1,27",LAB,M,4-6:45PM,,HSCI-278,Samaniego E,Class instruction is: Face to Face - On Campus.
Spring_2026,ASTR,100L,ASTR 100L,INTRO TO ASTRONOMY LAB,1,GE: 5C/5A (B3/B1),03,1063,Spring_2026|ASTR 100L|03|1063,FALSE,\N,"1,27",LAB,M,7-9:45PM,available,HSCI-278,Benitez E,Class instruction is: Face to Face - On Campus.
Spring_2026,ASTR,100L,ASTR 100L,INTRO TO ASTRONOMY LAB,1,GE: 5C/5A (B3/B1),04,1064,Spring_2026|ASTR 100L|04|1064,FALSE,\N,"1,27",LAB,Tu,8-10:45AM,available,HSCI-278,Vaidya M,Class instruction is: Face to Face - On Campus.
Spring_2026,ASTR,100L,ASTR 100L,INTRO TO ASTRONOMY LAB,1,GE: 5C/5A (B3/B1),05,1065,Spring_2026|ASTR 100L|05|1065,FALSE,\N,"1,27",LAB,Tu,11-1:45PM,,HSCI-278,Lanoye M,Class instruction is: Face to Face - On Campus.
Spring_2026,ASTR,100L,ASTR 100L,INTRO TO ASTRONOMY LAB,1,GE: 5C/5A (B3/B1),06,1066,Spring_2026|ASTR 100L|06|1066,FALSE,\N,"1,27",LAB,Tu,2-4:45PM,,HSCI-278,Eleby J,Class instruction is: Face to Face - On Campus.
Spring_2026,ASTR,100L,ASTR 100L,INTRO TO ASTRONOMY LAB,1,GE: 5C/5A (B3/B1),07,1067,Spring_2026|ASTR 100L|07|1067,FALSE,\N,"1,27",LAB,W,8-10:45AM,available,HSCI-278,Ramadurai S,Class instruction is: Face to Face - On Campus.
Spring_2026,ASTR,100L,ASTR 100L,INTRO TO ASTRONOMY LAB,1,GE: 5C/5A (B3/B1),08,1068,Spring_2026|ASTR 100L|08|1068,FALSE,\N,"1,27",LAB,W,11-1:45PM,,HSCI-278,Ramesh P,Class instruction is: Face to Face - On Campus.
Spring_2026,ASTR,100L,ASTR 100L,INTRO TO ASTRONOMY LAB,1,GE: 5C/5A (B3/B1),09,1069,Spring_2026|ASTR 100L|09|1069,FALSE,\N,"1,27",LAB,W,4-6:45PM,,HSCI-278,Gutierrez D,Class instruction is: Face to Face - On Campus.
Spring_2026,ASTR,100L,ASTR 100L,INTRO TO ASTRONOMY LAB,1,GE: 5C/5A (B3/B1),10,1062,Spring_2026|ASTR 100L|10|1062,FALSE,\N,"1,27",LAB,W,7-9:45PM,available,HSCI-278,Arata A,Class instruction is: Face to Face - On Campus.
Spring_2026,ASTR,100L,ASTR 100L,INTRO TO ASTRONOMY LAB,1,GE: 5C/5A (B3/B1),11,1070,Spring_2026|ASTR 100L|11|1070,FALSE,\N,"1,27",LAB,Th,11-1:45PM,available,HSCI-278,Chun C,Class instruction is: Face to Face - On Campus.
Spring_2026,ASTR,100L,ASTR 100L,INTRO TO ASTRONOMY LAB,1,GE: 5C/5A (B3/B1),12,1071,Spring_2026|ASTR 100L|12|1071,FALSE,\N,"1,27",LAB,Th,2-4:45PM,,HSCI-278,Blackshire D,Class instruction is: Face to Face - On Campus.
Spring_2026,ASTR,370,ASTR 370,PLANETARY ENVIRONMENTS,3,GE: 2UD/5UD (UDB),02,10955,Spring_2026|ASTR 370|02|10955,FALSE,\N,"1,310",LEC,TuTh,2-3:15PM,available,AS-244,Zinn J,Class instruction is: Face to Face - On Campus.
Spring_2026,BIOL,101,BIOL 101,INTRO TO HUMAN DISEASE,3,GE: 5B-NL (B2),01,4581,Spring_2026|BIOL 101|01|4581,FALSE,\N,"1,6,27",LEC,MW,3:30-4:45PM,available,HSCI-100,Romero L,Class instruction is: Face to Face - On Campus.
Spring_2026,BIOL,153,BIOL 153,INTRODUCTION TO MARINE BIOLOGY,3,GE: 5B-WL (B2/B3),01,3311,Spring_2026|BIOL 153|01|3311,FALSE,\N,"1,27",LEC,MW,10-10:50AM,available,HSCI-102,Carlson M,"Class instruction is: Face to Face - On Campus.Some seats are reserved for Marine Biology pre-majors. Reserved seating expires December 1, 2025."
Spring_2026,BIOL,153,BIOL 153,INTRODUCTION TO MARINE BIOLOGY,3,GE: 5B-WL (B2/B3),04,1072,Spring_2026|BIOL 153|04|1072,FALSE,\N,"12,27",LAB,Tu,12-2:45PM,available,HSCI-111,Easton T,Class instruction is: Face to Face - On Campus.
Spring_2026,BIOL,153,BIOL 153,INTRODUCTION TO MARINE BIOLOGY,3,GE: 5B-WL (B2/B3),05,2656,Spring_2026|BIOL 153|05|2656,FALSE,\N,"12,27",LAB,W,12-2:45PM,,HSCI-111,Ortivez R,Class instruction is: Face to Face - On Campus.
Spring_2026,BIOL,153,BIOL 153,INTRODUCTION TO MARINE BIOLOGY,3,GE: 5B-WL (B2/B3),06,9259,Spring_2026|BIOL 153|06|9259,FALSE,\N,,LAB,W,3-5:45PM,available,HSCI-111,Faulkner L,Class instruction is: Face to Face - On Campus.
Spring_2026,BIOL,153,BIOL 153,INTRODUCTION TO MARINE BIOLOGY,3,GE: 5B-WL (B2/B3),07,9260,Spring_2026|BIOL 153|07|9260,FALSE,\N,,LAB,Th,12-2:45PM,,HSCI-111,Easton T,Class instruction is: Face to Face - On Campus.
Spring_2026,BIOL,153,BIOL 153,INTRODUCTION TO MARINE BIOLOGY,3,GE: 5B-WL (B2/B3),08,12617,Spring_2026|BIOL 153|08|12617,FALSE,\N,310,LAB,Th,3-5:45PM,available,HSCI-111,Ortivez R,Class instruction is: Face to Face - On Campus.
Spring_2026,BIOL,153L,BIOL 153L,INTRO TO MARINE BIOLOGY LAB,1,GE: 5C/5B (B3/B2),02,9685,Spring_2026|BIOL 153L|02|9685,FALSE,\N,"1,12,27,274",LAB,Th,12-2:45PM,,HSCI-111,Easton T,Department Consent RequiredClass instruction is: Face to Face - On Campus.
Spring_2026,BIOL,200,BIOL 200,GENERAL BIOLOGY,4,GE: 5B-WL (B2/B3),01,1073,Spring_2026|BIOL 200|01|1073,FALSE,\N,"1,6,27",LEC,MW,12:30-1:45PM,,HSCI-102,Jones C,Class instruction is: Face to Face - On Campus.
Spring_2026,BIOL,200,BIOL 200,GENERAL BIOLOGY,4,GE: 5B-WL (B2/B3),02,2945,Spring_2026|BIOL 200|02|2945,FALSE,\N,"1,6,27",LEC,TuTh,9:30-10:45AM,available,LH-151,Jones C,Class instruction is: Face to Face - On Campus.
Spring_2026,BIOL,200,BIOL 200,GENERAL BIOLOGY,4,GE: 5B-WL (B2/B3),03,6841,Spring_2026|BIOL 200|03|6841,FALSE,\N,"12,27",LAB,Tu,9:30-12:15PM,available,MLSC-113,Stern T,Class instruction is: Face to Face - On Campus.
Spring_2026,BIOL,200,BIOL 200,GENERAL BIOLOGY,4,GE: 5B-WL (B2/B3),04,5685,Spring_2026|BIOL 200|04|5685,FALSE,\N,"12,27",LAB,Tu,2-4:45PM,,MLSC-109,Saleh A,Class instruction is: Face to Face - On Campus.
Spring_2026,BIOL,200,BIOL 200,GENERAL BIOLOGY,4,GE: 5B-WL (B2/B3),05,5686,Spring_2026|BIOL 200|05|5686,FALSE,\N,"12,27",LAB,Tu,2-4:45PM,,MLSC-113,Stern T,Class instruction is: Face to Face - On Campus.
Spring_2026,BIOL,200,BIOL 200,GENERAL BIOLOGY,4,GE: 5B-WL (B2/B3),06,1074,Spring_2026|BIOL 200|06|1074,FALSE,\N,"12,27",LAB,W,9:30-12:15PM,,MLSC-109,Yagle M,Class instruction is: Face to Face - On Campus.
Spring_2026,BIOL,200,BIOL 200,GENERAL BIOLOGY,4,GE: 5B-WL (B2/B3),07,1075,Spring_2026|BIOL 200|07|1075,FALSE,\N,"12,27",LAB,W,9:30-12:15PM,,MLSC-113,Pickard L,Class instruction is: Face to Face - On Campus.
Spring_2026,BIOL,200,BIOL 200,GENERAL BIOLOGY,4,GE: 5B-WL (B2/B3),08,2946,Spring_2026|BIOL 200|08|2946,FALSE,\N,"12,27",LAB,W,2-4:45PM,,MLSC-109,Stilwell S,Class instruction is: Face to Face - On Campus.
Spring_2026,BIOL,200,BIOL 200,GENERAL BIOLOGY,4,GE: 5B-WL (B2/B3),09,5687,Spring_2026|BIOL 200|09|5687,FALSE,\N,"12,27",LAB,W,2-4:45PM,,MLSC-113,Pickard L,Class instruction is: Face to Face - On Campus.
Spring_2026,BIOL,200,BIOL 200,GENERAL BIOLOGY,4,GE: 5B-WL (B2/B3),10,6842,Spring_2026|BIOL 200|10|6842,FALSE,\N,"12,27",LAB,Th,9:30-12:15PM,available,MLSC-113,Jones W,Class instruction is: Face to Face - On Campus.
Spring_2026,BIOL,200,BIOL 200,GENERAL BIOLOGY,4,GE: 5B-WL (B2/B3),11,1076,Spring_2026|BIOL 200|11|1076,FALSE,\N,"12,27",LAB,Th,2-4:45PM,,MLSC-109,Jones W,Class instruction is: Face to Face - On Campus.
Spring_2026,BIOL,200,BIOL 200,GENERAL BIOLOGY,4,GE: 5B-WL (B2/B3),12,5684,Spring_2026|BIOL 200|12|5684,FALSE,\N,"12,27",LAB,Th,2-4:45PM,available,MLSC-113,Cunningham L,Class instruction is: Face to Face - On Campus.
Spring_2026,BIOL,200,BIOL 200,GENERAL BIOLOGY,4,GE: 5B-WL (B2/B3),13,6155,Spring_2026|BIOL 200|13|6155,FALSE,\N,"12,27",LAB,F,9-11:45AM,,MLSC-109,Jones W,Class instruction is: Face to Face - On Campus.
Spring_2026,BIOL,200,BIOL 200,GENERAL BIOLOGY,4,GE: 5B-WL (B2/B3),14,6308,Spring_2026|BIOL 200|14|6308,FALSE,\N,"12,27",LAB,F,9-11:45AM,,MLSC-113,Pickard L,Class instruction is: Face to Face - On Campus.
Spring_2026,BIOL,200,BIOL 200,GENERAL BIOLOGY,4,GE: 5B-WL (B2/B3),15,9651,Spring_2026|BIOL 200|15|9651,FALSE,\N,"12,27",LAB,M,2-4:45PM,,MLSC-109,Cunningham L,Class instruction is: Face to Face - On Campus.
Spring_2026,BIOL,200,BIOL 200,GENERAL BIOLOGY,4,GE: 5B-WL (B2/B3),16,9652,Spring_2026|BIOL 200|16|9652,FALSE,\N,"12,27",LAB,M,2-4:45PM,,MLSC-113,Jones W,Class instruction is: Face to Face - On Campus.
Spring_2026,BIOL,200L,BIOL 200L,GENERAL BIOLOGY LAB,1,GE: 5C/5B (B3/B2),01,1077,Spring_2026|BIOL 200L|01|1077,FALSE,\N,"1,12,27,152",LAB,Tu,9:30-12:15PM,available,MLSC-113,Stern T,Department Consent RequiredClass instruction is: Face to Face - On Campus.
Spring_2026,BIOL,201,BIOL 201,GEN MICRO/HEALTH PROFESSIONALS,4,GE: 5B-WL (B2/B3),01,5752,Spring_2026|BIOL 201|01|5752,FALSE,\N,"1,6,27",LEC,TuTh,8-8:50AM,available,LA2-120,Zhang M,"Class instruction is: Face to Face - On Campus.Seats are reserved for majors that require this course. Reserved seating expires December 1, 2025.Optional Supplemental Instruction course available: SI 60,SECTION #1 , CLASS #2895(TuTh 9:30-10:45)"
Spring_2026,BIOL,201,BIOL 201,GEN MICRO/HEALTH PROFESSIONALS,4,GE: 5B-WL (B2/B3),02,5753,Spring_2026|BIOL 201|02|5753,FALSE,\N,"12,27",LAB,TuTh,9-11:45AM,available,MIC-102B,Zhang M,Class instruction is: Face to Face - On Campus.
Spring_2026,BIOL,201,BIOL 201,GEN MICRO/HEALTH PROFESSIONALS,4,GE: 5B-WL (B2/B3),03,7103,Spring_2026|BIOL 201|03|7103,FALSE,\N,"12,27",LAB,TuTh,2-4:45PM,available,MIC-102B,Doust T,Class instruction is: Face to Face - On Campus.
Spring_2026,BIOL,201,BIOL 201,GEN MICRO/HEALTH PROFESSIONALS,4,GE: 5B-WL (B2/B3),05,12438,Spring_2026|BIOL 201|05|12438,FALSE,\N,310,LAB,MW,2-4:45PM,available,MIC-102B,Doust T,Class instruction is: Face to Face - On Campus.
