term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Summer_2026,AAAS,100,AAAS 100,ASIAN EATS,3,GE: 3B (C2),01,10405,Summer_2026|AAAS 100|01|10405,FALSE,\N,305,LEC,NA,NA,available,ONLINE-ONLY,Tran A,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,ACCT,480,ACCT 480,ACCT SYSTEMS & DATA PROCESSING,4,,01,10182,Summer_2026|ACCT 480|01|10182,FALSE,\N,306,SEM,MTuW,6-9:30PM,available,ONLINE-ONLY,Smith R,Class instruction is: Synch. Online - Meet Times.
Summer_2026,ACCT,604,ACCT 604,FORENSIC ACCOUNTING,2,,01,10165,Summer_2026|ACCT 604|01|10165,FALSE,\N,309,SEM,M,6-9:30PM,available,ONLINE-ONLY,Johnson K,Class instruction is: Online - Mixed Meet Times.
Summer_2026,ACCT,604,ACCT 604,FORENSIC ACCOUNTING,2,,01,\N,Summer_2026|ACCT 604|01|NOCLASS|1b54cc1ec3284ee4,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Staff,additional meeting detail
Summer_2026,ACCT,699,ACCT 699,"PROF. RESPONSIBILITIES, ETHICS",4,,01,10603,Summer_2026|ACCT 699|01|10603,FALSE,\N,309,SEM,W,6-9:30PM,available,ONLINE-ONLY,Sharpstone L,Class instruction is: Online - Mixed Meet Times.Course enrollment for Summer Online MBA Program students.
Summer_2026,ACCT,699,ACCT 699,"PROF. RESPONSIBILITIES, ETHICS",4,,01,\N,Summer_2026|ACCT 699|01|NOCLASS|a4520b419b9e09ba,FALSE,\N,,,Sa,8-3:30PM,,ONLINE-ONLY,Staff,additional meeting detail
Summer_2026,ACCT,699,ACCT 699,"PROF. RESPONSIBILITIES, ETHICS",4,,01,\N,Summer_2026|ACCT 699|01|NOCLASS|0cae4877be6fbad8,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Staff,additional meeting detail
Summer_2026,ACCT,470,ACCT 470,AUDITING,4,GE AREA: F-Capstone,02,10873,Summer_2026|ACCT 470|02|10873,FALSE,\N,311,SEM,MTuW,5-8:20PM,available,COB-218,Zhang S,Class instruction is: Hybrid (Face to Face & Synch).In Person Exams: The class will meet in person for exam dates. Please refer to the syllabi for more information.
Summer_2026,ACCT,470,ACCT 470,AUDITING,4,GE AREA: F-Capstone,02,\N,Summer_2026|ACCT 470|02|NOCLASS|4d819607bf96f113,FALSE,\N,,,MTuW,NA,,ONLINE-ONLY,Zhang S,additional meeting detail
Summer_2026,ACCT,610,ACCT 610,MANAGERIAL ACCOUNTING CONTROL,3,,01,10436,Summer_2026|ACCT 610|01|10436,FALSE,\N,309,SEM,M,6-8:45PM,,ONLINE-ONLY,Lin P,Class instruction is: Online - Mixed Meet Times.Seats are reserved for OMBA Summer Program CourseOnline course- 50% synchronous- 1 synchronous class meeting day per week; Details to be included in syllabus.
Summer_2026,ACCT,610,ACCT 610,MANAGERIAL ACCOUNTING CONTROL,3,,01,\N,Summer_2026|ACCT 610|01|NOCLASS|8680dad98f5987e9,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Staff,additional meeting detail
Summer_2026,AFRS,119,AFRS 119,RACIAL & ETHNIC STUDIES IN US,3,GE: 6 (F-ES),02,11043,Summer_2026|AFRS 119|02|11043,FALSE,\N,305,LEC,NA,NA,available,ONLINE-ONLY,Butler M,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,AFRS,499,AFRS 499,DIRECTED STUDIES,1,,01,10108,Summer_2026|AFRS 499|01|10108,FALSE,\N,305,SUP,TBA,NA,available,ONLINE-ONLY,Claybrook M,Department Consent RequiredClass instruction is: Asynch. Online-No Meet Times.
Summer_2026,AFRS,119,AFRS 119,RACIAL & ETHNIC STUDIES IN US,3,GE: 6 (F-ES),01,10407,Summer_2026|AFRS 119|01|10407,FALSE,\N,310,LEC,TuTh,9-12:45PM,available,NA,Kirby J,Class instruction is: Face to Face - On Campus.
Summer_2026,AH,437,AH 437,IMPRESSIONISM TO POST IMPRESS,3,,01,10254,Summer_2026|AH 437|01|10254,FALSE,\N,"1,306",SEM,TuTh,9-12:45PM,available,ONLINE-ONLY,Staff,Class instruction is: Synch. Online - Meet Times.
Summer_2026,AH,537,AH 537,IMPRESSIONISM TO POST IMPRESS,3,,01,10255,Summer_2026|AH 537|01|10255,FALSE,\N,"13,306",SEM,TuTh,9-12:45PM,available,ONLINE-ONLY,Staff,Class instruction is: Synch. Online - Meet Times.
Summer_2026,AIS,101,AIS 101,INTRO NATIVE AMERICAN PEOPLE,3,GE: 4C (D3),02,10967,Summer_2026|AIS 101|02|10967,FALSE,\N,305,LEC,NA,NA,available,ONLINE-ONLY,Reed T,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,AIS,119,AIS 119,RACIAL & ETHNIC STUDIES IN US,3,GE: 6 (F-ES),01,10276,Summer_2026|AIS 119|01|10276,FALSE,\N,305,LEC,NA,NA,available,ONLINE-ONLY,Notah H,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,AMST,142,AMST 142,RACE AND HOLLYWOOD,3,GE: 3A (C1),01,10105,Summer_2026|AMST 142|01|10105,FALSE,\N,305,LEC,NA,NA,available,ONLINE-ONLY,Gomer J,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,AMST,350,AMST 350,CALIFORNIA CULTURE,3,GE: 3UD (UDC),01,10087,Summer_2026|AMST 350|01|10087,FALSE,\N,305,SEM,NA,NA,available,ONLINE-ONLY,Hashima L,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,AMST,350,AMST 350,CALIFORNIA CULTURE,3,GE: 3UD (UDC),02,10250,Summer_2026|AMST 350|02|10250,FALSE,\N,305,SEM,NA,NA,available,ONLINE-ONLY,Jackson B,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,ANTH,329,ANTH 329,CULTURAL DIVERSITY IN CALIF,3,GE: 4UD (UDD); GWAR: WI,01,10206,Summer_2026|ANTH 329|01|10206,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Quintiliani K,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,ANTH,110,ANTH 110,INTRO TO PHYSICAL ANTHROPOLOGY,3,GE: 5B-NL (B2),01,10834,Summer_2026|ANTH 110|01|10834,FALSE,\N,305,LEC,NA,NA,available,ONLINE-ONLY,Uy J,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,ANTH,307,ANTH 307,MODERNIZATN GLOBAL PERSPECTIVE,3,GE: 4UD (UDD),01,10521,Summer_2026|ANTH 307|01|10521,FALSE,\N,305,SEM,NA,NA,available,ONLINE-ONLY,Miller K,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,ART,291,ART 291,INTRO STUDIO: ANIMATION,3,,01,10841,Summer_2026|ART 291|01|10841,FALSE,\N,311,ACT,MTuW,9:30-2:30PM,available,LA5-346,Mintz A,Class instruction is: Hybrid (Face to Face & Synch).
Summer_2026,ART,291,ART 291,INTRO STUDIO: ANIMATION,3,,01,\N,Summer_2026|ART 291|01|NOCLASS|d69f97c880832912,FALSE,\N,,,MTuW,9:30-2:30PM,,ONLINE-ONLY,Mintz A,additional meeting detail
Summer_2026,ART,291,ART 291,INTRO STUDIO: ANIMATION,3,,02,10420,Summer_2026|ART 291|02|10420,FALSE,\N,306,ACT,MTuW,9:30-2:30PM,,ONLINE-ONLY,Mintz A,Class instruction is: Synch. Online - Meet Times.
Summer_2026,ART,391,ART 391,CORE STUDIO:ANIMATION-PRACTICE,3,,01,10418,Summer_2026|ART 391|01|10418,FALSE,\N,311,ACT,MTuW,9:30-2:30PM,available,LA5-346,Mintz A,Class instruction is: Hybrid (Face to Face & Synch).
Summer_2026,ART,391,ART 391,CORE STUDIO:ANIMATION-PRACTICE,3,,01,\N,Summer_2026|ART 391|01|NOCLASS|1ec59857c94e0488,FALSE,\N,,,MTuW,9:30-2:30PM,,ONLINE-ONLY,Mintz A,additional meeting detail
Summer_2026,ART,391,ART 391,CORE STUDIO:ANIMATION-PRACTICE,3,,02,10842,Summer_2026|ART 391|02|10842,FALSE,\N,306,ACT,MTuW,9:30-2:30PM,,ONLINE-ONLY,Mintz A,Class instruction is: Synch. Online - Meet Times.
Summer_2026,ART,392,ART 392,ANIMATION: ACTING AND STAGING,3,,01,10839,Summer_2026|ART 392|01|10839,FALSE,\N,311,ACT,MTuW,9:30-2:30PM,available,LA5-346,Mintz A,Class instruction is: Hybrid (Face to Face & Synch).
Summer_2026,ART,392,ART 392,ANIMATION: ACTING AND STAGING,3,,01,\N,Summer_2026|ART 392|01|NOCLASS|6879b6607ca672f6,FALSE,\N,,,MTuW,9:30-2:30PM,,ONLINE-ONLY,Mintz A,additional meeting detail
Summer_2026,ART,392,ART 392,ANIMATION: ACTING AND STAGING,3,,02,10840,Summer_2026|ART 392|02|10840,FALSE,\N,306,ACT,MTuW,9:30-2:30PM,available,ONLINE-ONLY,Mintz A,Class instruction is: Synch. Online - Meet Times.
Summer_2026,ART,393,ART 393,CORE STUDIO:ANIMATION-DESIGN 1,3,,01,10419,Summer_2026|ART 393|01|10419,FALSE,\N,311,ACT,MTuW,9:30-2:30PM,,LA5-346,Mintz A,Class instruction is: Hybrid (Face to Face & Synch).
Summer_2026,ART,393,ART 393,CORE STUDIO:ANIMATION-DESIGN 1,3,,01,\N,Summer_2026|ART 393|01|NOCLASS|558f16095076c215,FALSE,\N,,,MTuW,9:30-2:30PM,,ONLINE-ONLY,Mintz A,additional meeting detail
Summer_2026,ART,393,ART 393,CORE STUDIO:ANIMATION-DESIGN 1,3,,02,10485,Summer_2026|ART 393|02|10485,FALSE,\N,306,ACT,MTuW,9:30-2:30PM,available,ONLINE-ONLY,Mintz A,Instructor Consent RequiredClass instruction is: Synch. Online - Meet Times.
Summer_2026,ART,495,ART 495,FIELD STUDIES IN ART,1,,01,10379,Summer_2026|ART 495|01|10379,FALSE,\N,"3,305",SUP,TBA,NA,available,ONLINE-ONLY,Staff,Department Consent RequiredClass instruction is: Asynch. Online-No Meet Times.
Summer_2026,ART,499E,ART 499E,SPECIAL STUDIES IN ANIMATION,3,,01,10421,Summer_2026|ART 499E|01|10421,FALSE,\N,"1,311",ACT,MTuW,9:30-2:30PM,available,LA5-346,Mintz A,Class instruction is: Hybrid (Face to Face & Synch).
Summer_2026,ART,499E,ART 499E,SPECIAL STUDIES IN ANIMATION,3,,01,\N,Summer_2026|ART 499E|01|NOCLASS|182bc240b01db7cc,FALSE,\N,,,MTuW,9:30-2:30PM,,ONLINE-ONLY,Mintz A,additional meeting detail
Summer_2026,ASAM,119,ASAM 119,RACIAL & ETHNIC STUDIES IN US,3,GE: 6 (F-ES),01,10406,Summer_2026|ASAM 119|01|10406,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Seng S,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,AST_CLASSES,,A/ST 320,ASIAN FILMS: CULTURE IDENTITY,3,GWAR: WI,01,10875,Summer_2026|A/ST 320|01|10875,FALSE,\N,305,LEC,NA,NA,available,ONLINE-ONLY,Zimmerman-Liu T,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,BIOL,200,BIOL 200,GENERAL BIOLOGY,4,GE: 5B-WL (B2/B3),01,10382,Summer_2026|BIOL 200|01|10382,FALSE,\N,"1,27,310",LEC,MTuWTh,1-3:00PM,available,HSCI-101,Fisher A,Class instruction is: Face to Face - On Campus.
Summer_2026,BIOL,200,BIOL 200,GENERAL BIOLOGY,4,GE: 5B-WL (B2/B3),02,10383,Summer_2026|BIOL 200|02|10383,FALSE,\N,"12,27,310",LAB,TuTh,8-11:45AM,available,MLSC-109,Yagle M,Class instruction is: Face to Face - On Campus.
Summer_2026,BIOL,200L,BIOL 200L,GENERAL BIOLOGY LAB,1,GE: 5C/5B (B3/B2),01,10656,Summer_2026|BIOL 200L|01|10656,FALSE,\N,310,LAB,TuTh,8-11:45AM,available,MLSC-109,Yagle M,Department Consent RequiredClass instruction is: Face to Face - On Campus.
Summer_2026,BIOL,207,BIOL 207,HUMAN PHYSIOLOGY,4,GE: 5B-WL (B2/B3),01,10006,Summer_2026|BIOL 207|01|10006,FALSE,\N,"1,6,27,310",LEC,MTuWTh,1-3:00PM,available,HSCI-103,Rourke B,Class instruction is: Face to Face - On Campus.
Summer_2026,BIOL,207,BIOL 207,HUMAN PHYSIOLOGY,4,GE: 5B-WL (B2/B3),02,10011,Summer_2026|BIOL 207|02|10011,FALSE,\N,"12,27,310",LAB,TuTh,8-11:45AM,available,MLSC-129,Le D,Class instruction is: Face to Face - On Campus.
Summer_2026,BIOL,207,BIOL 207,HUMAN PHYSIOLOGY,4,GE: 5B-WL (B2/B3),03,10709,Summer_2026|BIOL 207|03|10709,FALSE,\N,310,LAB,MW,8-12:05PM,available,MLSC-129,Nobles M,Class instruction is: Face to Face - On Campus.
Summer_2026,BIOL,211,BIOL 211,INTRO EVOLUTION/DIVERSITY,5,GE: 5B-WL (B2/B3),01,10518,Summer_2026|BIOL 211|01|10518,FALSE,\N,305,LEC,NA,NA,available,ONLINE-ONLY,Umeda C,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,BIOL,211,BIOL 211,INTRO EVOLUTION/DIVERSITY,5,GE: 5B-WL (B2/B3),02,10534,Summer_2026|BIOL 211|02|10534,FALSE,\N,305,LAB,MW,9:30-1:30PM,available,MLSC-104,Doust T,Class instruction is: Face to Face - On Campus.
Summer_2026,BIOL,211,BIOL 211,INTRO EVOLUTION/DIVERSITY,5,GE: 5B-WL (B2/B3),03,10535,Summer_2026|BIOL 211|03|10535,FALSE,\N,305,SEM,MW,8-9:20AM,available,MLSC-104,Doust T,Class instruction is: Face to Face - On Campus.
Summer_2026,BIOL,213,BIOL 213,INTRO ECOLOGY PHYSIOLOGY,4,,01,10888,Summer_2026|BIOL 213|01|10888,FALSE,\N,"1,27,306",LEC,MTuWTh,9-11:00AM,available,ONLINE-ONLY,Darjany L,Class instruction is: Synch. Online - Meet Times.
Summer_2026,BIOL,213,BIOL 213,INTRO ECOLOGY PHYSIOLOGY,4,,02,10889,Summer_2026|BIOL 213|02|10889,FALSE,\N,"12,27,310",LAB,TuTh,1-4:45PM,available,MLSC-110,Craig C,Class instruction is: Face to Face - On Campus.
Summer_2026,BIOL,311,BIOL 311,GENERAL MICROBIOLOGY,4,,01,10313,Summer_2026|BIOL 311|01|10313,FALSE,\N,"1,15,27,310",LEC,MTuWTh,9-11:00AM,available,HSCI-101,Berlemont R,Class instruction is: Face to Face - On Campus.
Summer_2026,BIOL,311,BIOL 311,GENERAL MICROBIOLOGY,4,,02,10314,Summer_2026|BIOL 311|02|10314,FALSE,\N,"12,15,27,310",LAB,MW,1-5:10PM,available,MIC-102A,Berlemont R,Class instruction is: Face to Face - On Campus.
Summer_2026,BIOL,340,BIOL 340,MOLECULAR CELL BIOLOGY,3,,01,10321,Summer_2026|BIOL 340|01|10321,FALSE,\N,"1,27,310",LEC,MTuWTh,9-10:55AM,available,HSCI-103,Palmier C,Class instruction is: Face to Face - On Campus.
Summer_2026,BIOL,340,BIOL 340,MOLECULAR CELL BIOLOGY,3,,01,\N,Summer_2026|BIOL 340|01|NOCLASS|24528d3136887024,FALSE,\N,,,NA,NA,,NA,Staff,additional meeting detail
Summer_2026,BIOL,342,BIOL 342,HUMAN/MAMMALIAN PHYSIOLOGY,3,,01,10890,Summer_2026|BIOL 342|01|10890,FALSE,\N,310,LEC,MTuWTh,10-11:55AM,available,HSCI-105,Gardner M,Class instruction is: Face to Face - On Campus.
Summer_2026,BIOL,342L,BIOL 342L,HUMAN/MAMMALIAN PHYSIOLOGY LAB,1,,01,10914,Summer_2026|BIOL 342L|01|10914,FALSE,\N,310,LAB,TuWTh,12:30-3:00PM,available,MLSC-112,Gardner M,Class instruction is: Face to Face - On Campus.
