term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Spring_2026,COUN,191,COUN 191,CAREER & PERSONAL EXPLORATIONS,3,GE: E,02,3546,Spring_2026|COUN 191|02|3546,FALSE,\N,307,LEC,W,11-12:15PM,available,LA1-210,Forrest L,Class instruction is: Hybrid(Face to Face & Async).
Spring_2026,COUN,191,COUN 191,CAREER & PERSONAL EXPLORATIONS,3,GE: E,02,\N,Spring_2026|COUN 191|02|NOCLASS|9de65c6caef74649,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Forrest L,additional meeting detail
Spring_2026,COUN,508B,COUN 508B,FAMILY SYS METHODS,3,,03,11223,Spring_2026|COUN 508B|03|11223,FALSE,\N,306,SEM,Tu,7-9:45PM,,ONLINE-ONLY,Mestyanek M,Class instruction is: Synch. Online - Meet Times.
Spring_2026,COUN,508B,COUN 508B,FAMILY SYS METHODS,3,,04,11230,Spring_2026|COUN 508B|04|11230,FALSE,\N,306,SEM,Tu,7-9:45PM,available,ONLINE-ONLY,Kezos N,Class instruction is: Synch. Online - Meet Times.
Spring_2026,COUN,511,COUN 511,COUNSEL ALCOHL CHEM DEPEND PER,2,,01,7014,Spring_2026|COUN 511|01|7014,FALSE,\N,310,SEM,SaSu,9-5:00PM,,LA2-204,Mestyanek M,Class meets from 03/21/26 - 03/22/26. Class instruction is: Face to Face - On Campus.
Spring_2026,COUN,511,COUN 511,COUNSEL ALCOHL CHEM DEPEND PER,2,,01,\N,Spring_2026|COUN 511|01|NOCLASS|fcc1be3e18e592ec,FALSE,\N,,,SaSu,9-5:00PM,,LA2-204,Mestyanek M,Class meets from 04/11/26 - 04/12/26.
Spring_2026,COUN,511,COUN 511,COUNSEL ALCOHL CHEM DEPEND PER,2,,02,8382,Spring_2026|COUN 511|02|8382,FALSE,\N,310,SEM,SaSu,9-5:00PM,,LA2-203,Baghasarian M,Class meets from 03/21/26 - 03/22/26. Class instruction is: Face to Face - On Campus.
Spring_2026,COUN,511,COUN 511,COUNSEL ALCOHL CHEM DEPEND PER,2,,02,\N,Spring_2026|COUN 511|02|NOCLASS|4be7dd6e12a66728,FALSE,\N,,,SaSu,9-5:00PM,,LA2-203,Staff,Class meets from 04/11/26 - 04/12/26.
Spring_2026,COUN,515,COUN 515,COUNSELING THEORIES,3,,01,6498,Spring_2026|COUN 515|01|6498,FALSE,\N,310,SEM,Tu,4-6:45PM,available,EED-041,Olsen J,Class instruction is: Face to Face - On Campus.
Spring_2026,COUN,522,COUN 522,COUNSEL METHOD & TECHNIQUES,3,,01,2407,Spring_2026|COUN 522|01|2407,FALSE,\N,310,SEM,M,4-6:45PM,,EED-041,Ramillano K,Class instruction is: Face to Face - On Campus.
Spring_2026,COUN,522,COUN 522,COUNSEL METHOD & TECHNIQUES,3,,02,8383,Spring_2026|COUN 522|02|8383,FALSE,\N,310,SEM,M,4-6:45PM,,HC-130,Amaya S,Class instruction is: Face to Face - On Campus.
Spring_2026,COUN,543,COUN 543,HUMAN SEXUALITY COUNSELING,3,,01,2289,Spring_2026|COUN 543|01|2289,FALSE,\N,310,SEM,Th,4-6:45PM,,AS-243,Mestyanek M,Class instruction is: Face to Face - On Campus.
Spring_2026,COUN,543,COUN 543,HUMAN SEXUALITY COUNSELING,3,,02,10280,Spring_2026|COUN 543|02|10280,FALSE,\N,310,SEM,Th,4-6:45PM,available,LA2-203,Amaya S,Class instruction is: Face to Face - On Campus.
Spring_2026,COUN,555,COUN 555,CROSS-CULTURAL COUNSELING,3,,01,5999,Spring_2026|COUN 555|01|5999,FALSE,\N,310,SEM,Th,7-9:45PM,available,LA1-206,So S,Class instruction is: Face to Face - On Campus.
Spring_2026,COUN,556,COUN 556,COUNSEL CHILDREN ADOLESCENTS,3,,01,2290,Spring_2026|COUN 556|01|2290,FALSE,\N,310,SEM,Th,4-6:45PM,,LA1-206,So S,Class instruction is: Face to Face - On Campus.
Spring_2026,COUN,556,COUN 556,COUNSEL CHILDREN ADOLESCENTS,3,,02,8385,Spring_2026|COUN 556|02|8385,FALSE,\N,310,SEM,Th,4-6:45PM,,AS-240,Forrest L,Class instruction is: Face to Face - On Campus.
Spring_2026,COUN,557,COUN 557,COUNSELING COUPLES,3,,01,6512,Spring_2026|COUN 557|01|6512,FALSE,\N,311,SEM,M,7-9:45PM,available,LA1-302,Kezos N,Class instruction is: Hybrid (Face to Face & Synch).
Spring_2026,COUN,557,COUN 557,COUNSELING COUPLES,3,,01,\N,Spring_2026|COUN 557|01|NOCLASS|502cb421e2588150,FALSE,\N,,,M,7-9:45PM,,ONLINE-ONLY,Kezos N,additional meeting detail
Spring_2026,COUN,557,COUN 557,COUNSELING COUPLES,3,,02,8386,Spring_2026|COUN 557|02|8386,FALSE,\N,311,SEM,M,7-9:45PM,,LA1-304,Baghasarian M,Class instruction is: Hybrid (Face to Face & Synch).
Spring_2026,COUN,557,COUN 557,COUNSELING COUPLES,3,,02,\N,Spring_2026|COUN 557|02|NOCLASS|119e6e1ad153f4b7,FALSE,\N,,,M,7-9:45PM,,ONLINE-ONLY,Baghasarian M,additional meeting detail
Spring_2026,COUN,559,COUN 559,PLAY-ART THERAPY,3,,01,5172,Spring_2026|COUN 559|01|5172,FALSE,\N,307,SEM,Sa,9-5:00PM,available,LA1-204,Shelby J,"Class meets on 01/24/26. Class instruction is: Hybrid(Face to Face & Async). Meeting dates: 1/24, 1/25, 2/7, 2/8, 2/28-3/1"
Spring_2026,COUN,559,COUN 559,PLAY-ART THERAPY,3,,01,\N,Spring_2026|COUN 559|01|NOCLASS|0789b7750aba4dfe,FALSE,\N,,,Su,9-5:00PM,,LA1-204,Staff,Class meets on 01/25/26.
Spring_2026,COUN,559,COUN 559,PLAY-ART THERAPY,3,,01,\N,Spring_2026|COUN 559|01|NOCLASS|095bdbb1f02088ec,FALSE,\N,,,Sa,9-5:00PM,,LA1-204,Staff,Class meets on 02/07/26.
Spring_2026,COUN,559,COUN 559,PLAY-ART THERAPY,3,,01,\N,Spring_2026|COUN 559|01|NOCLASS|b2d9c4874a2b4afa,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Staff,additional meeting detail
Spring_2026,COUN,605,COUN 605,MENTAL HEALTH/CRISIS RESPONSE,3,,01,7464,Spring_2026|COUN 605|01|7464,FALSE,\N,307,SEM,W,7-9:45PM,,LA1-206,Lopez-Perry C,Class instruction is: Hybrid(Face to Face & Async).
Spring_2026,COUN,605,COUN 605,MENTAL HEALTH/CRISIS RESPONSE,3,,01,\N,Spring_2026|COUN 605|01|NOCLASS|6e3e28096758cbec,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Staff,additional meeting detail
Spring_2026,COUN,607,COUN 607,SCHOOL COUNSELING PRACTICUM,3,,02,6488,Spring_2026|COUN 607|02|6488,FALSE,\N,306,SUP,M,4-6:45PM,,ONLINE-ONLY,Olsen J,Department Consent Required Class instruction is: Synch. Online - Meet Times.
Spring_2026,COUN,607,COUN 607,SCHOOL COUNSELING PRACTICUM,3,,04,11062,Spring_2026|COUN 607|04|11062,FALSE,\N,306,SUP,M,4-6:45PM,,ONLINE-ONLY,Olsen J,Department Consent Required Class instruction is: Synch. Online - Meet Times.
Spring_2026,COUN,607,COUN 607,SCHOOL COUNSELING PRACTICUM,3,,05,11127,Spring_2026|COUN 607|05|11127,FALSE,\N,306,SUP,M,7-9:45PM,available,ONLINE-ONLY,Olsen J,Department Consent Required Class instruction is: Synch. Online - Meet Times.
Spring_2026,COUN,609,COUN 609,COUN PSYCHOLOGY PRACTICUM,4,,01,2558,Spring_2026|COUN 609|01|2558,FALSE,\N,311,SUP,M,3-6:50PM,,ED2-174,Mestyanek M,Department Consent Required Class instruction is: Face to Face - On Campus.
Spring_2026,COUN,609,COUN 609,COUN PSYCHOLOGY PRACTICUM,4,,02,6597,Spring_2026|COUN 609|02|6597,FALSE,\N,311,SUP,W,4-7:50PM,available,ED2-174,Benning K,Department Consent Required Class instruction is: Face to Face - On Campus.
Spring_2026,COUN,609,COUN 609,COUN PSYCHOLOGY PRACTICUM,4,,03,10570,Spring_2026|COUN 609|03|10570,FALSE,\N,,SUP,Tu,3-6:50PM,available,ED2-174,Macias M,Department Consent Required Class instruction is: Face to Face - On Campus.
