term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Spring_2026,EDCI,530,EDCI 530,CROSS CULT ED US & GLOBAL PERS,3,,01,5601,Spring_2026|EDCI 530|01|5601,FALSE,\N,"306,27",SEM,Tu,5-7:45PM,available,ONLINE-ONLY,Bracho C,Class instruction is: Synch. Online - Meet Times.
Spring_2026,EDCI,530,EDCI 530,CROSS CULT ED US & GLOBAL PERS,3,,02,7830,Spring_2026|EDCI 530|02|7830,FALSE,\N,"306,27",SEM,Th,5-7:45PM,,ONLINE-ONLY,Griffin S,Class instruction is: Synch. Online - Meet Times.
Spring_2026,EDCI,531,EDCI 531,CRITICAL MEDIA LIT WITH YOUTH,3,,02,11190,Spring_2026|EDCI 531|02|11190,FALSE,\N,309,SEM,Th,5-7:45PM,available,ONLINE-ONLY,Golden N,Class instruction is: Online - Mixed Meet Times.
Spring_2026,EDCI,531,EDCI 531,CRITICAL MEDIA LIT WITH YOUTH,3,,02,\N,Spring_2026|EDCI 531|02|NOCLASS|212f835cf08f6207,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Golden N,additional meeting detail
Spring_2026,EDCI,531,EDCI 531,CRITICAL MEDIA LIT WITH YOUTH,3,,03,12243,Spring_2026|EDCI 531|03|12243,FALSE,\N,309,SEM,Tu,5-7:45PM,available,ONLINE-ONLY,Golden N,Class instruction is: Online - Mixed Meet Times.
Spring_2026,EDCI,531,EDCI 531,CRITICAL MEDIA LIT WITH YOUTH,3,,03,\N,Spring_2026|EDCI 531|03|NOCLASS|6b4485a6e99970a7,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Golden N,additional meeting detail
Spring_2026,EDCI,533,EDCI 533,ACTION RESRCH MTHDS/TCHRS INQR,3,,01,11018,Spring_2026|EDCI 533|01|11018,FALSE,\N,311,SEM,Tu,5-7:45PM,available,HC-106,Macias H,Class instruction is: Hybrid (Face to Face & Synch). Enrollment for this section is intended for Dual Language Development (DLD) Master students only.
Spring_2026,EDCI,533,EDCI 533,ACTION RESRCH MTHDS/TCHRS INQR,3,,01,\N,Spring_2026|EDCI 533|01|NOCLASS|0837229fc4d9304e,FALSE,\N,,,Tu,5-7:45PM,,ONLINE-ONLY,Macias H,additional meeting detail
Spring_2026,EDCI,697,EDCI 697,DIR RSRCH IN CURRICULUM & INST,1,,01,2428,Spring_2026|EDCI 697|01|2428,FALSE,\N,,SUP,TBA,NA,available,OFF-CAMP,Staff,Department Consent Required Class instruction is: Face to Face - Off Campus.
Spring_2026,EDCI,697,EDCI 697,DIR RSRCH IN CURRICULUM & INST,1,,02,2791,Spring_2026|EDCI 697|02|2791,FALSE,\N,,SUP,TBA,NA,available,OFF-CAMP,Staff,Department Consent Required Class instruction is: Face to Face - Off Campus.
Spring_2026,EDCI,697,EDCI 697,DIR RSRCH IN CURRICULUM & INST,1,,03,3798,Spring_2026|EDCI 697|03|3798,FALSE,\N,,SUP,TBA,NA,available,OFF-CAMP,Staff,Department Consent Required Class instruction is: Face to Face - Off Campus.
Spring_2026,EDCI,697,EDCI 697,DIR RSRCH IN CURRICULUM & INST,1,,04,4221,Spring_2026|EDCI 697|04|4221,FALSE,\N,,SUP,TBA,NA,available,OFF-CAMP,Staff,Department Consent Required Class instruction is: Face to Face - Off Campus.
Spring_2026,EDCI,698,EDCI 698,THESIS STUDY CURRICULUM & INST,3,,01,2559,Spring_2026|EDCI 698|01|2559,FALSE,\N,308,SUP,TBA,NA,available,OFF-CAMP,Bracho C,Department Consent Required Class instruction is: Face to Face - Off Campus.
Spring_2026,EDCI,698,EDCI 698,THESIS STUDY CURRICULUM & INST,3,,02,3205,Spring_2026|EDCI 698|02|3205,FALSE,\N,,SUP,TBA,NA,available,OFF-CAMP,Staff,Department Consent Required Class instruction is: Face to Face - Off Campus.
Spring_2026,EDCI,698,EDCI 698,THESIS STUDY CURRICULUM & INST,3,,03,4152,Spring_2026|EDCI 698|03|4152,FALSE,\N,,SUP,TBA,NA,available,OFF-CAMP,Staff,Department Consent Required Class instruction is: Face to Face - Off Campus.
