term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Spring_2026,EDEL,100,EDEL 100,INTRO TCH LRN DIVRS CTP CLASS,1,,03,10958,Spring_2026|EDEL 100|03|10958,FALSE,\N,"10,31,306",SEM,Th,4-4:50PM,available,ONLINE-ONLY,Griffin S,"Class instruction is: Synch. Online - Meet Times. In order to begin the hours for fieldwork in this course, you will need a valid Certificate of Clearance and proof of a negative TB test."
Spring_2026,EDEL,200,EDEL 200,INTRO TO THE TEACH PROFESSION,3,,01,2342,Spring_2026|EDEL 200|01|2342,FALSE,\N,"310,10,27",LEC,Th,4-6:45PM,,LA2-120,Jeynes W,"Class instruction is: Face to Face - On Campus. In order to begin the hours for fieldwork in this course, you will need a valid Certificate of Clearance and proof of a negative TB test."
Spring_2026,EDEL,200,EDEL 200,INTRO TO THE TEACH PROFESSION,3,,02,2723,Spring_2026|EDEL 200|02|2723,FALSE,\N,"10,310,27",LEC,M,4-6:45PM,,LA5-167,Jeynes W,"Class instruction is: Face to Face - On Campus. In order to begin the hours for fieldwork in this course, you will need a valid Certificate of Clearance and proof of a negative TB test."
Spring_2026,EDEL,200,EDEL 200,INTRO TO THE TEACH PROFESSION,3,,03,3686,Spring_2026|EDEL 200|03|3686,FALSE,\N,"310,10,27",LEC,Th,11-1:45PM,,AS-233,Kahl K,"Class instruction is: Face to Face - On Campus. In order to begin the hours for fieldwork in this course, you will need a valid Certificate of Clearance and proof of a negative TB test."
Spring_2026,EDEL,300,EDEL 300,CULT LING DIVERSITY IN SCHOOLS,3,,01,2138,Spring_2026|EDEL 300|01|2138,FALSE,\N,"310,10,27",SEM,Tu,4-6:45PM,,EED-040,Zamorano D,"Class instruction is: Face to Face - On Campus. In order to begin the hours for fieldwork in this course, you will need a valid Certificate of Clearance and proof of a negative TB test."
Spring_2026,EDEL,300,EDEL 300,CULT LING DIVERSITY IN SCHOOLS,3,,02,3813,Spring_2026|EDEL 300|02|3813,FALSE,\N,"310,10,27",SEM,Th,11-1:45PM,,EED-040,Zamorano D,"Class instruction is: Face to Face - On Campus. In order to begin the hours for fieldwork in this course, you will need a valid Certificate of Clearance and proof of a negative TB test."
Spring_2026,EDEL,300,EDEL 300,CULT LING DIVERSITY IN SCHOOLS,3,,03,4248,Spring_2026|EDEL 300|03|4248,FALSE,\N,"310,10,27",SEM,Th,2-4:45PM,available,EED-040,Pattnaik J,"Class instruction is: Face to Face - On Campus. In order to begin the hours for fieldwork in this course, you will need a valid Certificate of Clearance and proof of a negative TB test."
Spring_2026,EDEL,300,EDEL 300,CULT LING DIVERSITY IN SCHOOLS,3,,04,6537,Spring_2026|EDEL 300|04|6537,FALSE,\N,"306,10,27",SEM,Th,4-6:45PM,,ONLINE-ONLY,Pattnaik J,"Class instruction is: Synch. Online - Meet Times. In order to begin the hours for fieldwork in this course, you will need a valid Certificate of Clearance and proof of a negative TB test."
Spring_2026,EDEL,380,EDEL 380,TCHG/LRNG IN DEMOCRATIC SOC,3,,02,3397,Spring_2026|EDEL 380|02|3397,FALSE,\N,"10,27,208,310",LEC,Tu,7-9:45PM,available,LA5-357,Jeynes W,"Class instruction is: Face to Face - On Campus. In order to begin the hours for fieldwork in this course, you will need a valid Certificate of Clearance and proof of a negative TB test."
Spring_2026,EDEL,380,EDEL 380,TCHG/LRNG IN DEMOCRATIC SOC,3,,03,11006,Spring_2026|EDEL 380|03|11006,FALSE,\N,306,LEC,Th,7-9:45PM,,ONLINE-ONLY,Jeynes W,Class instruction is: Synch. Online - Meet Times.
Spring_2026,EDEL,413,EDEL 413,DEV APPROP TCHG PRACT,2,,01,8004,Spring_2026|EDEL 413|01|8004,FALSE,\N,"306,1,10,31",LEC,Th,4-5:50PM,available,ONLINE-ONLY,Isbell J,"Class instruction is: Synch. Online - Meet Times. In order to begin the hours for fieldwork in this course, you will need a valid Certificate of Clearance and proof of a negative TB test."
Spring_2026,EDEL,413,EDEL 413,DEV APPROP TCHG PRACT,2,,02,8005,Spring_2026|EDEL 413|02|8005,FALSE,\N,"306,1,10,31",LEC,W,7-8:50PM,available,ONLINE-ONLY,Isbell J,"Class instruction is: Synch. Online - Meet Times. In order to begin the hours for fieldwork in this course, you will need a valid Certificate of Clearance and proof of a negative TB test."
Spring_2026,EDEL,431,EDEL 431,CULTURAL/LING DIVERS IN SCHL,3,,01,5163,Spring_2026|EDEL 431|01|5163,FALSE,\N,"311,10,27",LEC,Tu,4-6:45PM,,ED2-158,Pattnaik J,"Class instruction is: Hybrid(Face to Face & Async). In order to begin the hours for fieldwork in this course, you will need a valid Certificate of Clearance and proof of a negative TB test."
Spring_2026,EDEL,431,EDEL 431,CULTURAL/LING DIVERS IN SCHL,3,,01,\N,Spring_2026|EDEL 431|01|NOCLASS|bcace48782a22b69,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Pattnaik J,additional meeting detail
Spring_2026,EDEL,431,EDEL 431,CULTURAL/LING DIVERS IN SCHL,3,,02,5167,Spring_2026|EDEL 431|02|5167,FALSE,\N,"311,10,27",LEC,Th,7-9:45PM,available,ED2-158,Pattnaik J,"Class instruction is: Hybrid (Face to Face & Synch). In order to begin the hours for fieldwork in this course, you will need a valid Certificate of Clearance and proof of a negative TB test."
Spring_2026,EDEL,431,EDEL 431,CULTURAL/LING DIVERS IN SCHL,3,,02,\N,Spring_2026|EDEL 431|02|NOCLASS|db7422f2f4ed6630,FALSE,\N,,,Th,7-9:45PM,,ONLINE-ONLY,Pattnaik J,additional meeting detail
Spring_2026,EDEL,442,EDEL 442,TEACH/LRNG LANG ART,3,,02,2662,Spring_2026|EDEL 442|02|2662,FALSE,\N,"1,10,27,93,310",LEC,Tu,7-9:45PM,,EED-040,McWhorter W,"Class instruction is: Face to Face - On Campus. In order to begin the hours for fieldwork in this course, you will need a valid Certificate of Clearance and proof of a negative TB test."
Spring_2026,EDEL,442,EDEL 442,TEACH/LRNG LANG ART,3,,03,3152,Spring_2026|EDEL 442|03|3152,FALSE,\N,"310,1,10,27,93",LEC,Tu,4-6:45PM,available,HC-102,Brown S,"Class instruction is: Hybrid (Face to Face & Synch). In order to begin the hours for fieldwork in this course, you will need a valid Certificate of Clearance and proof of a negative TB test."
Spring_2026,EDEL,442,EDEL 442,TEACH/LRNG LANG ART,3,,03,\N,Spring_2026|EDEL 442|03|NOCLASS|ca8e5e5c43944bd3,FALSE,\N,,,Tu,4-6:45PM,,ONLINE-ONLY,Brown S,additional meeting detail
Spring_2026,EDEL,442,EDEL 442,TEACH/LRNG LANG ART,3,,05,9385,Spring_2026|EDEL 442|05|9385,FALSE,\N,"1,10,27,93,309",LEC,W,4-6:45PM,,ONLINE-ONLY,McWhorter W,"Class instruction is: Online - Mixed Meet Times. In order to begin the hours for fieldwork in this course, you will need a valid Certificate of Clearance and proof of a negative TB test."
Spring_2026,EDEL,442,EDEL 442,TEACH/LRNG LANG ART,3,,05,\N,Spring_2026|EDEL 442|05|NOCLASS|ba29a91b1d0c964a,FALSE,\N,,,NA,NA,,ONLINE-ONLY,McWhorter W,additional meeting detail
