term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Spring_2026,EDLD,721B,EDLD 721B,ADV PROSEM IN EDUC LEADERSHIP,1,,01,2487,Spring_2026|EDLD 721B|01|2487,FALSE,\N,310,SEM,W,6-9:45PM,available,AS-244,Olson A,Class meets on 01/21/26. Department Consent Required Class instruction is: Face to Face - On Campus.
Spring_2026,EDLD,721B,EDLD 721B,ADV PROSEM IN EDUC LEADERSHIP,1,,01,\N,Spring_2026|EDLD 721B|01|NOCLASS|d05159f9aa2e6297,FALSE,\N,,,W,6-9:45PM,,AS-244,Olson A,Class meets on 02/04/26.
Spring_2026,EDLD,721B,EDLD 721B,ADV PROSEM IN EDUC LEADERSHIP,1,,02,2488,Spring_2026|EDLD 721B|02|2488,FALSE,\N,310,SEM,W,6-9:45PM,available,AS-244,Olson A,Class meets on 01/21/26. Department Consent Required Class instruction is: Face to Face - On Campus.
Spring_2026,EDLD,721B,EDLD 721B,ADV PROSEM IN EDUC LEADERSHIP,1,,02,\N,Spring_2026|EDLD 721B|02|NOCLASS|43e7da753e7a7841,FALSE,\N,,,W,6-9:45PM,,AS-244,Olson A,Class meets on 02/04/26.
Spring_2026,EDLD,726A,EDLD 726A,"POLCY, POLTICS, POWR IN P12 ED",3,,01,4913,Spring_2026|EDLD 726A|01|4913,FALSE,\N,311,SEM,Sa,9-4:30PM,available,AS-241,Glass S,Class meets on 01/24/26. Department Consent Required Class instruction is: Hybrid (Face to Face & Synch).
Spring_2026,EDLD,726A,EDLD 726A,"POLCY, POLTICS, POWR IN P12 ED",3,,01,\N,Spring_2026|EDLD 726A|01|NOCLASS|d61cc00de07bdae1,FALSE,\N,,,Sa,9-4:30PM,,AS-241,Glass S,Class meets on 02/07/26.
Spring_2026,EDLD,726A,EDLD 726A,"POLCY, POLTICS, POWR IN P12 ED",3,,01,\N,Spring_2026|EDLD 726A|01|NOCLASS|71bc9f89f04a391f,FALSE,\N,,,Sa,9-4:30PM,,ONLINE-ONLY,Glass S,Class meets on 02/21/26.
Spring_2026,EDLD,726A,EDLD 726A,"POLCY, POLTICS, POWR IN P12 ED",3,,01,\N,Spring_2026|EDLD 726A|01|NOCLASS|30685cb4641facbf,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Glass S,additional meeting detail
Spring_2026,EDLD,726B,EDLD 726B,"POLCY, POLITCS POWR IN CCHE ED",3,,01,4914,Spring_2026|EDLD 726B|01|4914,FALSE,\N,311,SEM,Sa,9-4:30PM,available,AS-242,Vega W,Class meets on 01/24/26. Department Consent Required Class instruction is: Hybrid (Face to Face & Synch).
Spring_2026,EDLD,726B,EDLD 726B,"POLCY, POLITCS POWR IN CCHE ED",3,,01,\N,Spring_2026|EDLD 726B|01|NOCLASS|22ef8c4bc0979069,FALSE,\N,,,Sa,9-4:30PM,,AS-242,Vega W,Class meets on 02/07/26.
Spring_2026,EDLD,726B,EDLD 726B,"POLCY, POLITCS POWR IN CCHE ED",3,,01,\N,Spring_2026|EDLD 726B|01|NOCLASS|1d9c95c534961961,FALSE,\N,,,Sa,9-4:30PM,,ONLINE-ONLY,Vega W,Class meets on 02/21/26.
Spring_2026,EDLD,726B,EDLD 726B,"POLCY, POLITCS POWR IN CCHE ED",3,,01,\N,Spring_2026|EDLD 726B|01|NOCLASS|7dbf62ebe7d90cce,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Vega W,additional meeting detail
Spring_2026,EDLD,731,EDLD 731,QUAL RSRCH METHD EDUC LEADERS,3,,01,2720,Spring_2026|EDLD 731|01|2720,FALSE,\N,311,SEM,Sa,9-4:00PM,available,AS-244,Haviland D,Class meets on 01/24/26. Department Consent Required Class instruction is: Hybrid (Face to Face & Synch). Student will have a lunch break for classes scheduled from 9am to 4pm.
Spring_2026,EDLD,731,EDLD 731,QUAL RSRCH METHD EDUC LEADERS,3,,01,\N,Spring_2026|EDLD 731|01|NOCLASS|188228108944fb89,FALSE,\N,,,Sa,9-4:00PM,,AS-244,Haviland D,Class meets on 02/07/26.
Spring_2026,EDLD,731,EDLD 731,QUAL RSRCH METHD EDUC LEADERS,3,,01,\N,Spring_2026|EDLD 731|01|NOCLASS|3187fba5b8fbe3fe,FALSE,\N,,,Sa,9-2:00PM,,ONLINE-ONLY,Haviland D,Class meets on 02/21/26.
Spring_2026,EDLD,731,EDLD 731,QUAL RSRCH METHD EDUC LEADERS,3,,01,\N,Spring_2026|EDLD 731|01|NOCLASS|6057cbf503690e67,FALSE,\N,,,Sa,9-2:00PM,,AS-244,Haviland D,Class meets on 04/25/26.
