term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Spring_2026,EDSE,435,EDSE 435,U S SECONDRY SCHLS INTERCL EDU,3,,01,1801,Spring_2026|EDSE 435|01|1801,FALSE,\N,"310,1,27,224,10",LEC,M,4-6:45PM,,AS-235,Macias H,Class instruction is: Face to Face - On Campus.
Spring_2026,EDSE,435,EDSE 435,U S SECONDRY SCHLS INTERCL EDU,3,,02,1800,Spring_2026|EDSE 435|02|1800,FALSE,\N,"310,1,27,224,10",LEC,M,7-9:45PM,,LA2-205,Zaid D,Class instruction is: Face to Face - On Campus.
Spring_2026,EDSE,435,EDSE 435,U S SECONDRY SCHLS INTERCL EDU,3,,03,2228,Spring_2026|EDSE 435|03|2228,FALSE,\N,"310,1,27,224,10",LEC,Tu,4-6:45PM,,LA1-314,Navarro O,Class instruction is: Face to Face - On Campus.
Spring_2026,EDSE,435,EDSE 435,U S SECONDRY SCHLS INTERCL EDU,3,,04,3074,Spring_2026|EDSE 435|04|3074,FALSE,\N,"310,1,27,224,10",LEC,Tu,7-9:45PM,,LA1-314,Crawford N,Class instruction is: Face to Face - On Campus.
Spring_2026,EDSE,435,EDSE 435,U S SECONDRY SCHLS INTERCL EDU,3,,05,3458,Spring_2026|EDSE 435|05|3458,FALSE,\N,"310,1,27,224,10",LEC,W,12-2:45PM,,ED2-158,Navarro O,Class instruction is: Face to Face - On Campus.
Spring_2026,EDSE,435,EDSE 435,U S SECONDRY SCHLS INTERCL EDU,3,,06,4171,Spring_2026|EDSE 435|06|4171,FALSE,\N,"310,1,27,224,10",LEC,W,7-9:45PM,,ED2-158,Orozco A,Class instruction is: Face to Face - On Campus.
Spring_2026,EDSE,435,EDSE 435,U S SECONDRY SCHLS INTERCL EDU,3,,07,4809,Spring_2026|EDSE 435|07|4809,FALSE,\N,"310,1,27,224,10",LEC,Th,7-9:45PM,,EED-040,Orozco A,Class instruction is: Face to Face - On Campus.
Spring_2026,EDSE,435,EDSE 435,U S SECONDRY SCHLS INTERCL EDU,3,,08,9641,Spring_2026|EDSE 435|08|9641,FALSE,\N,"310,1,27,224,10",LEC,Th,4-6:45PM,,LA1-314,Aguilar M,Class instruction is: Face to Face - On Campus.
Spring_2026,EDSE,436,EDSE 436,CURRIC INSTR ASSESS AFFRMG ENV,3,,01,1802,Spring_2026|EDSE 436|01|1802,FALSE,\N,"310,1,10,27,224",LEC,Tu,4-6:45PM,,HC-133,Rogers S,Class instruction is: Face to Face - On Campus.
Spring_2026,EDSE,436,EDSE 436,CURRIC INSTR ASSESS AFFRMG ENV,3,,02,3075,Spring_2026|EDSE 436|02|3075,FALSE,\N,"310,1,10,27,93,224",LEC,Tu,7-9:45PM,,HC-102,Nolasco W,Class instruction is: Face to Face - On Campus.
Spring_2026,EDSE,436,EDSE 436,CURRIC INSTR ASSESS AFFRMG ENV,3,,04,4153,Spring_2026|EDSE 436|04|4153,FALSE,\N,"310,1,10,27,224",LEC,W,4-6:45PM,,LA1-308,Tate D,Class instruction is: Face to Face - On Campus.
Spring_2026,EDSE,436,EDSE 436,CURRIC INSTR ASSESS AFFRMG ENV,3,,05,4154,Spring_2026|EDSE 436|05|4154,FALSE,\N,"310,1,10,27,224",LEC,M,7-9:45PM,,HC-102,Loeb G,Class instruction is: Face to Face - On Campus.
Spring_2026,EDSE,436,EDSE 436,CURRIC INSTR ASSESS AFFRMG ENV,3,,06,4548,Spring_2026|EDSE 436|06|4548,FALSE,\N,"310,1,10,27,224",LEC,Th,4-6:45PM,,HC-102,Hume D,Class instruction is: Face to Face - On Campus.
Spring_2026,EDSE,436,EDSE 436,CURRIC INSTR ASSESS AFFRMG ENV,3,,07,4799,Spring_2026|EDSE 436|07|4799,FALSE,\N,"310,1,10,27,224",LEC,Th,7-9:45PM,,HC-102,Hume D,Class instruction is: Face to Face - On Campus.
Spring_2026,EDSE,436,EDSE 436,CURRIC INSTR ASSESS AFFRMG ENV,3,,08,9229,Spring_2026|EDSE 436|08|9229,FALSE,\N,"310,1,10,27,224",LEC,W,7-9:45PM,,LA1-308,Tate D,Class instruction is: Face to Face - On Campus.
Spring_2026,EDSE,436,EDSE 436,CURRIC INSTR ASSESS AFFRMG ENV,3,,09,9644,Spring_2026|EDSE 436|09|9644,FALSE,\N,"310,1,10,27,224",LEC,M,12-2:45PM,,EED-040,Golden N,Class instruction is: Face to Face - On Campus.
