term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Spring_2026,EDSP,303,EDSP 303,COLLAB PARTNERSHIPS & STRAT,1,,01,3434,Spring_2026|EDSP 303|01|3434,FALSE,\N,306,LEC,M,7-7:50PM,,ONLINE-ONLY,Farrier E,Class instruction is: Synch. Online - Meet Times.
Spring_2026,EDSP,303,EDSP 303,COLLAB PARTNERSHIPS & STRAT,1,,03,9205,Spring_2026|EDSP 303|03|9205,FALSE,\N,306,LEC,Tu,7-7:50PM,available,ONLINE-ONLY,Farrier E,Class instruction is: Synch. Online - Meet Times.
Spring_2026,EDSP,355A,EDSP 355A,COLLABORATIVE PARTNERSHIPS,3,,01,2857,Spring_2026|EDSP 355A|01|2857,FALSE,\N,306,LEC,Tu,7-9:45PM,,ONLINE-ONLY,Salvoni L,Class instruction is: Synch. Online - Meet Times.
Spring_2026,EDSP,355A,EDSP 355A,COLLABORATIVE PARTNERSHIPS,3,,02,2858,Spring_2026|EDSP 355A|02|2858,FALSE,\N,306,LEC,M,7-9:45PM,,ONLINE-ONLY,Martin K,Class instruction is: Synch. Online - Meet Times.
Spring_2026,EDSP,355A,EDSP 355A,COLLABORATIVE PARTNERSHIPS,3,,03,3875,Spring_2026|EDSP 355A|03|3875,FALSE,\N,306,LEC,W,7-9:45PM,available,ONLINE-ONLY,Martin K,Class instruction is: Synch. Online - Meet Times.
Spring_2026,EDSP,355A,EDSP 355A,COLLABORATIVE PARTNERSHIPS,3,,04,7160,Spring_2026|EDSP 355A|04|7160,FALSE,\N,306,LEC,Th,12:30-3:15PM,,ONLINE-ONLY,Nguyen V,Class instruction is: Synch. Online - Meet Times.
Spring_2026,EDSP,355B,EDSP 355B,COLLABORATIVE PARTNERSHIPS SEC,3,,01,3012,Spring_2026|EDSP 355B|01|3012,FALSE,\N,306,LEC,W,4-6:45PM,,ONLINE-ONLY,Achola E,Class instruction is: Synch. Online - Meet Times.
Spring_2026,EDSP,355B,EDSP 355B,COLLABORATIVE PARTNERSHIPS SEC,3,,02,3435,Spring_2026|EDSP 355B|02|3435,FALSE,\N,306,LEC,Th,4-6:45PM,,ONLINE-ONLY,Achola E,Class instruction is: Synch. Online - Meet Times.
Spring_2026,EDSP,355B,EDSP 355B,COLLABORATIVE PARTNERSHIPS SEC,3,,03,3786,Spring_2026|EDSP 355B|03|3786,FALSE,\N,306,LEC,M,4-6:45PM,,ONLINE-ONLY,Smith J,Class instruction is: Synch. Online - Meet Times.
Spring_2026,EDSP,355B,EDSP 355B,COLLABORATIVE PARTNERSHIPS SEC,3,,04,3787,Spring_2026|EDSP 355B|04|3787,FALSE,\N,306,LEC,Th,7-9:45PM,,ONLINE-ONLY,Denmion J,Class instruction is: Synch. Online - Meet Times.
Spring_2026,EDSP,355B,EDSP 355B,COLLABORATIVE PARTNERSHIPS SEC,3,,05,3899,Spring_2026|EDSP 355B|05|3899,FALSE,\N,307,LEC,Tu,4-6:45PM,available,LA1-210,Smith J,Class instruction is: Hybrid(Face to Face & Async).
Spring_2026,EDSP,355B,EDSP 355B,COLLABORATIVE PARTNERSHIPS SEC,3,,05,\N,Spring_2026|EDSP 355B|05|NOCLASS|1f69ce89a7abf8db,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Staff,additional meeting detail
Spring_2026,EDSP,355B,EDSP 355B,COLLABORATIVE PARTNERSHIPS SEC,3,,06,4885,Spring_2026|EDSP 355B|06|4885,FALSE,\N,307,LEC,Tu,7-9:45PM,available,HC-132,Cassidy D,Class instruction is: Hybrid(Face to Face & Async).
