term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Spring_2026,EDSS,300A,EDSS 300A,INTRO TO TEACHING - ART,3,,02,9421,Spring_2026|EDSS 300A|02|9421,FALSE,\N,"1,10,22,27,308,310",LEC,Tu,4-6:45PM,,FA2-200,Takeno M,Class instruction is: Face to Face - On Campus.
Spring_2026,EDSS,300C,EDSS 300C,INTRO TO TEACHING - SCIENCE,3,,01,4711,Spring_2026|EDSS 300C|01|4711,FALSE,\N,"1,10,22,27,308,310",LEC,W,4-6:45PM,,HSCI-277,Straits K,Class instruction is: Face to Face - On Campus.
Spring_2026,EDSS,300F,EDSS 300F,INTRO TO TEACHING - WORLD LANG,3,,02,12764,Spring_2026|EDSS 300F|02|12764,FALSE,\N,310,LEC,Tu,5-7:45PM,available,LA5-359,Thai C,Class instruction is: Face to Face - On Campus.
Spring_2026,EDSS,300G,EDSS 300G,INTRO TO TEACHING - ENGLISH,3,,01,3155,Spring_2026|EDSS 300G|01|3155,FALSE,\N,"1,10,22,27,308,310",LEC,M,5-7:45PM,,LA1-307,Taylor H,Class instruction is: Face to Face - On Campus.
Spring_2026,EDSS,300G,EDSS 300G,INTRO TO TEACHING - ENGLISH,3,,02,10607,Spring_2026|EDSS 300G|02|10607,FALSE,\N,"1,10,22,27,308,310",LEC,Tu,5-7:45PM,,LA5-359,Thai C,Class instruction is: Face to Face - On Campus.
Spring_2026,EDSS,300M,EDSS 300M,INTRO TO TEACHING - MATH,3,,01,3431,Spring_2026|EDSS 300M|01|3431,FALSE,\N,"1,10,22,27,308,310",LEC,Th,4-6:45PM,,LA5-267,Ernandes V,Class instruction is: Face to Face - On Campus.
Spring_2026,EDSS,300M,EDSS 300M,INTRO TO TEACHING - MATH,3,,02,5078,Spring_2026|EDSS 300M|02|5078,FALSE,\N,"1,10,22,27,308,310",LEC,Th,7-9:45PM,,LA5-359,Ernandes V,Class instruction is: Face to Face - On Campus.
Spring_2026,EDSS,300P,EDSS 300P,INTRO TO TEACHING - PHYS ED,3,,01,4018,Spring_2026|EDSS 300P|01|4018,FALSE,\N,"1,10,22,27,308,310",LEC,TuTh,10-10:25AM,available,KIN-051B,Ertel M,Class instruction is: Face to Face - On Campus.
Spring_2026,EDSS,300P,EDSS 300P,INTRO TO TEACHING - PHYS ED,3,,02,4019,Spring_2026|EDSS 300P|02|4019,FALSE,\N,"1,10,22,27,308,310",ACT,TuTh,10:30-12:15PM,available,KIN-051B,Ertel M,Class instruction is: Face to Face - On Campus.
Spring_2026,EDSS,300S,EDSS 300S,INTRO TO TEACHING - SOC SCI,3,,01,3407,Spring_2026|EDSS 300S|01|3407,FALSE,\N,"1,10,22,27,308,310",LEC,W,4-6:45PM,,HC-130,Striegl A,Class instruction is: Face to Face - On Campus.
Spring_2026,EDSS,300S,EDSS 300S,INTRO TO TEACHING - SOC SCI,3,,02,1813,Spring_2026|EDSS 300S|02|1813,FALSE,\N,"1,10,22,27,308,310",LEC,W,7-9:45PM,,HC-130,Striegl A,Class instruction is: Face to Face - On Campus.
Spring_2026,EDSS,450A,EDSS 450A,CURRCLM & METHODS IN TEACH ART,3,,01,3076,Spring_2026|EDSS 450A|01|3076,FALSE,\N,"1,10,22,27,89,224,308,310",LEC,M,5-7:45PM,,FA2-202,Campa U,Class instruction is: Face to Face - On Campus.
Spring_2026,EDSS,450B,EDSS 450B,CURRIC & METHODS TCHNG DANCE,3,,01,7706,Spring_2026|EDSS 450B|01|7706,FALSE,\N,"1,10,22,27,89,224,308,310",LEC,Tu,4-6:45PM,,DC-S103,Atkinson Z,Class instruction is: Face to Face - On Campus.
Spring_2026,EDSS,450C,EDSS 450C,CURRIC/METHOD TCHING SCIENCE,4,,02,6949,Spring_2026|EDSS 450C|02|6949,FALSE,\N,"1,10,22,27,89,224,308,310",LEC,M,5-8:50PM,,HSCI-277,Lee S,Class instruction is: Face to Face - On Campus. Location: SATO Academy
Spring_2026,EDSS,450D,EDSS 450D,CURRCLM METHD TEACH HEALTH SCI,3,,01,5086,Spring_2026|EDSS 450D|01|5086,TRUE,\N,"1,10,22,27,89,224,308,310",LEC,Tu,7-9:45PM,,AS-240,Harrell R,Class instruction is: Face to Face - On Campus.
Spring_2026,EDSS,450F,EDSS 450F,CURRIC/METHOD TCHNG WORLD LANG,3,,01,1787,Spring_2026|EDSS 450F|01|1787,TRUE,\N,"1,10,22,27,89,224,308,310",LEC,Tu,7-9:45PM,,AS-240,Harrell R,Class instruction is: Face to Face - On Campus.
Spring_2026,EDSS,450G,EDSS 450G,CURRCLM METHODS TEACH ENGLISH,3,,01,2296,Spring_2026|EDSS 450G|01|2296,FALSE,\N,"1,10,22,27,89,224,308,310",LEC,M,4-6:45PM,,HC-131,Martin T,Class instruction is: Face to Face - On Campus.
Spring_2026,EDSS,450G,EDSS 450G,CURRCLM METHODS TEACH ENGLISH,3,,03,10606,Spring_2026|EDSS 450G|03|10606,FALSE,\N,"1,10,22,27,89,224,308,310",LEC,Th,4-6:45PM,available,HC-133,Taylor H,Class instruction is: Face to Face - On Campus.
Spring_2026,EDSS,450M,EDSS 450M,CURRCLM METHODS TCHNG MATH,3,,01,2297,Spring_2026|EDSS 450M|01|2297,FALSE,\N,"1,10,22,27,89,224,308,310",LEC,Tu,4-6:45PM,,LA5-265,Alfi S,Class instruction is: Face to Face - On Campus.
Spring_2026,EDSS,450M,EDSS 450M,CURRCLM METHODS TCHNG MATH,3,,02,6427,Spring_2026|EDSS 450M|02|6427,FALSE,\N,"1,10,22,27,89,224,308,310",LEC,Tu,7-9:45PM,,LA5-265,Alfi S,Class instruction is: Face to Face - On Campus.
Spring_2026,EDSS,450N,EDSS 450N,CURRIC/METHODS TCHNG MUSIC,3,,02,11269,Spring_2026|EDSS 450N|02|11269,FALSE,\N,"1,10,22,27,89,224,310",LEC,Tu,5-7:45PM,,UMC-C100,Gibson M,Class instruction is: Face to Face - On Campus.
Spring_2026,EDSS,450P,EDSS 450P,CURRIC/METHODS TCHNG PHYS ED,3,,01,6505,Spring_2026|EDSS 450P|01|6505,FALSE,\N,"1,10,22,27,89,224,308,310",LEC,W,4-6:45PM,available,KIN-051B,Williams E,Class instruction is: Face to Face - On Campus.
Spring_2026,EDSS,450P,EDSS 450P,CURRIC/METHODS TCHNG PHYS ED,3,,02,12757,Spring_2026|EDSS 450P|02|12757,FALSE,\N,"1,10,22,27,89,224,308,310",LEC,W,4-6:45PM,available,KIN-021,Penn P,Class instruction is: Face to Face - On Campus.
Spring_2026,EDSS,450S,EDSS 450S,CURRCLM MTHDS TCHNG SOCIAL SCI,3,,01,1788,Spring_2026|EDSS 450S|01|1788,FALSE,\N,"1,10,22,27,89,224,308,310",LEC,M,5-7:45PM,,LA3-203,Aguilera J,Class instruction is: Face to Face - On Campus.
Spring_2026,EDSS,450S,EDSS 450S,CURRCLM MTHDS TCHNG SOCIAL SCI,3,,02,4158,Spring_2026|EDSS 450S|02|4158,FALSE,\N,"1,10,22,27,89,224,308,310",LEC,Tu,5-7:45PM,,LA3-203,Huntsinger B,Class instruction is: Face to Face - On Campus.
Spring_2026,EDSS,472A,EDSS 472A,STUDENT TEACHING,7,,01,2410,Spring_2026|EDSS 472A|01|2410,FALSE,\N,,SUP,TBA,NA,,OFF-CAMP,Staff,Department Consent Required Class instruction is: Face to Face - Off Campus.
Spring_2026,EDSS,472A,EDSS 472A,STUDENT TEACHING,7,,80,7262,Spring_2026|EDSS 472A|80|7262,FALSE,\N,,SUP,TBA,NA,available,OFF-CAMP,Staff,Department Consent Required Class instruction is: Face to Face - Off Campus.
Spring_2026,EDSS,472B,EDSS 472B,STUDENT TEACHING,8,,01,1252,Spring_2026|EDSS 472B|01|1252,FALSE,\N,,SUP,TBA,NA,,OFF-CAMP,Staff,Department Consent Required Class instruction is: Face to Face - Off Campus.
Spring_2026,EDSS,473A,EDSS 473A,STDNT TCHNG SEM - ART,3,,01,11152,Spring_2026|EDSS 473A|01|11152,FALSE,\N,311,SEM,Tu,5-7:45PM,available,ED2-160B,Makas D,Class meets on 01/20/26. Department Consent Required Class instruction is: Hybrid (Face to Face & Synch).
Spring_2026,EDSS,473A,EDSS 473A,STDNT TCHNG SEM - ART,3,,01,\N,Spring_2026|EDSS 473A|01|NOCLASS|7b077193a549eaf4,FALSE,\N,,,Tu,5-7:45PM,,ED2-160B,Makas D,Class meets on 02/03/26.
Spring_2026,EDSS,473A,EDSS 473A,STDNT TCHNG SEM - ART,3,,01,\N,Spring_2026|EDSS 473A|01|NOCLASS|6ca76995ee6620f5,FALSE,\N,,,Tu,5-7:45PM,,ONLINE-ONLY,Makas D,additional meeting detail
Spring_2026,EDSS,473A,EDSS 473A,STDNT TCHNG SEM - ART,3,,02,7174,Spring_2026|EDSS 473A|02|7174,FALSE,\N,"311,1,22",SEM,Tu,5-7:45PM,available,FA2-202,Ellis D,Class meets on 01/20/26. Department Consent Required Class instruction is: Hybrid (Face to Face & Synch).
Spring_2026,EDSS,473A,EDSS 473A,STDNT TCHNG SEM - ART,3,,02,\N,Spring_2026|EDSS 473A|02|NOCLASS|dc58ff41e3d9d1ff,FALSE,\N,,,Tu,5-7:45PM,,FA2-202,Ellis D,Class meets on 02/03/26.
Spring_2026,EDSS,473A,EDSS 473A,STDNT TCHNG SEM - ART,3,,02,\N,Spring_2026|EDSS 473A|02|NOCLASS|215b9b66ac97746e,FALSE,\N,,,Tu,5-7:45PM,,ONLINE-ONLY,Ellis D,additional meeting detail
Spring_2026,EDSS,473B,EDSS 473B,STDNT TCHNG SEM - DANCE,3,,01,11134,Spring_2026|EDSS 473B|01|11134,FALSE,\N,"1,22,311",SEM,Tu,5-7:45PM,available,HC-131,Bisorca V,Class meets on 01/20/26. Department Consent Required Class instruction is: Hybrid (Face to Face & Synch).
Spring_2026,EDSS,473B,EDSS 473B,STDNT TCHNG SEM - DANCE,3,,01,\N,Spring_2026|EDSS 473B|01|NOCLASS|d266abf75cfbf553,FALSE,\N,,,Tu,5-7:45PM,,HC-131,Bisorca V,Class meets on 02/17/26.
Spring_2026,EDSS,473B,EDSS 473B,STDNT TCHNG SEM - DANCE,3,,01,\N,Spring_2026|EDSS 473B|01|NOCLASS|1c8683fa366a1321,FALSE,\N,,,Sa,5-7:45PM,,HC-131,Bisorca V,Class meets on 04/04/26.
Spring_2026,EDSS,473B,EDSS 473B,STDNT TCHNG SEM - DANCE,3,,01,\N,Spring_2026|EDSS 473B|01|NOCLASS|6426f4d9c9412af5,FALSE,\N,,,Tu,5-7:45PM,,ONLINE-ONLY,Bisorca V,additional meeting detail
Spring_2026,EDSS,473C,EDSS 473C,STDNT TCHNG SEM - SCIENCE,3,,02,6428,Spring_2026|EDSS 473C|02|6428,FALSE,\N,"307,1,22",SEM,M,5-7:45PM,available,OFF-CAMP,Araya T,Department Consent Required Class instruction is: Face to Face - Off Campus. The meeting location is SATO Academy.
Spring_2026,EDSS,473C,EDSS 473C,STDNT TCHNG SEM - SCIENCE,3,,02,\N,Spring_2026|EDSS 473C|02|NOCLASS|025fcb802847c2d8,FALSE,\N,,,M,5-7:45PM,,OFF-CAMP,Araya T,Class meets on 02/02/26.
Spring_2026,EDSS,473D,EDSS 473D,STDNT TCHNG SEM - HEALTH SCI,3,,01,11131,Spring_2026|EDSS 473D|01|11131,FALSE,\N,"311,1,22",SEM,Tu,5-7:45PM,available,HC-131,Bisorca V,Class meets on 01/20/26. Department Consent Required Class instruction is: Hybrid (Face to Face & Synch).
Spring_2026,EDSS,473D,EDSS 473D,STDNT TCHNG SEM - HEALTH SCI,3,,01,\N,Spring_2026|EDSS 473D|01|NOCLASS|696acff17b05a5f6,FALSE,\N,,,Tu,5-7:45PM,,HC-131,Bisorca V,Class meets on 02/17/26.
Spring_2026,EDSS,473D,EDSS 473D,STDNT TCHNG SEM - HEALTH SCI,3,,01,\N,Spring_2026|EDSS 473D|01|NOCLASS|d026152732758715,FALSE,\N,,,Sa,5-7:45PM,,HC-131,Bisorca V,Class meets on 04/04/26.
Spring_2026,EDSS,473D,EDSS 473D,STDNT TCHNG SEM - HEALTH SCI,3,,01,\N,Spring_2026|EDSS 473D|01|NOCLASS|ed41377505033b87,FALSE,\N,,,Tu,5-7:45PM,,ONLINE-ONLY,Bisorca V,additional meeting detail
