term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Spring_2026,ED,P 301,ED P 301,CHILD DEVELOPMENT & LEARNING,3,,01,1224,Spring_2026|ED P 301|01|1224,FALSE,\N,305,SEM,NA,NA,,ONLINE-ONLY,Taylor S,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,ED,P 301,ED P 301,CHILD DEVELOPMENT & LEARNING,3,,02,3432,Spring_2026|ED P 301|02|3432,FALSE,\N,305,SEM,NA,NA,,ONLINE-ONLY,Tortorici Luna J,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,ED,P 301,ED P 301,CHILD DEVELOPMENT & LEARNING,3,,04,4651,Spring_2026|ED P 301|04|4651,FALSE,\N,305,SEM,NA,NA,,ONLINE-ONLY,Tortorici Luna J,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,ED,P 301,ED P 301,CHILD DEVELOPMENT & LEARNING,3,,05,4652,Spring_2026|ED P 301|05|4652,FALSE,\N,310,SEM,TuTh,2-3:15PM,available,LA1-210,Taylor S,Class instruction is: Face to Face - On Campus.
Spring_2026,ED,P 301,ED P 301,CHILD DEVELOPMENT & LEARNING,3,,06,7043,Spring_2026|ED P 301|06|7043,FALSE,\N,306,SEM,MW,2-3:15PM,available,ONLINE-ONLY,Taylor S,Class instruction is: Synch. Online - Meet Times.
Spring_2026,ED,P 301,ED P 301,CHILD DEVELOPMENT & LEARNING,3,,08,10138,Spring_2026|ED P 301|08|10138,FALSE,\N,305,SEM,NA,NA,,ONLINE-ONLY,Forrest L,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,ED,P 302,ED P 302,ADOLES DEVELP: CROSS-CULT,3,,01,1225,Spring_2026|ED P 302|01|1225,FALSE,\N,305,SEM,NA,NA,,ONLINE-ONLY,Portnoi L,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,ED,P 302,ED P 302,ADOLES DEVELP: CROSS-CULT,3,,02,3755,Spring_2026|ED P 302|02|3755,FALSE,\N,305,SEM,NA,NA,available,ONLINE-ONLY,Tortorici Luna J,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,ED,P 302,ED P 302,ADOLES DEVELP: CROSS-CULT,3,,03,4906,Spring_2026|ED P 302|03|4906,FALSE,\N,305,SEM,NA,NA,,ONLINE-ONLY,Tortorici Luna J,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,ED,P 302,ED P 302,ADOLES DEVELP: CROSS-CULT,3,,04,4907,Spring_2026|ED P 302|04|4907,FALSE,\N,307,SEM,W,7-9:45PM,,LA3-204,Portnoi L,Class instruction is: Hybrid(Face to Face & Async).
Spring_2026,ED,P 302,ED P 302,ADOLES DEVELP: CROSS-CULT,3,,04,\N,Spring_2026|ED P 302|04|NOCLASS|ca34390a3a7210b0,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Portnoi L,additional meeting detail
Spring_2026,ED,P 302,ED P 302,ADOLES DEVELP: CROSS-CULT,3,,06,12447,Spring_2026|ED P 302|06|12447,FALSE,\N,305,SEM,NA,NA,,ONLINE-ONLY,Taylor S,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,ED,P 302,ED P 302,ADOLES DEVELP: CROSS-CULT,3,,11,12658,Spring_2026|ED P 302|11|12658,FALSE,\N,305,SEM,NA,NA,,ONLINE-ONLY,Portnoi L,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,ED,P 305,ED P 305,EDUCATIONAL PSYCHOLOGY,3,,01,1226,Spring_2026|ED P 305|01|1226,FALSE,\N,307,SEM,Th,4-6:45PM,,LA5-250,Stewart A,Class instruction is: Hybrid(Face to Face & Async).
