term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Spring_2026,LXSTCLASSES,,L/ST 100,INTRO TEACH EQUITY DIVERSE CXT,3,,01,5950,Spring_2026|L/ST 100|01|5950,FALSE,\N,310,LEC,MW,9:30-10:45AM,available,LA1-206,Alonso L,Class instruction is: Face to Face - On Campus.
Spring_2026,LXSTCLASSES,,L/ST 100,INTRO TEACH EQUITY DIVERSE CXT,3,,02,10770,Spring_2026|L/ST 100|02|10770,FALSE,\N,310,LEC,MW,5:30-6:45PM,available,LA1-302,Ordonez A,Class instruction is: Face to Face - On Campus.
Spring_2026,LXSTCLASSES,,L/ST 100,INTRO TEACH EQUITY DIVERSE CXT,3,,03,6697,Spring_2026|L/ST 100|03|6697,FALSE,\N,310,LEC,TuTh,12:30-1:45PM,,LA1-206,Porras D,Class instruction is: Face to Face - On Campus.
Spring_2026,LXSTCLASSES,,L/ST 111,CRIT THINKING AND PUBLIC EDUC,3,GE: 1B (A3),01,3993,Spring_2026|L/ST 111|01|3993,FALSE,\N,310,LEC,TuTh,9:30-10:45AM,,ED2-158,Porras D,Class instruction is: Face to Face - On Campus.
Spring_2026,LXSTCLASSES,,L/ST 111,CRIT THINKING AND PUBLIC EDUC,3,GE: 1B (A3),02,4508,Spring_2026|L/ST 111|02|4508,FALSE,\N,310,LEC,TuTh,2-3:15PM,,LA1-206,James J,Class instruction is: Face to Face - On Campus.
Spring_2026,LXSTCLASSES,,L/ST 111,CRIT THINKING AND PUBLIC EDUC,3,GE: 1B (A3),03,7095,Spring_2026|L/ST 111|03|7095,FALSE,\N,310,LEC,MW,9:30-10:45AM,,ED2-158,Porras D,Class instruction is: Face to Face - On Campus.
Spring_2026,LXSTCLASSES,,L/ST 250,EARLY WORLD HISTORICAL GEOG,4,,01,4902,Spring_2026|L/ST 250|01|4902,FALSE,\N,310,LEC,MW,9-10:50AM,,EED-041,Schillig H,Class instruction is: Face to Face - On Campus.
Spring_2026,LXSTCLASSES,,L/ST 250,EARLY WORLD HISTORICAL GEOG,4,,02,4903,Spring_2026|L/ST 250|02|4903,FALSE,\N,310,LEC,MW,11-12:50PM,available,EED-041,Schillig H,Class instruction is: Face to Face - On Campus.
Spring_2026,LXSTCLASSES,,L/ST 310,EDUCATIONAL EQUITY & JUSTICE,3,,01,5951,Spring_2026|L/ST 310|01|5951,FALSE,\N,310,LEC,Th,4-6:45PM,available,EED-041,Navarro O,Class instruction is: Face to Face - On Campus.
Spring_2026,LXSTCLASSES,,L/ST 400,LANGUAGE ARTS CAPSTONE,3,,01,1987,Spring_2026|L/ST 400|01|1987,FALSE,\N,310,SEM,Tu,7-9:45PM,,AS-241,James J,Class instruction is: Face to Face - On Campus.
