term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Spring_2026,SDHE,511,SDHE 511,EQUITY ACCESS US COLL STUDENT,3,,01,3859,Spring_2026|SDHE 511|01|3859,FALSE,\N,310,SEM,Th,4-6:45PM,available,AS-242,Mendoza R,Class meets on 01/22/26. Class instruction is: Hybrid (Face to Face & Synch).
Spring_2026,SDHE,511,SDHE 511,EQUITY ACCESS US COLL STUDENT,3,,01,\N,Spring_2026|SDHE 511|01|NOCLASS|c226d6d7510eb5cb,FALSE,\N,,,Th,4-6:45PM,,ONLINE-ONLY,Mendoza R,Class meets on 02/12/26.
Spring_2026,SDHE,511,SDHE 511,EQUITY ACCESS US COLL STUDENT,3,,01,\N,Spring_2026|SDHE 511|01|NOCLASS|24aafe9a0d22f2c6,FALSE,\N,,,Th,4-6:45PM,,AS-242,Mendoza R,Class meets on 02/19/26.
Spring_2026,SDHE,512,SDHE 512,LAW & ETHICS IN HIGHER ED,3,,01,7342,Spring_2026|SDHE 512|01|7342,FALSE,\N,311,SEM,Th,7-9:45PM,available,AS-242,O'Brien J,Class meets from 01/20/26 - 02/05/26. Class instruction is: Hybrid (Face to Face & Synch).
Spring_2026,SDHE,512,SDHE 512,LAW & ETHICS IN HIGHER ED,3,,01,\N,Spring_2026|SDHE 512|01|NOCLASS|69d30b9ce05e7826,FALSE,\N,,,Th,7-9:45PM,,AS-242,Staff,Class meets from 02/19/26 - 04/02/26.
Spring_2026,SDHE,512,SDHE 512,LAW & ETHICS IN HIGHER ED,3,,01,\N,Spring_2026|SDHE 512|01|NOCLASS|af0bec18094bdc26,FALSE,\N,,,Th,7-9:45PM,,ONLINE-ONLY,Staff,Class meets on 02/12/26.
Spring_2026,SDHE,512,SDHE 512,LAW & ETHICS IN HIGHER ED,3,,01,\N,Spring_2026|SDHE 512|01|NOCLASS|9fecb7e7e22fba61,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Staff,additional meeting detail
Spring_2026,SDHE,516,SDHE 516,COUNSLNG & ADLT DEV THRY PRAC,3,,01,3395,Spring_2026|SDHE 516|01|3395,FALSE,\N,307,SUP,M,4-6:45PM,available,AS-233,Olson A,Class meets from 01/26/26 - 02/09/26. Class instruction is: Hybrid(Face to Face & Async).
Spring_2026,SDHE,516,SDHE 516,COUNSLNG & ADLT DEV THRY PRAC,3,,01,\N,Spring_2026|SDHE 516|01|NOCLASS|94376b283753251f,FALSE,\N,,,M,4-6:45PM,,AS-233,Olson A,Class meets from 02/23/26 - 03/02/26.
Spring_2026,SDHE,516,SDHE 516,COUNSLNG & ADLT DEV THRY PRAC,3,,01,\N,Spring_2026|SDHE 516|01|NOCLASS|0f2c56b9532f1d6a,FALSE,\N,,,TBA,12-12:00AM,,ONLINE-ONLY,Olson A,additional meeting detail
Spring_2026,SDHE,516,SDHE 516,COUNSLNG & ADLT DEV THRY PRAC,3,,02,3396,Spring_2026|SDHE 516|02|3396,FALSE,\N,307,SUP,Tu,4-6:45PM,available,AS-233,Mendoza R,Class meets from 01/20/26 - 02/10/26. Class instruction is: Hybrid(Face to Face & Async).
Spring_2026,SDHE,516,SDHE 516,COUNSLNG & ADLT DEV THRY PRAC,3,,02,\N,Spring_2026|SDHE 516|02|NOCLASS|8f2ce03ad830ad9e,FALSE,\N,,,Tu,4-6:45PM,,AS-233,Mendoza R,Class meets from 02/24/26 - 03/03/26.
Spring_2026,SDHE,516,SDHE 516,COUNSLNG & ADLT DEV THRY PRAC,3,,02,\N,Spring_2026|SDHE 516|02|NOCLASS|7462cf627105d988,FALSE,\N,,,TBA,12-12:00AM,,ONLINE-ONLY,Mendoza R,additional meeting detail
Spring_2026,SDHE,521,SDHE 521,ADV COUN DVRS POPS HGHR ED,3,,01,7343,Spring_2026|SDHE 521|01|7343,FALSE,\N,310,SEM,W,7-9:45PM,available,AS-233,Portillo Y,Class instruction is: Face to Face - On Campus.
Spring_2026,SDHE,523,SDHE 523,CAREER COUNSELING IN HIGHER ED,3,,01,10696,Spring_2026|SDHE 523|01|10696,FALSE,\N,311,SEM,M,7-9:45PM,available,AS-235,Tamargo E,Class meets from 01/20/26 - 02/09/26. Class instruction is: Hybrid(Face to Face & Async).
