term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Spring_2026,UDCP,400,UDCP 400,FNDTNS TCHNG&LRNG INCLSV DVRS,2,,01,6989,Spring_2026|UDCP 400|01|6989,FALSE,\N,310,SEM,M,7-8:50PM,,AS-243,Stout K,Department Consent Required Class instruction is: Face to Face - On Campus.
Spring_2026,UDCP,401,UDCP 401,POSITIVE BEHAVIOR SUPPORTS,3,,01,6990,Spring_2026|UDCP 401|01|6990,FALSE,\N,310,LEC,Th,7-9:45PM,available,AS-240,Bryant M,Department Consent Required Class instruction is: Face to Face - On Campus.
Spring_2026,UDCP,401,UDCP 401,POSITIVE BEHAVIOR SUPPORTS,3,,02,7982,Spring_2026|UDCP 401|02|7982,FALSE,\N,"311,308",LEC,Th,11-1:45PM,available,OFF-CAMP,Bryant M,Department Consent Required Class instruction is: Hybrid (Face to Face & Synch).
Spring_2026,UDCP,401,UDCP 401,POSITIVE BEHAVIOR SUPPORTS,3,,02,\N,Spring_2026|UDCP 401|02|NOCLASS|30a7ff41f693bb4e,FALSE,\N,,,Th,11-1:45PM,,ONLINE-ONLY,Bryant M,additional meeting detail
Spring_2026,UDCP,407,UDCP 407,ARTISTIC AND PHYSICAL EDUCATIO,2,,01,7994,Spring_2026|UDCP 407|01|7994,FALSE,\N,306,LEC,Tu,1-2:50PM,available,ONLINE-ONLY,Manning K,Department Consent Required Class instruction is: Synch. Online - Meet Times.
Spring_2026,UDCP,411,UDCP 411,ADV LIT INSTRUCT & INTERVENT,4,,01,3994,Spring_2026|UDCP 411|01|3994,FALSE,\N,308,LEC,Tu,8:30-1:00PM,available,OFF-CAMP,Portales Blair L,Department Consent Required Class instruction is: Face to Face - Off Campus.
Spring_2026,UDCP,411,UDCP 411,ADV LIT INSTRUCT & INTERVENT,4,,02,4559,Spring_2026|UDCP 411|02|4559,FALSE,\N,308,LEC,Tu,8:30-1:00PM,available,OFF-CAMP,Hunt S,Department Consent Required Class instruction is: Face to Face - Off Campus.
Spring_2026,UDCP,414,UDCP 414,TRANSITION IN SPECIAL EDUCATIO,1,,01,4459,Spring_2026|UDCP 414|01|4459,FALSE,\N,305,LEC,NA,NA,available,ONLINE-ONLY,Valentine J,Department Consent Required Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,UDCP,420,UDCP 420,"K- 8 STUDENT TEACHING, GNRL ED",6,,01,11121,Spring_2026|UDCP 420|01|11121,FALSE,\N,308,SUP,TBA,NA,available,OFF-CAMP,Portales Blair L,Department Consent Required Class instruction is: Face to Face - Off Campus.
Spring_2026,UDCP,420,UDCP 420,"K- 8 STUDENT TEACHING, GNRL ED",6,,02,6041,Spring_2026|UDCP 420|02|6041,FALSE,\N,308,SUP,TBA,NA,available,OFF-CAMP,Manning K,Department Consent Required Class instruction is: Face to Face - Off Campus.
Spring_2026,UDCP,422,UDCP 422,K-8 STU TCHING MILD/MOD SUPPRT,6,,01,7165,Spring_2026|UDCP 422|01|7165,FALSE,\N,308,SUP,TBA,NA,available,OFF-CAMP,Staff,Department Consent Required Class instruction is: Face to Face - Off Campus.
Spring_2026,UDCP,422,UDCP 422,K-8 STU TCHING MILD/MOD SUPPRT,6,,02,11132,Spring_2026|UDCP 422|02|11132,FALSE,\N,308,SUP,TBA,NA,available,OFF-CAMP,Parkin A,Class instruction is: Face to Face - Off Campus.
Spring_2026,UDCP,422,UDCP 422,K-8 STU TCHING MILD/MOD SUPPRT,6,,03,12314,Spring_2026|UDCP 422|03|12314,FALSE,\N,308,SUP,TBA,NA,available,OFF-CAMP,Portales Blair L,Department Consent Required Class instruction is: Face to Face - Off Campus.
