term,subject_code,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Spring_2026,CAFF,123,CAFF 123,PERSONAL & FAM FINANCIAL MGMT,3,,01,10014,Spring_2026|CAFF 123|01|10014,FALSE,\N,,LEC,NA,NA,,ONLINE-ONLY,Engstrom Z,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,CAFF,223,CAFF 223,PERSONAL & FAMILY FINANCL MGMT,3,GE: E,01,3988,Spring_2026|CAFF 223|01|3988,FALSE,\N,307,LEC,Tu,9:30-10:45AM,,FCS-122,Ostlund A,Class instruction is: Hybrid(Face to Face & Async).
Spring_2026,CAFF,223,CAFF 223,PERSONAL & FAMILY FINANCL MGMT,3,GE: E,01,\N,Spring_2026|CAFF 223|01|NOCLASS|c8f97dd1ff62bb5a,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Staff,additional meeting detail
Spring_2026,CAFF,223,CAFF 223,PERSONAL & FAMILY FINANCL MGMT,3,GE: E,02,5971,Spring_2026|CAFF 223|02|5971,FALSE,\N,307,LEC,Tu,11-12:15PM,,FCS-122,Ostlund A,Class instruction is: Hybrid(Face to Face & Async).
Spring_2026,CAFF,223,CAFF 223,PERSONAL & FAMILY FINANCL MGMT,3,GE: E,02,\N,Spring_2026|CAFF 223|02|NOCLASS|1baefedc48c2a06c,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Staff,additional meeting detail
Spring_2026,CAFF,228,CAFF 228,HOUSING IN GLOBAL PERSPECTIVES,3,GE: 4C (D3),01,3471,Spring_2026|CAFF 228|01|3471,FALSE,\N,310,LEC,TuTh,8-9:15AM,available,FCS-106,Kreysa P,Class instruction is: Face to Face - On Campus.
Spring_2026,CAFF,228,CAFF 228,HOUSING IN GLOBAL PERSPECTIVES,3,GE: 4C (D3),02,4015,Spring_2026|CAFF 228|02|4015,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Fernandez M,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,CAFF,240,CAFF 240,REAL ESTATE PRINCIPLES,3,,01,8353,Spring_2026|CAFF 240|01|8353,FALSE,\N,,LEC,Tu,9:30-10:45AM,,VEC-110,Anthony K,Class instruction is: Hybrid(Face to Face & Async).
Spring_2026,CAFF,240,CAFF 240,REAL ESTATE PRINCIPLES,3,,01,\N,Spring_2026|CAFF 240|01|NOCLASS|5f5dd43d1af97da0,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Staff,additional meeting detail
Spring_2026,CAFF,241,CAFF 241,REAL ESTATE PRACTICE,3,,01,7593,Spring_2026|CAFF 241|01|7593,FALSE,\N,,LEC,Tu,11-12:15PM,,VEC-110,Anthony K,Class instruction is: Hybrid(Face to Face & Async).
Spring_2026,CAFF,241,CAFF 241,REAL ESTATE PRACTICE,3,,01,\N,Spring_2026|CAFF 241|01|NOCLASS|e12513b57c80a65f,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Anthony K,additional meeting detail
Spring_2026,CAFF,242,CAFF 242,MORTGAGE LOAN BROKERING/LENDNG,3,,01,7594,Spring_2026|CAFF 242|01|7594,FALSE,\N,,LEC,Tu,12:30-1:45PM,available,VEC-110,Anthony K,Class instruction is: Hybrid(Face to Face & Async).
Spring_2026,CAFF,242,CAFF 242,MORTGAGE LOAN BROKERING/LENDNG,3,,01,\N,Spring_2026|CAFF 242|01|NOCLASS|67386d7814669683,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Anthony K,additional meeting detail
Spring_2026,CAFF,305,CAFF 305,WHAT HAPPENS IN VEGAS,3,GE: 2UD/5UD (UDB),01,5264,Spring_2026|CAFF 305|01|5264,FALSE,\N,310,LEC,TuTh,9:30-10:45AM,,FCS-106,Kreysa P,Class instruction is: Face to Face - On Campus.Class offered with HM-305-01
Spring_2026,CAFF,305,CAFF 305,WHAT HAPPENS IN VEGAS,3,GE: 2UD/5UD (UDB),03,12389,Spring_2026|CAFF 305|03|12389,FALSE,\N,307,LEC,Th,9:30-11:45AM,,FCS-123,Koster B,Class instruction is: Hybrid(Face to Face & Async).Class offered with HM-305-03
Spring_2026,CAFF,305,CAFF 305,WHAT HAPPENS IN VEGAS,3,GE: 2UD/5UD (UDB),03,\N,Spring_2026|CAFF 305|03|NOCLASS|4655efac39f57ee0,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Koster B,additional meeting detail
Spring_2026,CAFF,305,CAFF 305,WHAT HAPPENS IN VEGAS,3,GE: 2UD/5UD (UDB),04,6710,Spring_2026|CAFF 305|04|6710,FALSE,\N,,LEC,M,12:30-1:45PM,,FCS-008,Joe S,Class instruction is: Hybrid(Face to Face & Async).Class offered with HM-305-04
Spring_2026,CAFF,305,CAFF 305,WHAT HAPPENS IN VEGAS,3,GE: 2UD/5UD (UDB),04,\N,Spring_2026|CAFF 305|04|NOCLASS|23f8217de9069a96,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Staff,additional meeting detail
Spring_2026,CAFF,305,CAFF 305,WHAT HAPPENS IN VEGAS,3,GE: 2UD/5UD (UDB),05,6711,Spring_2026|CAFF 305|05|6711,FALSE,\N,,LEC,W,12:30-1:45PM,,FCS-008,Joe S,Class instruction is: Hybrid(Face to Face & Async).Class offered with HM-305-05
Spring_2026,CAFF,305,CAFF 305,WHAT HAPPENS IN VEGAS,3,GE: 2UD/5UD (UDB),05,\N,Spring_2026|CAFF 305|05|NOCLASS|e2c37b670cc522a2,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Staff,additional meeting detail
Spring_2026,CAFF,305,CAFF 305,WHAT HAPPENS IN VEGAS,3,GE: 2UD/5UD (UDB),07,7204,Spring_2026|CAFF 305|07|7204,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Yeh R,Class instruction is: Asynch. Online-No Meet Times.Class offered with HM-305-07
Spring_2026,CAFF,305,CAFF 305,WHAT HAPPENS IN VEGAS,3,GE: 2UD/5UD (UDB),08,7913,Spring_2026|CAFF 305|08|7913,FALSE,\N,309,LEC,Tu,2-3:15PM,,ONLINE-ONLY,Joe S,Class instruction is: Online - Mixed Meet Times.Class offered with HM-305-08
Spring_2026,CAFF,305,CAFF 305,WHAT HAPPENS IN VEGAS,3,GE: 2UD/5UD (UDB),08,\N,Spring_2026|CAFF 305|08|NOCLASS|1865c4a1b3be9117,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Joe S,additional meeting detail
Spring_2026,CAFF,305,CAFF 305,WHAT HAPPENS IN VEGAS,3,GE: 2UD/5UD (UDB),09,12399,Spring_2026|CAFF 305|09|12399,FALSE,\N,307,LEC,M,1-3:15PM,,FCS-106,Koster B,Class instruction is: Hybrid(Face to Face & Async).Class offered with HM-305-09
Spring_2026,CAFF,305,CAFF 305,WHAT HAPPENS IN VEGAS,3,GE: 2UD/5UD (UDB),11,9930,Spring_2026|CAFF 305|11|9930,FALSE,\N,,LEC,M,6-7:15PM,,FCS-106,Amster J,Class instruction is: Hybrid(Face to Face & Async).Class offered with HM-305-11
Spring_2026,CAFF,305,CAFF 305,WHAT HAPPENS IN VEGAS,3,GE: 2UD/5UD (UDB),11,\N,Spring_2026|CAFF 305|11|NOCLASS|d44c3523865fded5,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Staff,additional meeting detail
Spring_2026,CAFF,305,CAFF 305,WHAT HAPPENS IN VEGAS,3,GE: 2UD/5UD (UDB),12,9931,Spring_2026|CAFF 305|12|9931,FALSE,\N,,LEC,NA,NA,,ONLINE-ONLY,Joe S,Class instruction is: Asynch. Online-No Meet Times.Class offered with HM-305-12
Spring_2026,CAFF,305,CAFF 305,WHAT HAPPENS IN VEGAS,3,GE: 2UD/5UD (UDB),13,10612,Spring_2026|CAFF 305|13|10612,FALSE,\N,,LEC,MW,2-3:15PM,,VEC-115,Kozak H,Class instruction is: Face to Face - On Campus.Class offered with HM-305-13
Spring_2026,CAFF,309,CAFF 309,CONSUMER LEGAL & ECON ENVIRON,3,GE: 4UD (UDD),01,4243,Spring_2026|CAFF 309|01|4243,FALSE,\N,310,LEC,TuTh,12:30-1:45PM,available,COB-110,Giannone T,Class instruction is: Face to Face - On Campus.Class offered with BLAW-309-01
Spring_2026,CAFF,321,CAFF 321,FAMILY & CONSUMER RESRCE MGMT,3,GE: 4UD (UDD),01,1350,Spring_2026|CAFF 321|01|1350,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,TrujilloCole L,"Class instruction is: Asynch. Online-No Meet Times.5 seats are reserved for Spring 2026 new transfer CAFF, CDFS, FLE, FSCI, NUTR, Fashion Design, and Fashion Merchandising students. Reserved seating will end on 12/20/2025"
Spring_2026,CAFF,321,CAFF 321,FAMILY & CONSUMER RESRCE MGMT,3,GE: 4UD (UDD),02,2340,Spring_2026|CAFF 321|02|2340,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,TrujilloCole L,"Class instruction is: Asynch. Online-No Meet Times.5 seats are reserved for Spring 2026 new transfer CAFF, CDFS, FLE, FSCI, NUTR, Fashion Design, and Fashion Merchandising students. Reserved seating will end on 12/20/2025"
Spring_2026,CAFF,321,CAFF 321,FAMILY & CONSUMER RESRCE MGMT,3,GE: 4UD (UDD),04,2577,Spring_2026|CAFF 321|04|2577,FALSE,\N,307,LEC,M,12:30-1:45PM,,EN2-107,Kepes N,"Class instruction is: Hybrid(Face to Face & Async).5 seats are reserved for Spring 2026 new transfer CAFF, CDFS, FLE, FSCI, NUTR, Fashion Design, and Fashion Merchandising students. Reserved seating will end on 12/20/2025"
Spring_2026,CAFF,321,CAFF 321,FAMILY & CONSUMER RESRCE MGMT,3,GE: 4UD (UDD),04,\N,Spring_2026|CAFF 321|04|NOCLASS|db0e298ce352a82a,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Staff,additional meeting detail
Spring_2026,CAFF,321,CAFF 321,FAMILY & CONSUMER RESRCE MGMT,3,GE: 4UD (UDD),05,2924,Spring_2026|CAFF 321|05|2924,FALSE,\N,307,LEC,Tu,8-9:15AM,,FCS-136,Apostol J,Class instruction is: Hybrid(Face to Face & Async).
Spring_2026,CAFF,321,CAFF 321,FAMILY & CONSUMER RESRCE MGMT,3,GE: 4UD (UDD),05,\N,Spring_2026|CAFF 321|05|NOCLASS|952dd7cfe206ef35,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Staff,additional meeting detail
Spring_2026,CAFF,321,CAFF 321,FAMILY & CONSUMER RESRCE MGMT,3,GE: 4UD (UDD),06,3058,Spring_2026|CAFF 321|06|3058,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Ostlund A,"Class instruction is: Asynch. Online-No Meet Times.5 seats are reserved for Spring 2026 new transfer CAFF, CDFS, FLE, FSCI, NUTR, Fashion Design, and Fashion Merchandising students. Reserved seating will end on 12/20/2025"
Spring_2026,CAFF,321,CAFF 321,FAMILY & CONSUMER RESRCE MGMT,3,GE: 4UD (UDD),07,3416,Spring_2026|CAFF 321|07|3416,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Ostlund A,"Class instruction is: Asynch. Online-No Meet Times.4 seats are reserved for Spring 2026 new transfer CAFF, CDFS, FLE, FSCI, NUTR, Fashion Design, and Fashion Merchandising students. Reserved seating will end on 12/20/2025"
Spring_2026,CAFF,321,CAFF 321,FAMILY & CONSUMER RESRCE MGMT,3,GE: 4UD (UDD),08,3472,Spring_2026|CAFF 321|08|3472,FALSE,\N,307,LEC,W,12:30-1:45PM,,VEC-112,Kepes N,"Class instruction is: Hybrid(Face to Face & Async).4 seats are reserved for Spring 2026 new transfer CAFF, CDFS, FLE, FSCI, NUTR, Fashion Design, and Fashion Merchandising students. Reserved seating will end on 12/20/2025"
Spring_2026,CAFF,321,CAFF 321,FAMILY & CONSUMER RESRCE MGMT,3,GE: 4UD (UDD),08,\N,Spring_2026|CAFF 321|08|NOCLASS|508ef0327d0914a1,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Staff,additional meeting detail
Spring_2026,CAFF,321,CAFF 321,FAMILY & CONSUMER RESRCE MGMT,3,GE: 4UD (UDD),09,3575,Spring_2026|CAFF 321|09|3575,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Robles D,"Class instruction is: Asynch. Online-No Meet Times.4 seats are reserved for Spring 2026 new transfer CAFF, CDFS, FLE, FSCI, NUTR, Fashion Design, and Fashion Merchandising students. Reserved seating will end on 12/20/2025"
