term,subject_code,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Spring_2026,CDFS,111,CDFS 111,CHILD GROWTH AND DEVELOPMENT,3,,01,2976,Spring_2026|CDFS 111|01|2976,FALSE,\N,"302,307",LEC,M,8-9:15AM,,FCS-122,Jung Y,Class instruction is: Hybrid(Face to Face & Async).25 seats reserved for CDFS & FLE pre-majors - reserved seating will end on 11/30/2025; 1 seat is reserved for Spring 2026 new transfer CDFS & FLE students - reserved seating will end on 12/20/2025
Spring_2026,CDFS,111,CDFS 111,CHILD GROWTH AND DEVELOPMENT,3,,01,\N,Spring_2026|CDFS 111|01|NOCLASS|a520e7398b9f8ff2,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Staff,additional meeting detail
Spring_2026,CDFS,111,CDFS 111,CHILD GROWTH AND DEVELOPMENT,3,,02,7011,Spring_2026|CDFS 111|02|7011,FALSE,\N,"305,302",LEC,NA,NA,,ONLINE-ONLY,Jung Y,Class instruction is: Asynch. Online-No Meet Times.25 seats reserved for CDFS & FLE pre-majors - reserved seating will end on 11/30/2025; 1 seat is reserved for Spring 2026 new transfer CDFS & FLE students - reserved seating will end on 12/20/2025
Spring_2026,CDFS,211,CDFS 211,TEACHING YOUNG CHILDREN,3,,01,1345,Spring_2026|CDFS 211|01|1345,FALSE,\N,"302,307",LEC,M,11-12:15PM,available,VEC-115,Ortega Y,Class instruction is: Hybrid(Face to Face & Async).3 seats are reserved for Spring 2026 transfer CDFS students. Reserved seating will end on 12/20/2025
Spring_2026,CDFS,211,CDFS 211,TEACHING YOUNG CHILDREN,3,,01,\N,Spring_2026|CDFS 211|01|NOCLASS|be049a61c15de0c7,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Staff,additional meeting detail
Spring_2026,CDFS,211,CDFS 211,TEACHING YOUNG CHILDREN,3,,02,3701,Spring_2026|CDFS 211|02|3701,FALSE,\N,"302,307",LEC,W,11-12:15PM,available,VEC-419,Pedigo S,Class instruction is: Hybrid(Face to Face & Async).3 seats are reserved for Spring 2026 transfer CDFS students. Reserved seating will end on 12/20/2025
Spring_2026,CDFS,211,CDFS 211,TEACHING YOUNG CHILDREN,3,,02,\N,Spring_2026|CDFS 211|02|NOCLASS|a66e516d50ba5205,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Staff,additional meeting detail
Spring_2026,CDFS,211,CDFS 211,TEACHING YOUNG CHILDREN,3,,03,6688,Spring_2026|CDFS 211|03|6688,FALSE,\N,"307,302",LEC,W,9:30-10:45AM,available,HHS1-104,Guffy G,Class instruction is: Hybrid(Face to Face & Async).3 seats are reserved for Spring 2026 transfer CDFS students. Reserved seating will end on 12/20/2025
Spring_2026,CDFS,211,CDFS 211,TEACHING YOUNG CHILDREN,3,,03,\N,Spring_2026|CDFS 211|03|NOCLASS|e00f16ed7988ae8d,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Staff,additional meeting detail
Spring_2026,CDFS,214,CDFS 214,INTRO CURRICULUM FOR PRESCHOOL,3,,01,1789,Spring_2026|CDFS 214|01|1789,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Maloney H,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,CDFS,214,CDFS 214,INTRO CURRICULUM FOR PRESCHOOL,3,,02,12655,Spring_2026|CDFS 214|02|12655,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Guffy G,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,CDFS,215,CDFS 215,INTRO CURRIC INFANTS/TODDLERS,3,,01,1792,Spring_2026|CDFS 215|01|1792,FALSE,\N,307,LEC,NA,NA,,ONLINE-ONLY,Pedigo S,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,CDFS,310,CDFS 310,DIVERSITY IN CHILD DEVELOPMENT,3,GE: 4UD (UDD),01,5285,Spring_2026|CDFS 310|01|5285,FALSE,\N,307,LEC,Th,9:30-10:45AM,,FCS-122,Ortega Y,Class instruction is: Hybrid(Face to Face & Async).6 seats are reserved for Spring 2026 graduating CDFS seniors. Reserved seating will end on 11/30/2025; 30 seats are reserved for CDFS & FLE majors only. Reserved seating will end on 11/30/2025
