term,subject_code,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Spring_2026,CRJU,101,CRJU 101,CRIM JUSTICE SYSTEM IN SOCIETY,3,GE: 4C (D3),01,6443,Spring_2026|CRJU 101|01|6443,FALSE,\N,5,LEC,MW,11-12:15PM,,FCS-126,Lopez A,Class instruction is: Face to Face - On Campus.
Spring_2026,CRJU,101,CRJU 101,CRIM JUSTICE SYSTEM IN SOCIETY,3,GE: 4C (D3),02,7411,Spring_2026|CRJU 101|02|7411,FALSE,\N,5,LEC,TuTh,12:30-1:45PM,,LA2-120,Nash B,Class instruction is: Face to Face - On Campus.
Spring_2026,CRJU,101,CRJU 101,CRIM JUSTICE SYSTEM IN SOCIETY,3,GE: 4C (D3),03,9941,Spring_2026|CRJU 101|03|9941,FALSE,\N,"5,305",LEC,NA,NA,,ONLINE-ONLY,McCluskey D,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,CRJU,230,CRJU 230,FORENSIC SCIENCES SURVEY,3,,01,7426,Spring_2026|CRJU 230|01|7426,FALSE,\N,,LEC,MW,8-9:15AM,available,HHS1-204,Wang Z,Class instruction is: Face to Face - On Campus.
Spring_2026,CRJU,230,CRJU 230,FORENSIC SCIENCES SURVEY,3,,02,8454,Spring_2026|CRJU 230|02|8454,FALSE,\N,,LEC,MW,9:30-10:45AM,,HHS1-204,Wang Z,Class instruction is: Face to Face - On Campus.
Spring_2026,CRJU,300,CRJU 300,"RESEARCH, WRITING, & REASONING",3,,01,7412,Spring_2026|CRJU 300|01|7412,FALSE,\N,,LEC,TuTh,8-9:15AM,,HSD-119,Cunningham K,Class instruction is: Face to Face - On Campus.
Spring_2026,CRJU,300,CRJU 300,"RESEARCH, WRITING, & REASONING",3,,02,7413,Spring_2026|CRJU 300|02|7413,FALSE,\N,,LEC,MW,11-12:15PM,,HSD-119,Peterson E,Class instruction is: Face to Face - On Campus.
Spring_2026,CRJU,300,CRJU 300,"RESEARCH, WRITING, & REASONING",3,,04,7415,Spring_2026|CRJU 300|04|7415,FALSE,\N,,LEC,TuTh,9:30-10:45AM,,HSD-119,Cunningham K,Class instruction is: Face to Face - On Campus.
Spring_2026,CRJU,300,CRJU 300,"RESEARCH, WRITING, & REASONING",3,,05,7416,Spring_2026|CRJU 300|05|7416,FALSE,\N,,LEC,MW,2-3:15PM,,HSD-119,Peterson E,Class instruction is: Face to Face - On Campus.
Spring_2026,CRJU,300,CRJU 300,"RESEARCH, WRITING, & REASONING",3,,06,7417,Spring_2026|CRJU 300|06|7417,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Peterson E,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,CRJU,300,CRJU 300,"RESEARCH, WRITING, & REASONING",3,,07,7418,Spring_2026|CRJU 300|07|7418,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Burrows V,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,CRJU,300,CRJU 300,"RESEARCH, WRITING, & REASONING",3,,08,7419,Spring_2026|CRJU 300|08|7419,FALSE,\N,,LEC,TuTh,3:30-4:45PM,,HSD-119,Beckner A,Class instruction is: Face to Face - On Campus.
Spring_2026,CRJU,300,CRJU 300,"RESEARCH, WRITING, & REASONING",3,,09,9030,Spring_2026|CRJU 300|09|9030,FALSE,\N,,LEC,TuTh,2-3:15PM,,ET-107,Peterson E,Class instruction is: Face to Face - On Campus.
Spring_2026,CRJU,301,CRJU 301,CRIMINAL COURTS,3,,01,2599,Spring_2026|CRJU 301|01|2599,FALSE,\N,,LEC,TuTh,8-9:15AM,available,HHS1-105,Choi A,Class instruction is: Face to Face - On Campus.
Spring_2026,CRJU,301,CRJU 301,CRIMINAL COURTS,3,,02,5121,Spring_2026|CRJU 301|02|5121,FALSE,\N,,LEC,TuTh,9:30-10:45AM,,HHS1-105,Choi A,Class instruction is: Face to Face - On Campus.
Spring_2026,CRJU,301,CRJU 301,CRIMINAL COURTS,3,,03,6029,Spring_2026|CRJU 301|03|6029,FALSE,\N,,LEC,Th,7-9:45PM,available,ET-107,Bogardus K,Class instruction is: Face to Face - On Campus.
