term,subject_code,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Spring_2026,FMD,152,FMD 152,QUICK SKETCH FOR FASHION,1,,02,8032,Spring_2026|FMD 152|02|8032,FALSE,\N,,LAB,W,10-12:45PM,available,FCS-015,Ling Y,Class instruction is: Face to Face - On Campus.8 seats are reserved for Spring 2026 transfer Fashion Design students. Reserved seating will end on 12/20/2025
Spring_2026,FMD,155,FMD 155,INTRODUCTON FASHION INDUSTRY,3,,03,9250,Spring_2026|FMD 155|03|9250,FALSE,\N,310,LEC,M,12:30-1:45PM,available,FCS-123,Han T,Class instruction is: Hybrid(Face to Face & Async).8 seats are reserved for Spring 2026 transfer Fashion Design & Fashion Merchandising students. Reserved seating will end on 12/20/2025
Spring_2026,FMD,155,FMD 155,INTRODUCTON FASHION INDUSTRY,3,,03,\N,Spring_2026|FMD 155|03|NOCLASS|3fd5396ae391fef7,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Han T,additional meeting detail
Spring_2026,FMD,251,FMD 251,FASHION STRATEGY FOR CONSUMERS,3,GE: E,01,2807,Spring_2026|FMD 251|01|2807,FALSE,\N,307,LEC,MW,12:30-1:45PM,available,FCS-122,Morell J,Class instruction is: Face to Face - On Campus.
Spring_2026,FMD,252,FMD 252,ANALYS EVAL COMP READY TO WEAR,3,,01,7361,Spring_2026|FMD 252|01|7361,FALSE,\N,310,LEC,TuTh,12:30-1:45PM,available,ET-109,Poteet C,Class instruction is: Face to Face - On Campus.
Spring_2026,FMD,253,FMD 253,INTRODUCTORY TEXTILES,3,,01,1793,Spring_2026|FMD 253|01|1793,FALSE,\N,"307,27",LEC,TuTh,11-12:15PM,available,ONLINE-ONLY,Botkin M,Class instruction is: Synch. Online - Meet Times.
Spring_2026,FMD,255,FMD 255,FASH IND ETHICS AND SOC RESP,3,,01,6948,Spring_2026|FMD 255|01|6948,FALSE,\N,307,LEC,Tu,2-3:15PM,available,FCS-106,Mun J,Class instruction is: Hybrid(Face to Face & Async).10 seats are reserved for Spring 2026 transfer Fashion Design & Fashion Merchandising students. Reserved seating will end on 12/20/2025
Spring_2026,FMD,255,FMD 255,FASH IND ETHICS AND SOC RESP,3,,01,\N,Spring_2026|FMD 255|01|NOCLASS|d4d3ff2f6abfd419,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Staff,additional meeting detail
Spring_2026,FMD,255,FMD 255,FASH IND ETHICS AND SOC RESP,3,,04,12258,Spring_2026|FMD 255|04|12258,FALSE,\N,307,LEC,Tu,11-12:15PM,,FCS-011,Bonnell L,Class instruction is: Hybrid(Face to Face & Async).
Spring_2026,FMD,255,FMD 255,FASH IND ETHICS AND SOC RESP,3,,04,\N,Spring_2026|FMD 255|04|NOCLASS|78e75bb8864212ce,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Bonnell L,additional meeting detail
Spring_2026,FMD,256,FMD 256,INTERMED APPAREL PRODUCTION,3,,07,9405,Spring_2026|FMD 256|07|9405,FALSE,\N,310,SEM,W,2-3:50PM,,FCS-015,Ling Y,Class instruction is: Face to Face - On Campus.
Spring_2026,FMD,256,FMD 256,INTERMED APPAREL PRODUCTION,3,,08,9406,Spring_2026|FMD 256|08|9406,FALSE,\N,310,LAB,W,4-6:45PM,,FCS-015,Ling Y,Class instruction is: Face to Face - On Campus.
Spring_2026,FMD,257,FMD 257,INTRO APPAREL FLAT PATTERN,3,,01,5730,Spring_2026|FMD 257|01|5730,FALSE,\N,"1,27,310",SEM,Th,2-3:50PM,available,FCS-015,Goodspeed J,Class instruction is: Face to Face - On Campus.
Spring_2026,FMD,257,FMD 257,INTRO APPAREL FLAT PATTERN,3,,02,5731,Spring_2026|FMD 257|02|5731,FALSE,\N,310,LAB,Th,4-6:45PM,available,FCS-015,Goodspeed J,Class instruction is: Face to Face - On Campus.
Spring_2026,FMD,258,FMD 258,FASHION MERCH & DESIGN PRACT,3,,01,1346,Spring_2026|FMD 258|01|1346,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Marshall S,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,FMD,258,FMD 258,FASHION MERCH & DESIGN PRACT,3,,02,2808,Spring_2026|FMD 258|02|2808,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Marshall S,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,FMD,296,FMD 296,COMPUTER APPLICATION FOR PROFS,3,,01,3201,Spring_2026|FMD 296|01|3201,FALSE,\N,305,LEC,NA,NA,available,ONLINE-ONLY,Poteet C,Class instruction is: Asynch. Online-No Meet Times.3 seats are reserved for Spring 2026 transfer Fashion Merchandising students. Reserved seating will end on 12/20/2025
Spring_2026,FMD,296,FMD 296,COMPUTER APPLICATION FOR PROFS,3,,02,3202,Spring_2026|FMD 296|02|3202,FALSE,\N,310,ACT,TuTh,10-11:45AM,available,ET-109,Poteet C,Class instruction is: Face to Face - On Campus.
Spring_2026,FMD,350,FMD 350,FASHION FORECASTING,3,,01,10996,Spring_2026|FMD 350|01|10996,FALSE,\N,307,LEC,M,3:30-4:45PM,,FCS-011,Han T,Class instruction is: Hybrid(Face to Face & Async).
Spring_2026,FMD,350,FMD 350,FASHION FORECASTING,3,,01,\N,Spring_2026|FMD 350|01|NOCLASS|b19ec9ba32342886,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Han T,additional meeting detail
Spring_2026,FMD,351,FMD 351,FASHION PROMOTION & SALES,3,,01,2609,Spring_2026|FMD 351|01|2609,FALSE,\N,307,LEC,M,8-9:15AM,available,FCS-120,Morell J,Class instruction is: Hybrid(Face to Face & Async).
Spring_2026,FMD,351,FMD 351,FASHION PROMOTION & SALES,3,,01,\N,Spring_2026|FMD 351|01|NOCLASS|ed934796f3f1f562,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Staff,additional meeting detail
