term,subject_code,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Spring_2026,FSCI,101,FSCI 101,FRANKEN FOOD: FACT OR SCI FI,3,GE: 1B (A3),01,7600,Spring_2026|FSCI 101|01|7600,FALSE,\N,,LEC,W,9-11:45AM,,EED-040,Rock C,Class instruction is: Face to Face - On Campus.
Spring_2026,FSCI,101,FSCI 101,FRANKEN FOOD: FACT OR SCI FI,3,GE: 1B (A3),02,9976,Spring_2026|FSCI 101|02|9976,FALSE,\N,,LEC,W,1-3:45PM,,EED-040,Rock C,Class instruction is: Face to Face - On Campus.
Spring_2026,FSCI,101,FSCI 101,FRANKEN FOOD: FACT OR SCI FI,3,GE: 1B (A3),03,7008,Spring_2026|FSCI 101|03|7008,FALSE,\N,,LEC,NA,NA,,ONLINE-ONLY,Rock C,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,FSCI,101,FSCI 101,FRANKEN FOOD: FACT OR SCI FI,3,GE: 1B (A3),04,7602,Spring_2026|FSCI 101|04|7602,FALSE,\N,,LEC,NA,NA,,ONLINE-ONLY,Rock C,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,FSCI,101,FSCI 101,FRANKEN FOOD: FACT OR SCI FI,3,GE: 1B (A3),06,10986,Spring_2026|FSCI 101|06|10986,FALSE,\N,307,LEC,Tu,12:30-1:45PM,,AS-244,Yada K,Class instruction is: Hybrid(Face to Face & Async).
Spring_2026,FSCI,101,FSCI 101,FRANKEN FOOD: FACT OR SCI FI,3,GE: 1B (A3),06,\N,Spring_2026|FSCI 101|06|NOCLASS|47927013ef30062c,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Yada K,additional meeting detail
Spring_2026,FSCI,101,FSCI 101,FRANKEN FOOD: FACT OR SCI FI,3,GE: 1B (A3),09,7605,Spring_2026|FSCI 101|09|7605,FALSE,\N,,LEC,NA,NA,,ONLINE-ONLY,Demir Harman N,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,FSCI,101,FSCI 101,FRANKEN FOOD: FACT OR SCI FI,3,GE: 1B (A3),12,8342,Spring_2026|FSCI 101|12|8342,FALSE,\N,,LEC,NA,NA,,ONLINE-ONLY,Atwood J,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,FSCI,101,FSCI 101,FRANKEN FOOD: FACT OR SCI FI,3,GE: 1B (A3),14,8929,Spring_2026|FSCI 101|14|8929,FALSE,\N,,LEC,W,12-1:15PM,,FCS-123,Atwood J,Class instruction is: Hybrid(Face to Face & Async).
Spring_2026,FSCI,101,FSCI 101,FRANKEN FOOD: FACT OR SCI FI,3,GE: 1B (A3),14,\N,Spring_2026|FSCI 101|14|NOCLASS|133ca250ae2afa7f,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Atwood J,additional meeting detail
