term,subject_code,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Spring_2026,GERN,200,GERN 200,THE JOURNEY OF AGING,3,GE: 4C (D3),01,4251,Spring_2026|GERN 200|01|4251,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Wilkinson A,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,GERN,400,GERN 400,PERSPECTIVES ON GERONTOLOGY,3,GE: 4UD (UDD); GWAR: WI,01,1375,Spring_2026|GERN 400|01|1375,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Hill M,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,GERN,400,GERN 400,PERSPECTIVES ON GERONTOLOGY,3,GE: 4UD (UDD); GWAR: WI,02,2806,Spring_2026|GERN 400|02|2806,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Hill M,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,GERN,400,GERN 400,PERSPECTIVES ON GERONTOLOGY,3,GE: 4UD (UDD); GWAR: WI,03,3015,Spring_2026|GERN 400|03|3015,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Goeller C,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,GERN,400,GERN 400,PERSPECTIVES ON GERONTOLOGY,3,GE: 4UD (UDD); GWAR: WI,04,7064,Spring_2026|GERN 400|04|7064,FALSE,\N,307,LEC,Th,11-12:15PM,available,FCS-122,Goeller C,Class instruction is: Hybrid(Face to Face & Async).
Spring_2026,GERN,400,GERN 400,PERSPECTIVES ON GERONTOLOGY,3,GE: 4UD (UDD); GWAR: WI,04,\N,Spring_2026|GERN 400|04|NOCLASS|371d9242419dd2ce,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Staff,additional meeting detail
Spring_2026,GERN,400,GERN 400,PERSPECTIVES ON GERONTOLOGY,3,GE: 4UD (UDD); GWAR: WI,05,3454,Spring_2026|GERN 400|05|3454,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Archer J,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,GERN,400,GERN 400,PERSPECTIVES ON GERONTOLOGY,3,GE: 4UD (UDD); GWAR: WI,06,5525,Spring_2026|GERN 400|06|5525,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Archer J,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,GERN,400,GERN 400,PERSPECTIVES ON GERONTOLOGY,3,GE: 4UD (UDD); GWAR: WI,08,4560,Spring_2026|GERN 400|08|4560,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Hill M,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,GERN,400,GERN 400,PERSPECTIVES ON GERONTOLOGY,3,GE: 4UD (UDD); GWAR: WI,09,4804,Spring_2026|GERN 400|09|4804,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Hill M,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,GERN,400,GERN 400,PERSPECTIVES ON GERONTOLOGY,3,GE: 4UD (UDD); GWAR: WI,10,4808,Spring_2026|GERN 400|10|4808,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Goeller C,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,GERN,400,GERN 400,PERSPECTIVES ON GERONTOLOGY,3,GE: 4UD (UDD); GWAR: WI,11,4851,Spring_2026|GERN 400|11|4851,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Watts M,Class instruction is: Asynch. Online-No Meet Times.Reserved seating for Nursing students.
Spring_2026,GERN,400,GERN 400,PERSPECTIVES ON GERONTOLOGY,3,GE: 4UD (UDD); GWAR: WI,12,5097,Spring_2026|GERN 400|12|5097,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Watts M,Class instruction is: Asynch. Online-No Meet Times.Reserved seating for Nursing students.
Spring_2026,GERN,400,GERN 400,PERSPECTIVES ON GERONTOLOGY,3,GE: 4UD (UDD); GWAR: WI,13,5180,Spring_2026|GERN 400|13|5180,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Watts M,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,GERN,400,GERN 400,PERSPECTIVES ON GERONTOLOGY,3,GE: 4UD (UDD); GWAR: WI,14,5181,Spring_2026|GERN 400|14|5181,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Watts M,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,GERN,400,GERN 400,PERSPECTIVES ON GERONTOLOGY,3,GE: 4UD (UDD); GWAR: WI,15,5213,Spring_2026|GERN 400|15|5213,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Watts M,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,GERN,400,GERN 400,PERSPECTIVES ON GERONTOLOGY,3,GE: 4UD (UDD); GWAR: WI,16,5486,Spring_2026|GERN 400|16|5486,FALSE,\N,307,LEC,Tu,3:30-4:45PM,available,FCS-123,Wilkinson A,Class instruction is: Hybrid(Face to Face & Async).
Spring_2026,GERN,400,GERN 400,PERSPECTIVES ON GERONTOLOGY,3,GE: 4UD (UDD); GWAR: WI,16,\N,Spring_2026|GERN 400|16|NOCLASS|01e3f74610dd6fee,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Staff,additional meeting detail
Spring_2026,GERN,400,GERN 400,PERSPECTIVES ON GERONTOLOGY,3,GE: 4UD (UDD); GWAR: WI,17,5487,Spring_2026|GERN 400|17|5487,FALSE,\N,307,LEC,M,11-12:15PM,,FCS-122,Goeller C,Class instruction is: Hybrid(Face to Face & Async).
