term,subject_code,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Spring_2026,HM,170,HM 170,INTRO TO HOSPITALITY MGT,3,,01,5242,Spring_2026|HM 170|01|5242,FALSE,\N,310,LEC,M,3:30-5:30PM,available,FCS-122,Man D,Class instruction is: Hybrid(Face to Face & Async).8 seats are reserved for Spring 2026 transfer HM students. Reserved seating will end on 12/20/2025
Spring_2026,HM,170,HM 170,INTRO TO HOSPITALITY MGT,3,,01,\N,Spring_2026|HM 170|01|NOCLASS|7bf99ef2859ae32b,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Staff,additional meeting detail
Spring_2026,HM,173,HM 173,APPLIED FOODSERVICE SANITATION,1,,02,9739,Spring_2026|HM 173|02|9739,FALSE,\N,"307,27",LEC,W,9-11:00AM,available,FCS-123,Koster B,Class meets from 01/21/26 - 03/18/26.Class instruction is: Hybrid(Face to Face & Async).
Spring_2026,HM,173,HM 173,APPLIED FOODSERVICE SANITATION,1,,02,\N,Spring_2026|HM 173|02|NOCLASS|a5da215eecfb78ca,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Koster B,Class meets from 01/21/26 - 03/18/26.
Spring_2026,HM,176,HM 176,FUNDAMENTALS OF FOOD PREP,3,,01,5243,Spring_2026|HM 176|01|5243,FALSE,\N,"10,12,27,310",LEC,M,9:30-11:20AM,,FCS-112,Man D,Class instruction is: Face to Face - On Campus.
Spring_2026,HM,176,HM 176,FUNDAMENTALS OF FOOD PREP,3,,02,5244,Spring_2026|HM 176|02|5244,FALSE,\N,"10,12,27,310",LAB,M,11:30-2:15PM,,FCS-112,Man D,Class instruction is: Face to Face - On Campus.
Spring_2026,HM,179,HM 179,ORIENTATION TO HM MAJOR,2,,01,5247,Spring_2026|HM 179|01|5247,FALSE,\N,"309,15,27",SEM,W,2-3:15PM,available,COB-122,Koster B,Class meets from 01/21/26 - 03/25/26.Class instruction is: Hybrid(Face to Face & Async).11 seats are reserved for Spring 2026 transfer HM students. Reserved seating will end on 12/20/2025
Spring_2026,HM,179,HM 179,ORIENTATION TO HM MAJOR,2,,01,\N,Spring_2026|HM 179|01|NOCLASS|654f7e4fbcec2c23,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Staff,Class meets from 01/21/26 - 03/25/26.
Spring_2026,HM,272,HM 272,HOTEL & LODGING MANAGEMENT,3,,02,10931,Spring_2026|HM 272|02|10931,FALSE,\N,307,LEC,W,4-5:30PM,available,FCS-122,Giffen R,Class instruction is: Hybrid(Face to Face & Async).
Spring_2026,HM,272,HM 272,HOTEL & LODGING MANAGEMENT,3,,02,\N,Spring_2026|HM 272|02|NOCLASS|b5b03bf5c1a7d740,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Giffen R,additional meeting detail
Spring_2026,HM,276,HM 276,FOOD PROD SERV HOSPITALITY MGT,3,,01,5248,Spring_2026|HM 276|01|5248,FALSE,\N,"1,10,12,27,310",LEC,NA,NA,,ONLINE-ONLY,Gustin L,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,HM,276,HM 276,FOOD PROD SERV HOSPITALITY MGT,3,,02,5249,Spring_2026|HM 276|02|5249,FALSE,\N,"1,10,12,27,310",LAB,Th,9-3:00PM,,FCS-112,Gustin L,Class meets on 01/22/26.Class instruction is: Face to Face - On Campus.
Spring_2026,HM,276,HM 276,FOOD PROD SERV HOSPITALITY MGT,3,,02,\N,Spring_2026|HM 276|02|NOCLASS|499fff5939c20093,FALSE,\N,,,Th,9-3:00PM,,FCS-112,Gustin L,Class meets on 02/05/26.
Spring_2026,HM,277,HM 277,COST CONTROL HOSPITALITY MGT,3,,01,10011,Spring_2026|HM 277|01|10011,FALSE,\N,,LEC,W,7-9:45PM,available,FCS-106,Durrani A,Class instruction is: Face to Face - On Campus.
Spring_2026,HM,278,HM 278,LEGAL ISSUES HOSPITALITY MGT,3,,03,8055,Spring_2026|HM 278|03|8055,FALSE,\N,305,LEC,NA,NA,available,ONLINE-ONLY,De Lorenzo J,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,HM,305,HM 305,WHAT HAPPENS IN VEGAS,3,GE: 2UD/5UD (UDB),01,5250,Spring_2026|HM 305|01|5250,FALSE,\N,310,LEC,TuTh,9:30-10:45AM,,FCS-106,Kreysa P,Class instruction is: Face to Face - On Campus.Class offered with CAFF-305-01
Spring_2026,HM,305,HM 305,WHAT HAPPENS IN VEGAS,3,GE: 2UD/5UD (UDB),03,12388,Spring_2026|HM 305|03|12388,FALSE,\N,,LEC,Th,9:30-11:45AM,,FCS-123,Koster B,Class instruction is: Hybrid(Face to Face & Async).Class offered with CAFF-305-03
Spring_2026,HM,305,HM 305,WHAT HAPPENS IN VEGAS,3,GE: 2UD/5UD (UDB),03,\N,Spring_2026|HM 305|03|NOCLASS|b4d93d0721e6cd8d,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Koster B,additional meeting detail
Spring_2026,HM,305,HM 305,WHAT HAPPENS IN VEGAS,3,GE: 2UD/5UD (UDB),04,6708,Spring_2026|HM 305|04|6708,FALSE,\N,,LEC,M,12:30-1:45PM,,FCS-008,Joe S,Class instruction is: Hybrid(Face to Face & Async).Class offered with CAFF-305-04
Spring_2026,HM,305,HM 305,WHAT HAPPENS IN VEGAS,3,GE: 2UD/5UD (UDB),04,\N,Spring_2026|HM 305|04|NOCLASS|fe9576f2e297a0ac,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Staff,additional meeting detail
Spring_2026,HM,305,HM 305,WHAT HAPPENS IN VEGAS,3,GE: 2UD/5UD (UDB),05,6709,Spring_2026|HM 305|05|6709,FALSE,\N,,LEC,W,12:30-1:45PM,,FCS-008,Joe S,Class instruction is: Hybrid(Face to Face & Async).Class offered with CAFF-305-05
Spring_2026,HM,305,HM 305,WHAT HAPPENS IN VEGAS,3,GE: 2UD/5UD (UDB),05,\N,Spring_2026|HM 305|05|NOCLASS|227fdfdea8914536,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Staff,additional meeting detail
Spring_2026,HM,305,HM 305,WHAT HAPPENS IN VEGAS,3,GE: 2UD/5UD (UDB),07,7203,Spring_2026|HM 305|07|7203,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Yeh R,Class instruction is: Asynch. Online-No Meet Times.Class offered with CAFF-305-07
Spring_2026,HM,305,HM 305,WHAT HAPPENS IN VEGAS,3,GE: 2UD/5UD (UDB),08,7914,Spring_2026|HM 305|08|7914,FALSE,\N,309,LEC,Tu,2-3:15PM,,ONLINE-ONLY,Joe S,Class instruction is: Online - Mixed Meet Times.Class offered with CAFF-305-08
Spring_2026,HM,305,HM 305,WHAT HAPPENS IN VEGAS,3,GE: 2UD/5UD (UDB),08,\N,Spring_2026|HM 305|08|NOCLASS|260be7554676d27f,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Joe S,additional meeting detail
Spring_2026,HM,305,HM 305,WHAT HAPPENS IN VEGAS,3,GE: 2UD/5UD (UDB),09,12398,Spring_2026|HM 305|09|12398,FALSE,\N,307,LEC,M,1-3:15PM,,FCS-106,Koster B,Class instruction is: Hybrid(Face to Face & Async).Class offered with CAFF-305-09
Spring_2026,HM,305,HM 305,WHAT HAPPENS IN VEGAS,3,GE: 2UD/5UD (UDB),11,9712,Spring_2026|HM 305|11|9712,FALSE,\N,307,LEC,M,6-7:15PM,,FCS-106,Amster J,Class instruction is: Hybrid(Face to Face & Async).Class offered with CAFF-305-11
Spring_2026,HM,305,HM 305,WHAT HAPPENS IN VEGAS,3,GE: 2UD/5UD (UDB),11,\N,Spring_2026|HM 305|11|NOCLASS|38ab2986f020d693,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Staff,additional meeting detail
Spring_2026,HM,305,HM 305,WHAT HAPPENS IN VEGAS,3,GE: 2UD/5UD (UDB),12,9721,Spring_2026|HM 305|12|9721,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Joe S,Class instruction is: Asynch. Online-No Meet Times.Class offered with CAFF-305-12
Spring_2026,HM,305,HM 305,WHAT HAPPENS IN VEGAS,3,GE: 2UD/5UD (UDB),13,10613,Spring_2026|HM 305|13|10613,FALSE,\N,,LEC,MW,2-3:15PM,,VEC-115,Kozak H,Class instruction is: Face to Face - On Campus.Class offered with CAFF-305-13
Spring_2026,HM,370,HM 370,EXPLORING SUSTAINABLE FOOD SYS,3,GE: 4UD (UDD); GWAR: WI,01,5639,Spring_2026|HM 370|01|5639,FALSE,\N,307,SEM,W,9-10:15AM,,FCS-106,Gustin L,Class instruction is: Hybrid(Face to Face & Async).
Spring_2026,HM,370,HM 370,EXPLORING SUSTAINABLE FOOD SYS,3,GE: 4UD (UDD); GWAR: WI,01,\N,Spring_2026|HM 370|01|NOCLASS|a5de3aa7d7a94b47,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Staff,additional meeting detail
