term,subject_code,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Spring_2026,H,SC 150,H SC 150,MEDICAL TERMINOLOGY,3,,01,3054,Spring_2026|H SC 150|01|3054,FALSE,\N,306,LEC,M,5-7:45PM,,ONLINE-ONLY,Zakson M,Class instruction is: Synch. Online - Meet Times.
Spring_2026,H,SC 150,H SC 150,MEDICAL TERMINOLOGY,3,,02,3077,Spring_2026|H SC 150|02|3077,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Zakson M,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,H,SC 150,H SC 150,MEDICAL TERMINOLOGY,3,,03,3374,Spring_2026|H SC 150|03|3374,FALSE,\N,306,LEC,MW,8-9:15AM,,ONLINE-ONLY,Zakson M,Class instruction is: Synch. Online - Meet Times.
Spring_2026,H,SC 150,H SC 150,MEDICAL TERMINOLOGY,3,,04,5916,Spring_2026|H SC 150|04|5916,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Zakson M,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,H,SC 201,H SC 201,INTRODUCTION TO PUBLIC HEALTH,3,GE: E,01,6831,Spring_2026|H SC 201|01|6831,FALSE,\N,306,LEC,MW,8-9:15AM,,ONLINE-ONLY,Azad M,Class instruction is: Synch. Online - Meet Times.
Spring_2026,H,SC 201,H SC 201,INTRODUCTION TO PUBLIC HEALTH,3,GE: E,02,7909,Spring_2026|H SC 201|02|7909,FALSE,\N,307,LEC,Tu,9:30-10:45AM,,HHS1-205,McDonald J,Class instruction is: Hybrid(Face to Face & Async).
Spring_2026,H,SC 201,H SC 201,INTRODUCTION TO PUBLIC HEALTH,3,GE: E,02,\N,Spring_2026|H SC 201|02|NOCLASS|0326a383aa417277,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Staff,additional meeting detail
Spring_2026,H,SC 201,H SC 201,INTRODUCTION TO PUBLIC HEALTH,3,GE: E,03,7987,Spring_2026|H SC 201|03|7987,FALSE,\N,307,LEC,Th,8-9:15AM,,HHS1-205,Tenny K,Class instruction is: Hybrid(Face to Face & Async).
Spring_2026,H,SC 201,H SC 201,INTRODUCTION TO PUBLIC HEALTH,3,GE: E,03,\N,Spring_2026|H SC 201|03|NOCLASS|46cd711c05073fdc,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Staff,additional meeting detail
Spring_2026,H,SC 201,H SC 201,INTRODUCTION TO PUBLIC HEALTH,3,GE: E,05,11058,Spring_2026|H SC 201|05|11058,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Azad M,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,H,SC 210,H SC 210,PERSONAL HEALTH AND WELLNESS,3,"GE: 5B-NL (B2), E",01,5917,Spring_2026|H SC 210|01|5917,FALSE,\N,306,SEM,F,11-1:45PM,,ONLINE-ONLY,Blanco L,Class instruction is: Synch. Online - Meet Times.Reserve Cap for Health Science Pre-majors and current majors to lift on 11/21/2025
Spring_2026,H,SC 210,H SC 210,PERSONAL HEALTH AND WELLNESS,3,"GE: 5B-NL (B2), E",02,5918,Spring_2026|H SC 210|02|5918,FALSE,\N,305,SEM,NA,NA,,ONLINE-ONLY,McDonald J,Class instruction is: Asynch. Online-No Meet Times.Reserve Cap for Health Science Pre-majors and current majors to lift on 11/21/2025
Spring_2026,H,SC 210,H SC 210,PERSONAL HEALTH AND WELLNESS,3,"GE: 5B-NL (B2), E",03,8072,Spring_2026|H SC 210|03|8072,FALSE,\N,305,SEM,NA,NA,,ONLINE-ONLY,Baltazar E,Class instruction is: Asynch. Online-No Meet Times.Reserve Cap for Health Science Pre-majors and current majors to lift on 11/21/2025
Spring_2026,H,SC 210,H SC 210,PERSONAL HEALTH AND WELLNESS,3,"GE: 5B-NL (B2), E",04,8108,Spring_2026|H SC 210|04|8108,FALSE,\N,305,SEM,NA,NA,,ONLINE-ONLY,Smith G,Class instruction is: Asynch. Online-No Meet Times.Reserve Cap for Health Science Pre-majors and current majors to lift on 11/21/2025
Spring_2026,H,SC 210,H SC 210,PERSONAL HEALTH AND WELLNESS,3,"GE: 5B-NL (B2), E",05,9481,Spring_2026|H SC 210|05|9481,FALSE,\N,307,SEM,Tu,9:30-10:45AM,,SPA-103,Whitehouse-Capuano N,Class instruction is: Hybrid(Face to Face & Async).Reserve Cap for Health Science Pre-majors and current majors to lift on 11/21/2025
Spring_2026,H,SC 210,H SC 210,PERSONAL HEALTH AND WELLNESS,3,"GE: 5B-NL (B2), E",05,\N,Spring_2026|H SC 210|05|NOCLASS|08483de733651aec,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Staff,additional meeting detail
Spring_2026,H,SC 210,H SC 210,PERSONAL HEALTH AND WELLNESS,3,"GE: 5B-NL (B2), E",06,9516,Spring_2026|H SC 210|06|9516,FALSE,\N,305,SEM,NA,NA,,ONLINE-ONLY,Gerardo-Kliem E,Class instruction is: Asynch. Online-No Meet Times.Reserve Cap for Health Science Pre-majors and current majors to lift on 11/21/2025
