term,subject_code,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Spring_2026,KIN,100A,KIN 100A,ARCHERY I,1,,01,6813,Spring_2026|KIN 100A|01|6813,FALSE,\N,"27,12",ACT,Tu,9-10:50AM,available,FLD-118,Leach M,Class instruction is: Face to Face - On Campus.
Spring_2026,KIN,100A,KIN 100A,ARCHERY I,1,,02,6814,Spring_2026|KIN 100A|02|6814,FALSE,\N,"12,27",ACT,Tu,11-12:50PM,available,FLD-118,Leach M,Class instruction is: Face to Face - On Campus.
Spring_2026,KIN,100A,KIN 100A,ARCHERY I,1,,03,6815,Spring_2026|KIN 100A|03|6815,FALSE,\N,"12,27",ACT,Tu,1-2:50PM,available,FLD-118,Leach M,Class instruction is: Face to Face - On Campus.
Spring_2026,KIN,102A,KIN 102A,BADMINTON I,1,,01,9083,Spring_2026|KIN 102A|01|9083,FALSE,\N,,ACT,Tu,5-6:50PM,,KIN-052,Mali M,Class instruction is: Face to Face - On Campus.
Spring_2026,KIN,106A,KIN 106A,FENCING-FOIL I,1,,01,9082,Spring_2026|KIN 106A|01|9082,FALSE,\N,,ACT,Th,10-11:50AM,,KIN-001,Holmgren E,Class instruction is: Face to Face - On Campus.
Spring_2026,KIN,108A,KIN 108A,GOLF I,1,,01,2219,Spring_2026|KIN 108A|01|2219,FALSE,\N,,ACT,W,12-1:50PM,,RNG-103,Pascale G,Class instruction is: Face to Face - On Campus.
Spring_2026,KIN,108A,KIN 108A,GOLF I,1,,02,2639,Spring_2026|KIN 108A|02|2639,FALSE,\N,,ACT,TuTh,12-12:50PM,,RNG-103,Eritzian D,Class instruction is: Face to Face - On Campus.
Spring_2026,KIN,109A,KIN 109A,FITNESS WALKING,1,,01,2480,Spring_2026|KIN 109A|01|2480,FALSE,\N,,ACT,TuTh,11-11:50AM,,FLD-122,Williams N,Class instruction is: Face to Face - On Campus.
Spring_2026,KIN,109A,KIN 109A,FITNESS WALKING,1,,04,7531,Spring_2026|KIN 109A|04|7531,FALSE,\N,,ACT,MW,8-8:50AM,,FLD-122,Tuttle A,Class instruction is: Face to Face - On Campus.
Spring_2026,KIN,114A,KIN 114A,TENNIS I,1,,03,6393,Spring_2026|KIN 114A|03|6393,FALSE,\N,,ACT,W,10-11:50AM,,CTS-106A,Mali M,Class instruction is: Face to Face - On Campus.
Spring_2026,KIN,115A,KIN 115A,TABLE TENNIS,1,,01,5046,Spring_2026|KIN 115A|01|5046,FALSE,\N,,ACT,Th,10-11:50AM,,KIN-052,Pham P,Class instruction is: Face to Face - On Campus.
Spring_2026,KIN,124A,KIN 124A,SURFING I,1,,01,2377,Spring_2026|KIN 124A|01|2377,FALSE,\N,"18,42",ACT,Tu,7-8:50AM,available,OFF-CAMP,Poppler P,Class instruction is: Face to Face - Off Campus.
Spring_2026,KIN,124A,KIN 124A,SURFING I,1,,02,2220,Spring_2026|KIN 124A|02|2220,FALSE,\N,"18,42",ACT,W,7-8:50AM,,OFF-CAMP,Poppler P,Class instruction is: Face to Face - Off Campus.
Spring_2026,KIN,124A,KIN 124A,SURFING I,1,,03,3359,Spring_2026|KIN 124A|03|3359,FALSE,\N,"18,42",ACT,M,7-8:50AM,available,OFF-CAMP,Poppler P,Class instruction is: Face to Face - Off Campus.
Spring_2026,KIN,124A,KIN 124A,SURFING I,1,,04,4597,Spring_2026|KIN 124A|04|4597,FALSE,\N,"18,42",ACT,F,7-8:50AM,,OFF-CAMP,Poppler P,Class instruction is: Face to Face - Off Campus.
Spring_2026,KIN,124A,KIN 124A,SURFING I,1,,05,6571,Spring_2026|KIN 124A|05|6571,FALSE,\N,"18,42",ACT,Th,7-8:50AM,available,OFF-CAMP,Poppler P,Class instruction is: Face to Face - Off Campus.
Spring_2026,KIN,125A,KIN 125A,SWIMMING I,1,,02,2221,Spring_2026|KIN 125A|02|2221,FALSE,\N,,ACT,MW,1-1:50PM,available,SWM-101,Spina K,Class instruction is: Face to Face - On Campus.
Spring_2026,KIN,125A,KIN 125A,SWIMMING I,1,,04,2222,Spring_2026|KIN 125A|04|2222,FALSE,\N,,ACT,TuTh,1-1:50PM,available,SWM-101,Spina K,Class instruction is: Face to Face - On Campus.
Spring_2026,KIN,125A,KIN 125A,SWIMMING I,1,,05,6408,Spring_2026|KIN 125A|05|6408,FALSE,\N,,ACT,TuTh,10-10:50AM,available,SWM-101,Spina K,Class instruction is: Face to Face - On Campus.
Spring_2026,KIN,125A,KIN 125A,SWIMMING I,1,,07,7926,Spring_2026|KIN 125A|07|7926,FALSE,\N,,ACT,MW,11-11:50AM,available,SWM-101,Haley Peaslee D,Class instruction is: Face to Face - On Campus.
Spring_2026,KIN,126A,KIN 126A,SWIM CONDITNG I,1,,02,7919,Spring_2026|KIN 126A|02|7919,FALSE,\N,,ACT,TuTh,11-11:50AM,available,SWM-101,Spina K,Class instruction is: Face to Face - On Campus.
Spring_2026,KIN,142,KIN 142,GROUP EXERCISE: CARDIO,1,,05,6828,Spring_2026|KIN 142|05|6828,FALSE,\N,,ACT,MW,11-11:50AM,,KIN-093,Paillon S,Class instruction is: Face to Face - On Campus.
Spring_2026,KIN,142,KIN 142,GROUP EXERCISE: CARDIO,1,,09,7802,Spring_2026|KIN 142|09|7802,FALSE,\N,,ACT,TuTh,2-2:50PM,,KIN-093,Haley Peaslee D,Class instruction is: Face to Face - On Campus.
Spring_2026,KIN,142B,KIN 142B,GROUP EXERCISE: BOOTCAMP,1,,02,7941,Spring_2026|KIN 142B|02|7941,FALSE,\N,306,ACT,TuTh,9-9:50AM,,ONLINE-ONLY,Pascale G,Class instruction is: Synch. Online - Meet Times.
Spring_2026,KIN,143,KIN 143,INDIVIDUAL CONDITIONING,1,,01,6601,Spring_2026|KIN 143|01|6601,FALSE,\N,305,ACT,NA,NA,,ONLINE-ONLY,Tsangaris C,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,KIN,143,KIN 143,INDIVIDUAL CONDITIONING,1,,02,6602,Spring_2026|KIN 143|02|6602,FALSE,\N,305,ACT,NA,NA,,ONLINE-ONLY,Tsangaris C,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,KIN,143,KIN 143,INDIVIDUAL CONDITIONING,1,,03,7803,Spring_2026|KIN 143|03|7803,FALSE,\N,305,ACT,NA,NA,,ONLINE-ONLY,Tsangaris C,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,KIN,143,KIN 143,INDIVIDUAL CONDITIONING,1,,04,8104,Spring_2026|KIN 143|04|8104,FALSE,\N,305,ACT,NA,NA,,ONLINE-ONLY,Tsangaris C,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,KIN,148A,KIN 148A,KARATE I,1,,01,6696,Spring_2026|KIN 148A|01|6696,FALSE,\N,,ACT,Th,6-7:50PM,available,KIN-060,Pham T,Class instruction is: Face to Face - On Campus.
Spring_2026,KIN,149A,KIN 149A,SELF DEFENSE I,1,,02,2224,Spring_2026|KIN 149A|02|2224,FALSE,\N,,ACT,M,5-6:50PM,,KIN-150A,Muzila T,Class instruction is: Face to Face - On Campus.
Spring_2026,KIN,149A,KIN 149A,SELF DEFENSE I,1,,04,7804,Spring_2026|KIN 149A|04|7804,FALSE,\N,,ACT,TuTh,11-11:50AM,,KIN-150A,Muzila T,Class instruction is: Face to Face - On Campus.
Spring_2026,KIN,149A,KIN 149A,SELF DEFENSE I,1,,05,2378,Spring_2026|KIN 149A|05|2378,FALSE,\N,,ACT,W,5-6:50PM,,KIN-060,Aurand J,Class instruction is: Face to Face - On Campus.
Spring_2026,KIN,149A,KIN 149A,SELF DEFENSE I,1,,06,3469,Spring_2026|KIN 149A|06|3469,FALSE,\N,,ACT,TuTh,1-1:50PM,available,KIN-150A,Muzila T,Class instruction is: Face to Face - On Campus.
Spring_2026,KIN,149A,KIN 149A,SELF DEFENSE I,1,,08,4881,Spring_2026|KIN 149A|08|4881,FALSE,\N,,ACT,MW,11-11:50AM,,KIN-150A,Muzila T,Class instruction is: Face to Face - On Campus.
Spring_2026,KIN,149A,KIN 149A,SELF DEFENSE I,1,,11,6946,Spring_2026|KIN 149A|11|6946,FALSE,\N,,ACT,F,10-11:50AM,,KIN-150A,Muzila T,Class instruction is: Face to Face - On Campus.
Spring_2026,KIN,151A,KIN 151A,WEIGHT TRAIN & COND I,1,,01,7532,Spring_2026|KIN 151A|01|7532,FALSE,\N,,ACT,TuTh,9-9:50AM,,KIN-106,Burkhardt E,Class instruction is: Face to Face - On Campus.
Spring_2026,KIN,151A,KIN 151A,WEIGHT TRAIN & COND I,1,,02,7533,Spring_2026|KIN 151A|02|7533,FALSE,\N,,ACT,MW,1-1:50PM,,KIN-106,Mali M,Class instruction is: Face to Face - On Campus.
Spring_2026,KIN,151A,KIN 151A,WEIGHT TRAIN & COND I,1,,09,2425,Spring_2026|KIN 151A|09|2425,FALSE,\N,,ACT,TuTh,1-1:50PM,,KIN-106,Burkhardt E,Class instruction is: Face to Face - On Campus.
Spring_2026,KIN,151A,KIN 151A,WEIGHT TRAIN & COND I,1,,10,3092,Spring_2026|KIN 151A|10|3092,FALSE,\N,,ACT,TuTh,11-11:50AM,available,KIN-106,Martinez E,Class instruction is: Face to Face - On Campus.
Spring_2026,KIN,151A,KIN 151A,WEIGHT TRAIN & COND I,1,,11,3363,Spring_2026|KIN 151A|11|3363,FALSE,\N,,ACT,MW,10-10:50AM,,KIN-106,Haley Peaslee D,Class instruction is: Face to Face - On Campus.
Spring_2026,KIN,151A,KIN 151A,WEIGHT TRAIN & COND I,1,,12,4111,Spring_2026|KIN 151A|12|4111,FALSE,\N,,ACT,MW,11-11:50AM,,KIN-106,Bang J,Class instruction is: Face to Face - On Campus.
Spring_2026,KIN,151A,KIN 151A,WEIGHT TRAIN & COND I,1,,15,6829,Spring_2026|KIN 151A|15|6829,FALSE,\N,,ACT,MW,12-12:50PM,,KIN-106,Murphy M,Class instruction is: Face to Face - On Campus.
Spring_2026,KIN,151A,KIN 151A,WEIGHT TRAIN & COND I,1,,16,10740,Spring_2026|KIN 151A|16|10740,FALSE,\N,,ACT,F,10-11:50PM,,KIN-106,Eritzian D,Class instruction is: Face to Face - On Campus.
Spring_2026,KIN,152A,KIN 152A,YOGA I,1,,02,9085,Spring_2026|KIN 152A|02|9085,FALSE,\N,305,ACT,NA,NA,,ONLINE-ONLY,Fritzler A,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,KIN,152A,KIN 152A,YOGA I,1,,08,2226,Spring_2026|KIN 152A|08|2226,FALSE,\N,,ACT,F,10-11:50AM,,KIN-093,Fritzler A,Class instruction is: Face to Face - On Campus.
Spring_2026,KIN,152A,KIN 152A,YOGA I,1,,09,2386,Spring_2026|KIN 152A|09|2386,FALSE,\N,,ACT,TuTh,11-11:50AM,,KIN-093,Fritzler A,Class instruction is: Face to Face - On Campus.
Spring_2026,KIN,152A,KIN 152A,YOGA I,1,,15,3219,Spring_2026|KIN 152A|15|3219,FALSE,\N,,ACT,MW,11-11:50AM,available,KIN-060,Fritzler A,Class instruction is: Face to Face - On Campus.
Spring_2026,KIN,152A,KIN 152A,YOGA I,1,,16,3279,Spring_2026|KIN 152A|16|3279,FALSE,\N,,ACT,W,2-3:50PM,,KIN-093,Fritzler A,Class instruction is: Face to Face - On Campus.
Spring_2026,KIN,152A,KIN 152A,YOGA I,1,,17,6718,Spring_2026|KIN 152A|17|6718,FALSE,\N,,ACT,M,2-3:50PM,available,KIN-093,Fritzler A,Class instruction is: Face to Face - On Campus.
Spring_2026,KIN,152A,KIN 152A,YOGA I,1,,19,12769,Spring_2026|KIN 152A|19|12769,FALSE,\N,305,ACT,NA,NA,available,ONLINE-ONLY,Fritzler A,Department Consent RequiredClass instruction is: Asynch. Online-No Meet Times.Reserved for Students of previously cancelled KIN 152A section 01.
Spring_2026,KIN,156,KIN 156,SPORTS APPRECIATION,3,GE: 4C (D3),03,4596,Spring_2026|KIN 156|03|4596,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Kress J,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,KIN,156,KIN 156,SPORTS APPRECIATION,3,GE: 4C (D3),04,4600,Spring_2026|KIN 156|04|4600,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Kress J,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,KIN,156,KIN 156,SPORTS APPRECIATION,3,GE: 4C (D3),05,4601,Spring_2026|KIN 156|05|4601,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Kress J,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,KIN,156,KIN 156,SPORTS APPRECIATION,3,GE: 4C (D3),06,4602,Spring_2026|KIN 156|06|4602,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Tsangaris C,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,KIN,157,KIN 157,FITNESS FOR LIVING,3,"GE: 5B-NL (B2), E",01,2215,Spring_2026|KIN 157|01|2215,FALSE,\N,1,LEC,MW,10-10:50AM,,HHS1-100,Pascale G,Class instruction is: Face to Face - On Campus.
Spring_2026,KIN,157,KIN 157,FITNESS FOR LIVING,3,"GE: 5B-NL (B2), E",02,2216,Spring_2026|KIN 157|02|2216,FALSE,\N,1,ACT,M,11-11:50AM,,KIN-107,Pascale G,Class instruction is: Face to Face - On Campus.
Spring_2026,KIN,157,KIN 157,FITNESS FOR LIVING,3,"GE: 5B-NL (B2), E",02,\N,Spring_2026|KIN 157|02|NOCLASS|9bb95ead918c4a0e,FALSE,\N,,,W,11-11:50AM,,KIN-088,Staff,additional meeting detail
