term,subject_code,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Spring_2026,NRSG,200,NRSG 200,FOUNDATIONS PROFESSIONAL NRSG,6,GE: E,01,1624,Spring_2026|NRSG 200|01|1624,FALSE,\N,"1,2,12,311",LEC,Tu,8-10:45AM,,NUR-064,Konrad S,Class instruction is: Hybrid (Face to Face & Synch).Please refer to the department for lecture/lab assignment
Spring_2026,NRSG,200,NRSG 200,FOUNDATIONS PROFESSIONAL NRSG,6,GE: E,01,\N,Spring_2026|NRSG 200|01|NOCLASS|4c2b06c2c63c1c35,FALSE,\N,,,Tu,8-10:45AM,,ONLINE-ONLY,Konrad S,additional meeting detail
Spring_2026,NRSG,200,NRSG 200,FOUNDATIONS PROFESSIONAL NRSG,6,GE: E,02,2761,Spring_2026|NRSG 200|02|2761,FALSE,\N,"1,2,12,311",LEC,Th,8-10:45AM,,NUR-064,Konrad S,Class instruction is: Hybrid (Face to Face & Synch).Please refer to the department for lecture/lab assignment
Spring_2026,NRSG,200,NRSG 200,FOUNDATIONS PROFESSIONAL NRSG,6,GE: E,02,\N,Spring_2026|NRSG 200|02|NOCLASS|2b915c800e75cb65,FALSE,\N,,,Th,8-10:45AM,,ONLINE-ONLY,Konrad S,additional meeting detail
Spring_2026,NRSG,200,NRSG 200,FOUNDATIONS PROFESSIONAL NRSG,6,GE: E,03,2282,Spring_2026|NRSG 200|03|2282,FALSE,\N,"1,2,12,308",LAB,M,6:30-3:30PM,,OFF-CAMP,Ibale J,Class instruction is: Face to Face - Off Campus.Please refer to the department for lecture/lab assignmentThis class meets at VA Long Beach
Spring_2026,NRSG,200,NRSG 200,FOUNDATIONS PROFESSIONAL NRSG,6,GE: E,04,4195,Spring_2026|NRSG 200|04|4195,FALSE,\N,"1,2,12,308",LAB,Tu,6:30-3:30PM,,OFF-CAMP,Panopio C,Class instruction is: Face to Face - Off Campus.Please refer to the department for lecture/lab assignmentThis class meets at VA Long Beach
Spring_2026,NRSG,200,NRSG 200,FOUNDATIONS PROFESSIONAL NRSG,6,GE: E,05,4517,Spring_2026|NRSG 200|05|4517,FALSE,\N,"1,2,12,308",LAB,Tu,6:30-3:30PM,,OFF-CAMP,Vartanian K,Class instruction is: Face to Face - Off Campus.Please refer to the department for lecture/lab assignmentThis class meets at St. Mary's
Spring_2026,NRSG,200,NRSG 200,FOUNDATIONS PROFESSIONAL NRSG,6,GE: E,06,2764,Spring_2026|NRSG 200|06|2764,FALSE,\N,"1,2,12,308",LAB,M,6:30-3:30PM,,OFF-CAMP,Navarro E,Class instruction is: Face to Face - Off Campus.Please refer to the department for lecture/lab assignmentThis class meets at LBMMC
Spring_2026,NRSG,200,NRSG 200,FOUNDATIONS PROFESSIONAL NRSG,6,GE: E,07,2984,Spring_2026|NRSG 200|07|2984,FALSE,\N,"1,2,12,308",LAB,Tu,6:30-3:30PM,,OFF-CAMP,Roberto V,Class instruction is: Face to Face - Off Campus.Please refer to the department for lecture/lab assignmentThis class meets at LBMMC
Spring_2026,NRSG,200,NRSG 200,FOUNDATIONS PROFESSIONAL NRSG,6,GE: E,08,2763,Spring_2026|NRSG 200|08|2763,FALSE,\N,"1,2,12,308",LAB,Th,6:30-3:30PM,,OFF-CAMP,Bottorff A,Class instruction is: Face to Face - Off Campus.Please refer to the department for lecture/lab assignmentThis class meets at LBMMC
Spring_2026,NRSG,200,NRSG 200,FOUNDATIONS PROFESSIONAL NRSG,6,GE: E,09,2762,Spring_2026|NRSG 200|09|2762,FALSE,\N,"1,2,12,308",LAB,Th,6:30-3:30PM,,OFF-CAMP,Navarro E,Class instruction is: Face to Face - Off Campus.Please refer to the department for lecture/lab assignmentThis class meets at LBMMC
Spring_2026,NRSG,200,NRSG 200,FOUNDATIONS PROFESSIONAL NRSG,6,GE: E,10,3990,Spring_2026|NRSG 200|10|3990,FALSE,\N,"1,2,12,308",LAB,M,6:30-3:30PM,,OFF-CAMP,Menendez V,Class instruction is: Face to Face - Off Campus.Please refer to the department for lecture/lab assignmentThis class meets at LBMMC
Spring_2026,NRSG,250,NRSG 250,INTERMED MEDICAL SURGICAL NRSG,6,,01,1625,Spring_2026|NRSG 250|01|1625,FALSE,\N,"1,2,12,311",LEC,Th,8-10:45AM,available,NUR-066,Menendez V,Class instruction is: Hybrid (Face to Face & Synch).Please refer to the department for lecture/lab assignment
Spring_2026,NRSG,250,NRSG 250,INTERMED MEDICAL SURGICAL NRSG,6,,01,\N,Spring_2026|NRSG 250|01|NOCLASS|0ee67291cfde08f2,FALSE,\N,,,Th,8-10:45AM,,ONLINE-ONLY,Menendez V,additional meeting detail
Spring_2026,NRSG,250,NRSG 250,INTERMED MEDICAL SURGICAL NRSG,6,,02,2361,Spring_2026|NRSG 250|02|2361,FALSE,\N,"1,2,12,311",LEC,M,8-10:45AM,,NUR-064,Bottorff A,Class instruction is: Hybrid (Face to Face & Synch).Please refer to the department for lecture/lab assignment
Spring_2026,NRSG,250,NRSG 250,INTERMED MEDICAL SURGICAL NRSG,6,,02,\N,Spring_2026|NRSG 250|02|NOCLASS|9521fb4569bcf8b1,FALSE,\N,,,M,8-10:45AM,,ONLINE-ONLY,Bottorff A,additional meeting detail
Spring_2026,NRSG,250,NRSG 250,INTERMED MEDICAL SURGICAL NRSG,6,,03,3522,Spring_2026|NRSG 250|03|3522,FALSE,\N,"1,2,12,308",LAB,F,6:30-3:30PM,,OFF-CAMP,Mankoff A,Class instruction is: Face to Face - Off Campus.Please refer to the department for lecture/lab assignmentThis class meets at St. Joseph's Hospital
Spring_2026,NRSG,250,NRSG 250,INTERMED MEDICAL SURGICAL NRSG,6,,04,4549,Spring_2026|NRSG 250|04|4549,FALSE,\N,"1,2,12,308",LAB,F,6:30-3:30PM,,OFF-CAMP,Francis S,Class instruction is: Face to Face - Off Campus.Please refer to the department for lecture/lab assignmentThis class meets at HOAG
Spring_2026,NRSG,250,NRSG 250,INTERMED MEDICAL SURGICAL NRSG,6,,05,4555,Spring_2026|NRSG 250|05|4555,FALSE,\N,"1,2,12,308",LAB,Sa,6:30-3:30PM,,OFF-CAMP,Fordan J,Class instruction is: Face to Face - Off Campus.Please refer to the department for lecture/lab assignmentThis class meets at VA Long Beach
Spring_2026,NRSG,250,NRSG 250,INTERMED MEDICAL SURGICAL NRSG,6,,06,9044,Spring_2026|NRSG 250|06|9044,FALSE,\N,"1,2,12,308",LAB,Sa,6:30-3:30PM,available,OFF-CAMP,Thebe S,Class instruction is: Face to Face - Off Campus.Please refer to the department for lecture/lab assignmentThis class meets at St. Mary's
