term,subject_code,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Spring_2026,NUTR,132,NUTR 132,INTRODUCTORY NUTRITION,3,"GE: 5B-NL (B2), E",01,1342,Spring_2026|NUTR 132|01|1342,FALSE,\N,310,LEC,TuTh,11-12:15PM,,FCS-136,Devine W,Class instruction is: Face to Face - On Campus.
Spring_2026,NUTR,132,NUTR 132,INTRODUCTORY NUTRITION,3,"GE: 5B-NL (B2), E",03,2173,Spring_2026|NUTR 132|03|2173,FALSE,\N,307,LEC,Tu,12:30-1:45PM,,HHS1-201,Sauceda A,Class instruction is: Hybrid(Face to Face & Async).
Spring_2026,NUTR,132,NUTR 132,INTRODUCTORY NUTRITION,3,"GE: 5B-NL (B2), E",03,\N,Spring_2026|NUTR 132|03|NOCLASS|4e2c15417adbd319,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Staff,additional meeting detail
Spring_2026,NUTR,132,NUTR 132,INTRODUCTORY NUTRITION,3,"GE: 5B-NL (B2), E",05,2576,Spring_2026|NUTR 132|05|2576,FALSE,\N,34,LEC,Tu,12:30-1:45PM,,EED-040,Childers J,Class instruction is: Hybrid(Face to Face & Async).
Spring_2026,NUTR,132,NUTR 132,INTRODUCTORY NUTRITION,3,"GE: 5B-NL (B2), E",05,\N,Spring_2026|NUTR 132|05|NOCLASS|b7c494f54dac36fc,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Childers J,additional meeting detail
Spring_2026,NUTR,132,NUTR 132,INTRODUCTORY NUTRITION,3,"GE: 5B-NL (B2), E",07,2891,Spring_2026|NUTR 132|07|2891,FALSE,\N,310,LEC,MW,12:30-1:45PM,,FCS-136,Devine W,Class instruction is: Face to Face - On Campus.
Spring_2026,NUTR,132,NUTR 132,INTRODUCTORY NUTRITION,3,"GE: 5B-NL (B2), E",08,2956,Spring_2026|NUTR 132|08|2956,FALSE,\N,310,LEC,MW,11-12:15PM,,FCS-136,Devine W,Class instruction is: Face to Face - On Campus.
Spring_2026,NUTR,132,NUTR 132,INTRODUCTORY NUTRITION,3,"GE: 5B-NL (B2), E",09,2960,Spring_2026|NUTR 132|09|2960,FALSE,\N,307,LEC,Th,12:30-1:45PM,,HHS1-201,Sauceda A,Class instruction is: Hybrid(Face to Face & Async).
Spring_2026,NUTR,132,NUTR 132,INTRODUCTORY NUTRITION,3,"GE: 5B-NL (B2), E",09,\N,Spring_2026|NUTR 132|09|NOCLASS|ef6269dcd4b480bd,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Staff,additional meeting detail
Spring_2026,NUTR,132,NUTR 132,INTRODUCTORY NUTRITION,3,"GE: 5B-NL (B2), E",11,3248,Spring_2026|NUTR 132|11|3248,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Lyons M,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,NUTR,132,NUTR 132,INTRODUCTORY NUTRITION,3,"GE: 5B-NL (B2), E",12,3364,Spring_2026|NUTR 132|12|3364,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Dekofsky B,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,NUTR,132,NUTR 132,INTRODUCTORY NUTRITION,3,"GE: 5B-NL (B2), E",13,3365,Spring_2026|NUTR 132|13|3365,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Aschidamini B,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,NUTR,132,NUTR 132,INTRODUCTORY NUTRITION,3,"GE: 5B-NL (B2), E",14,3371,Spring_2026|NUTR 132|14|3371,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Carson D,Class instruction is: Asynch. Online-No Meet Times.
