term,subject_code,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Spring_2026,S,W 331,S W 331,HUMAN BHVR & SOC ENVRMNT II,3,,01,1722,Spring_2026|S W 331|01|1722,FALSE,\N,,LEC,MW,9:30-10:45AM,,SPA-210,Campbell V,Class instruction is: Face to Face - On Campus.
Spring_2026,S,W 331,S W 331,HUMAN BHVR & SOC ENVRMNT II,3,,02,2552,Spring_2026|S W 331|02|2552,FALSE,\N,,LEC,MW,2-3:15PM,,SPA-208,Campbell V,Class instruction is: Face to Face - On Campus.
Spring_2026,S,W 331,S W 331,HUMAN BHVR & SOC ENVRMNT II,3,,03,3025,Spring_2026|S W 331|03|3025,FALSE,\N,,LEC,Tu,7-9:45PM,,SPA-112,Campbell V,Class instruction is: Face to Face - On Campus.
Spring_2026,S,W 340,S W 340,GENERAL SOCIAL WORK PRACTICE,3,,01,1723,Spring_2026|S W 340|01|1723,FALSE,\N,,SEM,MW,9:30-10:45AM,,SPA-208,Porter K,Class instruction is: Face to Face - On Campus.
Spring_2026,S,W 340,S W 340,GENERAL SOCIAL WORK PRACTICE,3,,02,1724,Spring_2026|S W 340|02|1724,FALSE,\N,,SEM,MW,11-12:15PM,available,SPA-208,Porter K,Class instruction is: Face to Face - On Campus.
Spring_2026,S,W 340,S W 340,GENERAL SOCIAL WORK PRACTICE,3,,03,3121,Spring_2026|S W 340|03|3121,FALSE,\N,,SEM,M,7-9:45PM,available,SPA-209,Porter K,Class instruction is: Face to Face - On Campus.
Spring_2026,S,W 341,S W 341,SOCIAL WORK PRACTICUM,3,,01,1725,Spring_2026|S W 341|01|1725,FALSE,\N,,SEM,MW,3:30-4:45PM,,SPA-208,De Los Reyes R,Class instruction is: Face to Face - On Campus.
Spring_2026,S,W 341,S W 341,SOCIAL WORK PRACTICUM,3,,02,8788,Spring_2026|S W 341|02|8788,FALSE,\N,,SEM,MW,3:30-4:45PM,available,VEC-419,Ramirez J,Class instruction is: Face to Face - On Campus.
Spring_2026,S,W 341,S W 341,SOCIAL WORK PRACTICUM,3,,03,3122,Spring_2026|S W 341|03|3122,FALSE,\N,,SEM,MW,5:30-6:45PM,available,SPA-208,Ramirez J,Class instruction is: Face to Face - On Campus.
Spring_2026,S,W 350,S W 350,LAW COURT POLICY PRACTICE,3,GE: 4UD (UDD),01,3664,Spring_2026|S W 350|01|3664,FALSE,\N,,LEC,MW,11-12:15PM,available,SPA-210,Crotts S,Class instruction is: Face to Face - On Campus.
Spring_2026,S,W 350,S W 350,LAW COURT POLICY PRACTICE,3,GE: 4UD (UDD),02,3665,Spring_2026|S W 350|02|3665,FALSE,\N,,LEC,MW,2-3:15PM,available,VEC-419,Costello C,Class instruction is: Face to Face - On Campus.
Spring_2026,S,W 350,S W 350,LAW COURT POLICY PRACTICE,3,GE: 4UD (UDD),03,3666,Spring_2026|S W 350|03|3666,FALSE,\N,,LEC,W,7-9:45PM,available,SPA-108,Costello C,Class instruction is: Face to Face - On Campus.
Spring_2026,S,W 441,S W 441,GENERALIST SW COMMUN INSTITUT,3,,01,1726,Spring_2026|S W 441|01|1726,FALSE,\N,,SEM,MW,9:30-10:45AM,,HSD-111,Stallings J,Class instruction is: Face to Face - On Campus.
Spring_2026,S,W 441,S W 441,GENERALIST SW COMMUN INSTITUT,3,,02,1727,Spring_2026|S W 441|02|1727,FALSE,\N,,SEM,MW,11-12:15PM,,HSD-111,Stallings J,Class instruction is: Face to Face - On Campus.
